window,origin,variant,n,rmse,ratio,bias
W1,O1,P1_identity_plus_intercept,13,1.634167654568356,0.5443969413266901,-0.9887766791529944
W1,O1,P2_scaled_identity,13,1.7540190299902478,0.5843235192460828,0.24545118892880696
W1,O1,P3_eur_plus_LatAmAPAC_ols,12,1.4102043995236018,0.5062066973655455,-0.7067640958441319
W1,O1,P4_two_block_EMEA_vs_rest,13,1.6953158153080186,0.5647674777164939,0.6508623210751667
W1,O1,P5_posterior_mean_weights_HINDSIGHT,13,1.2933061862526893,0.43084436901354656,0.12179189408414152
W1,O1,V0_translation,13,1.3128158209589265,0.4373436932602267,-0.03431553830185257
W1,O1,V2_eur_ols,13,1.1980284895074544,0.39910412097978026,-0.4615935270969048
W1,O1,naive_last_disclosed,13,3.0017943351884107,1.0,-1.123076923076923
W1,O2,P1_identity_plus_intercept,14,1.0685465204049038,0.5074363776040448,-0.802813566755826
W1,O2,P2_scaled_identity,14,1.1431915623758935,0.5428841648370311,0.2918589609494017
W1,O2,P3_eur_plus_LatAmAPAC_ols,13,0.6154964970565034,0.2998103431822843,-0.46603440937107327
W1,O2,P4_two_block_EMEA_vs_rest,14,1.1032552753665748,0.5239190337660085,0.5538932874789897
W1,O2,P5_posterior_mean_weights_HINDSIGHT,14,0.5642237720202643,0.2679412281681128,0.19845405413228948
W1,O2,V0_translation,14,0.723799781202827,0.3437214310004852,0.1126093436141979
W1,O2,V2_eur_ols,14,0.568561671876424,0.27000123037427287,-0.3307856155137531
W1,O2,naive_last_disclosed,14,2.1057743740215176,1.0,-0.4857142857142857
W1,O3,P1_identity_plus_intercept,14,0.9794376749935462,0.46511995163235753,-0.770177356847339
W1,O3,P2_scaled_identity,14,1.041314710000238,0.49450440790177336,0.33548166312697625
W1,O3,P3_eur_plus_LatAmAPAC_ols,13,0.6435621086601503,0.3134811937667314,-0.4263153979801541
W1,O3,P4_two_block_EMEA_vs_rest,14,1.0413627615009668,0.4945272268235542,0.621489378361183
W1,O3,P5_posterior_mean_weights_HINDSIGHT,14,0.48660161489307185,0.23107965454237198,0.24744000701168037
W1,O3,V0_translation,14,0.637486508829489,0.30273257984996965,0.1452455535226849
W1,O3,V2_eur_ols,14,0.5923977244899254,0.2813206067080158,-0.2724699642909686
W1,O3,naive_last_disclosed,14,2.1057743740215176,1.0,-0.4857142857142857
W2,O1,P1_identity_plus_intercept,10,1.720255849214904,0.7296165997147113,-0.9164157540025746
W2,O1,P2_scaled_identity,10,1.848688281110943,0.7840889820035698,0.022549697947575154
W2,O1,P3_eur_plus_LatAmAPAC_ols,10,1.4928826021076653,0.6331801914349847,-0.7192323044319618
W2,O1,P4_two_block_EMEA_vs_rest,10,1.7614729702725511,0.7470981247621831,0.4292094251258181
W2,O1,P5_posterior_mean_weights_HINDSIGHT,10,1.4516703221402478,0.6157007196517374,0.08767074407204986
W2,O1,V0_translation,10,1.4731303352492542,0.6248026109788748,-0.13943347356071673
W2,O1,V2_eur_ols,10,1.2381026740130547,0.5251197160720983,-0.4211951950826721
W2,O1,naive_last_disclosed,10,2.3577531677425436,1.0,-0.14999999999999997
W2,O2,P1_identity_plus_intercept,10,1.115881048656481,0.5672342152712033,-0.764541346425771
W2,O2,P2_scaled_identity,10,1.0996737156675394,0.5589955649054765,0.057746202191048576
W2,O2,P3_eur_plus_LatAmAPAC_ols,10,0.6485436124390261,0.3296732456509811,-0.5319580514466072
W2,O2,P4_two_block_EMEA_vs_rest,10,0.8719948077392063,0.44325987172561143,0.367863635907305
W2,O2,P5_posterior_mean_weights_HINDSIGHT,10,0.5797748416502752,0.29471611488826405,0.13569152670678103
W2,O2,V0_translation,10,0.7536197241548405,0.38308643502688355,-0.07177067665309214
W2,O2,V2_eur_ols,10,0.5268100878831594,0.2677926174632521,-0.3441902570309115
W2,O2,naive_last_disclosed,10,1.9672315572906003,1.0,0.08000000000000003
W2,O3,P1_identity_plus_intercept,10,1.0128131345172224,0.5148418500932014,-0.7366123697976674
W2,O3,P2_scaled_identity,10,0.9658653145121857,0.49097693198986625,0.09552888866246452
W2,O3,P3_eur_plus_LatAmAPAC_ols,10,0.678906208292446,0.34510742051509175,-0.48726267361135384
W2,O3,P4_two_block_EMEA_vs_rest,10,0.8382914875932557,0.4261275112665463,0.45688238905629613
W2,O3,P5_posterior_mean_weights_HINDSIGHT,10,0.47677949196260616,0.24236063629401006,0.18738778389195848
W2,O3,V0_translation,10,0.6241311690958131,0.31726370329042874,-0.04384170002498824
W2,O3,V2_eur_ols,10,0.535757489756706,0.2723408374429425,-0.2684196171114806
W2,O3,naive_last_disclosed,10,1.9672315572906003,1.0,0.08000000000000003
