quarter,scheme,n_objects,adj_ebitda_margin_pct
2026Q3,ew_all,10,50.49167300979139
2026Q3,ew_top3_prior_mae,10,49.972964515544845
2026Q3,invmae_all,10,50.42638018989604
2026Q3,invmae_recency,10,50.43962353080745
2026Q3,best_single_prior_mae,10,50.11777344483114
2026Q3,m5_dispersion_only,10,50.11777344483114
2026Q3,m5_m3_5050,10,50.11777344483114
2026Q3,m5_60_plus_two_independent_40,10,50.38738029194517
2026Q3,ew_three_least_correlated,10,49.41488039214043
2026Q3,family_equal_thirds,10,50.63240604381589
2026Q3,family_B50_A30_C20,10,50.62567398681094
2026Q3,recommended_ws23_60_20_20,10,50.4599476502132
2026Q3,median_all,10,50.47523027327644
2026Q4,ew_all,8,28.902861218395763
2026Q4,ew_top3_prior_mae,8,29.0404291613603
2026Q4,invmae_all,8,28.9652918308402
2026Q4,invmae_recency,8,28.967351900378496
2026Q4,best_single_prior_mae,8,29.294124937518895
2026Q4,m5_dispersion_only,8,29.294124937518895
2026Q4,m5_m3_5050,8,29.294124937518895
2026Q4,m5_60_plus_two_independent_40,8,29.242572553196528
2026Q4,ew_three_least_correlated,8,29.345783107678667
2026Q4,family_equal_thirds,8,29.17729167827485
2026Q4,family_B50_A30_C20,8,29.10710160776484
2026Q4,recommended_ws23_60_20_20,8,29.0798262788901
2026Q4,median_all,8,28.71448564448444
2027Q1,ew_all,5,19.0191423731944
2027Q1,invmae_all,5,18.976402096194292
2027Q1,invmae_recency,5,19.005612723076922
2027Q1,m5_60_plus_two_independent_40,5,18.38456777525085
2027Q1,ew_three_least_correlated,5,17.62121558941614
2027Q1,family_equal_thirds,5,18.49491982927755
2027Q1,family_B50_A30_C20,5,18.669660677249833
2027Q1,recommended_ws23_60_20_20,5,19.36862406913896
2027Q1,median_all,5,19.147919961085567
2027Q2,ew_all,5,33.856894194649165
2027Q2,invmae_all,5,33.826844138209694
2027Q2,invmae_recency,5,33.84815688149159
2027Q2,m5_60_plus_two_independent_40,5,33.23049741219116
2027Q2,ew_three_least_correlated,5,33.19119202548303
2027Q2,family_equal_thirds,5,33.60725588121186
2027Q2,family_B50_A30_C20,5,33.69046865235763
2027Q2,recommended_ws23_60_20_20,5,34.02331973694069
2027Q2,median_all,5,33.6472522877407
2027Q3,ew_all,5,49.843153844415845
2027Q3,invmae_all,5,49.7919062850514
2027Q3,invmae_recency,5,49.8283823170689
2027Q3,m5_60_plus_two_independent_40,5,48.99914787115584
2027Q3,ew_three_least_correlated,5,48.326551246208105
2027Q3,family_equal_thirds,5,49.27442787008794
2027Q3,family_B50_A30_C20,5,49.46400319486391
2027Q3,recommended_ws23_60_20_20,5,50.222304493967776
2027Q3,median_all,5,49.8187607404173
2027Q4,ew_all,5,26.351546795108153
2027Q4,invmae_all,5,26.387787123326984
2027Q4,invmae_recency,5,26.357698747419928
2027Q4,m5_60_plus_two_independent_40,5,26.538382809249523
2027Q4,ew_three_least_correlated,5,28.145913990893646
2027Q4,family_equal_thirds,5,27.02443449352771
2027Q4,family_B50_A30_C20,5,26.80013859405453
2027Q4,recommended_ws23_60_20_20,5,25.90295499616178
2027Q4,median_all,5,26.690996913999296
2028Q1,ew_all,2,17.05001016220993
2028Q1,invmae_all,2,17.049881889053815
2028Q1,invmae_recency,2,17.049762173734408
2028Q1,family_equal_thirds,2,17.05001016220993
2028Q1,family_B50_A30_C20,2,17.05001016220993
2028Q1,recommended_ws23_60_20_20,2,17.05001016220993
2028Q1,median_all,2,17.05001016220993
2028Q2,ew_all,2,32.22252777210409
2028Q2,invmae_all,2,32.22240695870724
2028Q2,invmae_recency,2,32.22229420546384
2028Q2,family_equal_thirds,2,32.22252777210409
2028Q2,family_B50_A30_C20,2,32.22252777210409
2028Q2,recommended_ws23_60_20_20,2,32.22252777210409
2028Q2,median_all,2,32.22252777210409
2028Q3,ew_all,2,49.10389307574175
2028Q3,invmae_all,2,49.10324653122903
2028Q3,invmae_recency,2,49.102643121402686
2028Q3,family_equal_thirds,2,49.10389307574175
2028Q3,family_B50_A30_C20,2,49.10389307574175
2028Q3,recommended_ws23_60_20_20,2,49.10389307574175
2028Q3,median_all,2,49.10389307574175
2028Q4,ew_all,2,24.06119268913004
2028Q4,invmae_all,2,24.061003041660214
2028Q4,invmae_recency,2,24.060826046658974
2028Q4,family_equal_thirds,2,24.06119268913004
2028Q4,family_B50_A30_C20,2,24.06119268913004
2028Q4,recommended_ws23_60_20_20,2,24.06119268913004
2028Q4,median_all,2,24.06119268913004
