scheme,2026Q3,2026Q4,2027Q1,2027Q2,2027Q3,2027Q4
best_single_prior_mae,50.11777344483114,29.294124937518895,,,,
ew_all,50.49167300979139,28.902861218395763,19.0191423731944,33.856894194649165,49.843153844415845,26.351546795108153
ew_three_least_correlated,49.41488039214043,29.345783107678667,17.62121558941614,33.19119202548303,48.326551246208105,28.145913990893646
ew_top3_prior_mae,49.972964515544845,29.0404291613603,,,,
family_B50_A30_C20,50.62567398681094,29.10710160776484,18.669660677249833,33.69046865235763,49.46400319486391,26.80013859405453
family_equal_thirds,50.63240604381589,29.17729167827485,18.49491982927755,33.60725588121186,49.27442787008794,27.02443449352771
invmae_all,50.42638018989604,28.9652918308402,18.976402096194292,33.826844138209694,49.7919062850514,26.387787123326984
invmae_recency,50.43962353080745,28.967351900378496,19.005612723076922,33.84815688149159,49.8283823170689,26.357698747419928
m5_60_plus_two_independent_40,50.38738029194517,29.242572553196528,18.38456777525085,33.23049741219116,48.99914787115584,26.538382809249523
m5_dispersion_only,50.11777344483114,29.294124937518895,,,,
m5_m3_5050,50.11777344483114,29.294124937518895,,,,
median_all,50.47523027327644,28.71448564448444,19.147919961085567,33.6472522877407,49.8187607404173,26.690996913999296
recommended_ws23_60_20_20,50.4599476502132,29.0798262788901,19.36862406913896,34.02331973694069,50.222304493967776,25.90295499616178
