scheme,eval_window,n,first_quarter,last_quarter,mae,rw_mae,rmse,bias,ratio_to_street
m5_60_plus_two_independent_40,first_half,5,2024Q1,2025Q1,0.7410184298593172,0.6904335648949279,0.985066437202147,-0.396539738194641,0.471448314950632
m5_dispersion_only,first_half,5,2024Q1,2025Q1,0.8734808709466805,0.8327364295401981,1.2224019938264754,0.6119886679189633,0.555723134750648
m5_m3_5050,first_half,5,2024Q1,2025Q1,0.8734808709466805,0.8327364295401981,1.2224019938264754,0.6119886679189633,0.555723134750648
family_equal_thirds,first_half,5,2024Q1,2025Q1,1.0915195124836898,0.9518137915620877,1.499126555913883,-0.534728522522613,0.6944429641161113
ew_three_least_correlated,first_half,5,2024Q1,2025Q1,1.1998926918992965,1.0673682817895958,1.390174023623584,-1.1998926918992965,0.7633917928666056
recommended_ws23_60_20_20,first_half,5,2024Q1,2025Q1,1.2238022538171394,1.177678317511777,1.3482542214140567,0.4799341345174071,0.7786034559280963
family_B50_A30_C20,first_half,5,2024Q1,2025Q1,1.2398616822058883,1.1275919875376386,1.398562909213927,-0.10511537867353837,0.7888207327836577
ew_all,first_half,5,2024Q1,2025Q1,1.3109785631438755,1.2283974081151687,1.4885405994833987,-0.29037178148282405,0.8340664815150679
invmae_all,first_half,5,2024Q1,2025Q1,1.31302879577784,1.2148401443931696,1.5110034295724764,-0.29695218072057444,0.835370873796813
invmae_recency,first_half,5,2024Q1,2025Q1,1.3214892470051816,1.2253413438935286,1.4946970811731655,-0.2374041979431077,0.8407535543269172
_street_baseline,first_half,5,2024Q1,2025Q1,1.5717914485215911,1.4558788888556986,2.0965284293771314,-1.2021492749562892,1.0
ew_top3_prior_mae,first_half,5,2024Q1,2025Q1,1.582591017893987,1.368501843658634,2.0328440311351095,-0.19872065620961407,1.0068708666041883
median_all,first_half,5,2024Q1,2025Q1,1.6113661702580764,1.5079138488388582,1.7258842171798234,0.019417166118750374,1.0251780996605553
best_single_prior_mae,first_half,5,2024Q1,2025Q1,1.95006953711708,1.571622575433819,2.6999839083811557,-0.4646800084516123,1.240666844797567
m5_dispersion_only,full_2024Q1_2026Q2,10,2024Q1,2026Q2,0.7869452728492963,0.702679427505449,1.073940134781474,0.06864823999963968,0.6001819096841574
m5_m3_5050,full_2024Q1_2026Q2,10,2024Q1,2026Q2,0.7869452728492963,0.702679427505449,1.073940134781474,0.06864823999963968,0.6001819096841574
m5_60_plus_two_independent_40,full_2024Q1_2026Q2,10,2024Q1,2026Q2,0.814389034167894,0.7539481713389504,1.0477789119569716,-0.40903615914770486,0.6211125253767515
