prediction_id,guidance_cutoff_at_utc,guided_fiscal_period,hypothesis_id,hypothesis_version,us_feature_id,us_feature_value,europe_feature_id,europe_feature_value,us_revenue_weight,europe_proxy_revenue_weight,revenue_weight_year,weight_source_available_before_cutoff,weighted_composite_value,prior_v1_equal_weight_value,replacement_delta,feature_transform,strict_eligibility,pit_treatment,exclusion_reason,guidance_midpoint,prior_year_comparable_midpoint,guidance_yoy_pct,guidance_yoy_acceleration_pp,feature_direction,strict_evaluation_status
ABNB-2020Q4-GUIDE,2021-02-25T21:05:00Z,2021Q1,H-012,2,US_ACTIVITY_AVAILABLE_PROVIDER,,EU27_PLATFORM_NIGHTS_CONTROL,-34.11304181,0.5044535261,0.4955464739,2025,false,,,,0.5044535261 * U.S. activity growth + 0.4955464739 * EU27 platform-night growth,false,current_snapshot_diagnostic,Underlying SFO and Eurostat inputs lack original historical vintages. Weight disclosure is also after this event cutoff.,,,,,,not_testable
ABNB-2021Q1-GUIDE,2021-05-13T20:00:42Z,2021Q2,H-012,2,US_ACTIVITY_AVAILABLE_PROVIDER,,EU27_PLATFORM_NIGHTS_CONTROL,-61.40680057,0.5044535261,0.4955464739,2025,false,,,,0.5044535261 * U.S. activity growth + 0.4955464739 * EU27 platform-night growth,false,current_snapshot_diagnostic,Underlying SFO and Eurostat inputs lack original historical vintages. Weight disclosure is also after this event cutoff.,,,,,,not_testable
ABNB-2021Q2-GUIDE,2021-08-12T20:01:10Z,2021Q3,H-012,2,US_ACTIVITY_AVAILABLE_PROVIDER,,EU27_PLATFORM_NIGHTS_CONTROL,-56.55736036,0.5044535261,0.4955464739,2025,false,,,,0.5044535261 * U.S. activity growth + 0.4955464739 * EU27 platform-night growth,false,current_snapshot_diagnostic,Underlying SFO and Eurostat inputs lack original historical vintages. Weight disclosure is also after this event cutoff.,,,,,,not_testable
ABNB-2021Q3-GUIDE,2021-11-04T20:01:21Z,2021Q4,H-012,2,US_ACTIVITY_AVAILABLE_PROVIDER,,EU27_PLATFORM_NIGHTS_CONTROL,141.5528277,0.5044535261,0.4955464739,2025,false,,,,0.5044535261 * U.S. activity growth + 0.4955464739 * EU27 platform-night growth,false,current_snapshot_diagnostic,Underlying SFO and Eurostat inputs lack original historical vintages. Weight disclosure is also after this event cutoff.,1435,,,,,not_testable
ABNB-2021Q4-GUIDE,2022-02-15T21:02:10Z,2022Q1,H-012,2,US_ACTIVITY_AVAILABLE_PROVIDER,,EU27_PLATFORM_NIGHTS_CONTROL,33.28758507,0.5044535261,0.4955464739,2025,false,,,,0.5044535261 * U.S. activity growth + 0.4955464739 * EU27 platform-night growth,false,current_snapshot_diagnostic,Underlying SFO and Eurostat inputs lack original historical vintages. Weight disclosure is also after this event cutoff.,1445,,,,,not_testable
ABNB-2022Q1-GUIDE,2022-05-03T20:00:59Z,2022Q2,H-012,2,US_ACTIVITY_AVAILABLE_PROVIDER,160.94641969,EU27_PLATFORM_NIGHTS_CONTROL,128.38845632,0.5044535261,0.4955464739,2025,false,144.8124357461,144.667438,0.1449977461,0.5044535261 * U.S. activity growth + 0.4955464739 * EU27 platform-night growth,false,current_snapshot_diagnostic,Underlying SFO and Eurostat inputs lack original historical vintages. Weight disclosure is also after this event cutoff.,2080,,,,positive,not_testable
ABNB-2022Q2-GUIDE,2022-08-02T20:01:20Z,2022Q3,H-012,2,US_ACTIVITY_AVAILABLE_PROVIDER,78.19709087,EU27_PLATFORM_NIGHTS_CONTROL,165.78389662,0.5044535261,0.4955464739,2025,false,121.6004236157,121.99049375,-0.3900701343,0.5044535261 * U.S. activity growth + 0.4955464739 * EU27 platform-night growth,false,current_snapshot_diagnostic,Underlying SFO and Eurostat inputs lack original historical vintages. Weight disclosure is also after this event cutoff.,2830,,,,positive,not_testable
ABNB-2022Q3-GUIDE,2022-11-01T20:04:23Z,2022Q4,H-012,2,US_ACTIVITY_AVAILABLE_PROVIDER,53.55456706,EU27_PLATFORM_NIGHTS_CONTROL,153.67193415,0.5044535261,0.4955464739,2025,false,103.1673752931,103.61325061,-0.4458753169,0.5044535261 * U.S. activity growth + 0.4955464739 * EU27 platform-night growth,false,current_snapshot_diagnostic,Underlying SFO and Eurostat inputs lack original historical vintages. Weight disclosure is also after this event cutoff.,1840,1435,28.22299652,,positive,not_testable
ABNB-2022Q4-GUIDE,2023-02-14T21:02:02Z,2023Q1,H-012,2,US_ACTIVITY_AVAILABLE_PROVIDER,37.82240511,EU27_PLATFORM_NIGHTS_CONTROL,34.838003,0.5044535261,0.4955464739,2025,false,36.3434951678,36.33020405,0.0132911178,0.5044535261 * U.S. activity growth + 0.4955464739 * EU27 platform-night growth,false,current_snapshot_diagnostic,Underlying SFO and Eurostat inputs lack original historical vintages. Weight disclosure is also after this event cutoff.,1785,1445,23.52941176,-4.69358475,positive,not_testable
ABNB-2023Q1-GUIDE,2023-05-09T20:01:26Z,2023Q2,H-012,2,US_ACTIVITY_AVAILABLE_PROVIDER,25.44487898,EU27_PLATFORM_NIGHTS_CONTROL,38.70293145,0.5044535261,0.4955464739,2025,false,32.0148601317,32.07390522,-0.0590450883,0.5044535261 * U.S. activity growth + 0.4955464739 * EU27 platform-night growth,false,current_snapshot_diagnostic,Underlying SFO and Eurostat inputs lack original historical vintages. Weight disclosure is also after this event cutoff.,2400,2080,15.38461538,-8.14479638,positive,not_testable
ABNB-2023Q2-GUIDE,2023-08-03T20:01:02Z,2023Q3,H-012,2,US_ACTIVITY_AVAILABLE_PROVIDER,16.86563122,EU27_PLATFORM_NIGHTS_CONTROL,33.88308841,0.5044535261,0.4955464739,2025,false,25.2985721245,25.37435982,-0.0757876955,0.5044535261 * U.S. activity growth + 0.4955464739 * EU27 platform-night growth,false,current_snapshot_diagnostic,Underlying SFO and Eurostat inputs lack original historical vintages. Weight disclosure is also after this event cutoff.,3350,2830,18.3745583,2.98994292,positive,not_testable
ABNB-2023Q3-GUIDE,2023-11-01T20:01:04Z,2023Q4,H-012,2,US_ACTIVITY_AVAILABLE_PROVIDER,12.95896469,EU27_PLATFORM_NIGHTS_CONTROL,25.01649868,0.5044535261,0.4955464739,2025,false,18.9340331421,18.98773169,-0.0536985479,0.5044535261 * U.S. activity growth + 0.4955464739 * EU27 platform-night growth,false,current_snapshot_diagnostic,Underlying SFO and Eurostat inputs lack original historical vintages. Weight disclosure is also after this event cutoff.,2150,1840,16.84782609,-1.52673222,positive,not_testable
ABNB-2023Q4-GUIDE,2024-02-13T21:09:06Z,2024Q1,H-012,2,US_ACTIVITY_AVAILABLE_PROVIDER,10.42265412,EU27_PLATFORM_NIGHTS_CONTROL,13.78885985,0.5044535261,0.4955464739,2025,false,12.0907654998,12.10575699,-0.0149914902,0.5044535261 * U.S. activity growth + 0.4955464739 * EU27 platform-night growth,false,current_snapshot_diagnostic,Underlying SFO and Eurostat inputs lack original historical vintages. Weight disclosure is also after this event cutoff.,2050,1785,14.84593838,-2.00188771,positive,not_testable
ABNB-2024Q1-GUIDE,2024-05-08T20:01:08Z,2024Q2,H-012,2,US_ACTIVITY_AVAILABLE_PROVIDER,6.39416924,EU27_PLATFORM_NIGHTS_CONTROL,22.65422891,0.5044535261,0.4955464739,2025,false,14.4517844741,14.52419908,-0.0724146059,0.5044535261 * U.S. activity growth + 0.4955464739 * EU27 platform-night growth,false,current_snapshot_diagnostic,Underlying SFO and Eurostat inputs lack original historical vintages. Weight disclosure is also after this event cutoff.,2710,2400,12.91666667,-1.92927171,positive,not_testable
ABNB-2024Q2-GUIDE,2024-08-06T20:00:57Z,2024Q3,H-012,2,US_ACTIVITY_AVAILABLE_PROVIDER,0.99862473,EU27_PLATFORM_NIGHTS_CONTROL,28.32971006,0.5044535261,0.4955464739,2025,false,14.5424476919,14.66416739,-0.1217196981,0.5044535261 * U.S. activity growth + 0.4955464739 * EU27 platform-night growth,false,current_snapshot_diagnostic,Underlying SFO and Eurostat inputs lack original historical vintages. Weight disclosure is also after this event cutoff.,3700,3350,10.44776119,-2.46890547,positive,not_testable
ABNB-2024Q3-GUIDE,2024-11-07T21:00:59Z,2024Q4,H-012,2,US_ACTIVITY_AVAILABLE_PROVIDER,3.13806871,EU27_PLATFORM_NIGHTS_CONTROL,16.15411984,0.5044535261,0.4955464739,2025,false,9.588126951,9.64609427,-0.057967319,0.5044535261 * U.S. activity growth + 0.4955464739 * EU27 platform-night growth,false,current_snapshot_diagnostic,Underlying SFO and Eurostat inputs lack original historical vintages. Weight disclosure is also after this event cutoff.,2415,2150,12.3255814,1.8778202,positive,not_testable
