method,spec,window,target,n,mae,mae_drift,ratio,rw_ratio,mean_d,nw_t,p,better,p_sign
M1,b_elastic_eq,W1,adj_ebitda_margin_pct,14,2.2144247054993316,2.3846460522876973,0.9286177725935197,0.8212656310935291,-0.1702213467883659,-0.35311508553686083,0.7240021638430183,6/14,0.79052734375
M1,b_elastic_eq,W2,adj_ebitda_margin_pct,10,1.8423256126752836,2.020184833508135,0.9119589366860104,0.7760408724670407,-0.1778592208328515,-0.3846659789793267,0.7004849040897894,4/10,0.75390625
M1,b_elastic_rw,W1,adj_ebitda_margin_pct,14,2.2590052259941182,2.3846460522876973,0.9473125891479592,0.8410627446428913,-0.12564082629357914,-0.3057509895778792,0.759794247085201,7/14,1.0
M1,b_elastic_rw,W2,adj_ebitda_margin_pct,10,1.9104757081829475,2.020184833508135,0.9456935209563607,0.803296645414237,-0.10970912532518744,-0.26516203318062526,0.7908846414270647,5/10,1.0
M4,best1_rw,W1,adj_ebitda_margin_pct,14,2.4309311660114687,2.3846460522876973,1.0194096367800027,1.0370962253930862,0.046285113723771455,0.13054004005235048,0.8961391777666139,6/14,0.79052734375
M4,best1_rw,W2,adj_ebitda_margin_pct,10,2.1565473115545393,2.020184833508135,1.067500000883387,1.0364844224211132,0.13636247804640397,0.4189710032504065,0.6752373242290683,4/10,0.75390625
M4,none_rw,W1,adj_ebitda_margin_pct,14,2.2590052259941182,2.3846460522876973,0.9473125891479592,0.8410627446428913,-0.12564082629357914,-0.3057509895778792,0.759794247085201,7/14,1.0
M4,none_rw,W2,adj_ebitda_margin_pct,10,1.9104757081829475,2.020184833508135,0.9456935209563607,0.803296645414237,-0.10970912532518744,-0.26516203318062526,0.7908846414270647,5/10,1.0
M4,ridge_all_eq,W1,adj_ebitda_margin_pct,14,2.1825635786874504,2.3846460522876973,0.9152568267284865,0.7985735956694915,-0.20208247360024675,-0.43042575274969336,0.6668859654169583,7/14,1.0
M4,ridge_all_eq,W2,adj_ebitda_margin_pct,10,1.8028902563367162,2.020184833508135,0.8924382692280302,0.7497004853947388,-0.21729457717141898,-0.4875697000406229,0.6258546619000702,5/10,1.0
M6,l0_eq,W1,adj_ebitda_margin_pct,14,2.24392810853021,2.3846460522876973,0.9409900082980909,0.8376279059585175,-0.14071794375748695,-0.3249475759847193,0.7452207486055202,6/14,0.79052734375
M6,l0_eq,W2,adj_ebitda_margin_pct,10,1.8050986237216287,2.020184833508135,0.8935314203834507,0.789731801825772,-0.21508620978650636,-0.46093649500776823,0.6448441674336534,4/10,0.75390625
