quarter,revenue,nights,gbv,cor,ops,pd,sm,ga,other_net,sum_lines,adj_ebitda_musd,adj_ebitda_margin_pct,total_cash_costs_musd,vintage_date,horizon_q,spec_id,prior_basis,rev_leg,scenario,n_train,knowable_from,flags
2022Q1,1581.7529973227795,102.09197145944222,19693.31562689441,326.23091436370834,190.54135168995464,222.50918944824977,339.78806317860534,130.82169642049948,45.82480319979943,1209.8912151010177,417.68658542156123,26.406561968178544,1164.0664119012183,2022-02-15,0,a_unit_rw,PIT,naive,backtest,8,2022-02-15,added_2021_obs
2022Q2,2380.6541729717146,131.70784775729456,25614.820761831434,377.3064856710253,212.24534393439265,208.891601896376,486.9815154378293,155.80431241011476,68.96968689034075,1441.229259349738,1008.3946005123174,42.35787843362239,1372.259572459397,2022-02-15,1,a_unit_rw,PIT,naive,backtest,8,2022-02-15,added_2021_obs
2022Q3,3989.156093586311,126.3132316605202,22746.43709000327,399.26947208323855,237.71726706877277,216.20659175309248,446.66319990674583,152.53528085747288,115.56943039227885,1452.3918116693226,2652.333712309267,66.48859182456256,1336.8223812770439,2022-02-15,2,a_unit_rw,PIT,naive,backtest,8,2022-02-15,added_2021_obs
2022Q1,1581.7529973227795,102.09197145944222,19693.31562689441,480.47043566402726,266.63162302850566,246.8461679516626,251.2506750279411,148.81877589916812,45.82480319979943,1394.0176775713048,233.56012295127408,14.765903611157361,1348.1928743715055,2022-02-15,0,a_unit_rw,full_sample,naive,backtest,8,2022-02-15,
2022Q2,2380.6541729717146,131.70784775729456,25614.820761831434,555.6941527224794,297.00282921029583,231.73915456375894,360.0904438351922,177.2382386646039,68.96968689034075,1621.7648189963304,827.859040865725,34.77443512227263,1552.7951321059895,2022-02-15,1,a_unit_rw,full_sample,naive,backtest,8,2022-02-15,
2022Q3,3989.156093586311,126.3132316605202,22746.43709000327,588.0410738306192,332.6466416779869,239.85422261651323,330.27773087991244,173.51948797300463,115.56943039227885,1664.3391569780365,2440.386367000553,61.17550453651487,1548.7697265857578,2022-02-15,2,a_unit_rw,full_sample,naive,backtest,8,2022-02-15,
2022Q2,2271.1555806087936,131.72370469766645,22372.733977491225,352.10388985608415,221.17317537403505,214.49939557797083,480.42122370027954,166.73118294970823,51.193686436890864,1434.9288674580778,887.4203995876067,39.073518660035155,1383.735181021187,2022-05-03,0,a_unit_rw,PIT,naive,backtest,9,2022-05-03,added_2021_obs
2022Q3,3805.6741826381062,126.3284391171504,19867.40374575227,372.5998347769442,247.716542677563,222.0107597911814,440.6460497543807,163.2328876237278,85.7829786961235,1446.2060746237971,2445.2510867104324,64.25277018894393,1360.4230959276738,2022-05-03,1,a_unit_rw,PIT,naive,backtest,9,2022-05-03,added_2021_obs
2022Q4,2606.2998872604285,116.33198780433773,18863.96057695837,353.3121041240687,243.67682358532096,251.5447647193688,535.0910572103928,154.9846315792517,58.748110577765395,1538.609381218403,1126.4386166197908,43.21983905711745,1479.8612706406377,2022-05-03,2,a_unit_rw,PIT,naive,backtest,9,2022-05-03,added_2021_obs
2022Q2,2271.1555806087936,131.72370469766645,22372.733977491225,485.3595333461357,297.0385868073811,231.73915456375894,360.0904438351922,177.2382386646039,51.193686436890864,1551.465957217072,770.8833098286125,33.94233827089793,1500.272270780181,2022-05-03,0,a_unit_rw,full_sample,naive,backtest,9,2022-05-03,
2022Q3,3805.6741826381062,126.3284391171504,19867.40374575227,513.6122807564036,332.68669060484905,239.85422261651323,330.27773087991244,173.51948797300463,85.7829786961235,1589.950412830683,2301.5067485035465,60.47566444345832,1504.1674341345597,2022-05-03,1,a_unit_rw,full_sample,naive,backtest,9,2022-05-03,
2022Q4,2606.2998872604285,116.33198780433773,18863.96057695837,487.0250029140261,327.26129284479487,271.7619364564441,401.06716101980663,164.75144382244778,58.748110577765395,1651.8668370575194,1013.1811607806744,38.87431242018983,1593.118726479754,2022-05-03,2,a_unit_rw,full_sample,naive,backtest,9,2022-05-03,
2022Q3,2955.342560553633,83.36259752619083,12653.954511285874,260.3982925634932,177.16507233749783,225.88465257067188,407.5669715092894,167.64983483450726,48.275705832432685,1238.6648238154596,1764.9534425706063,59.72077369738053,1190.3891179830268,2022-08-02,0,a_unit_rw,PIT,guide_cushion,backtest,10,2022-08-02,added_2021_obs
2022Q4,2414.4779026217225,91.57815362272886,14333.117366947214,294.56192959162587,207.9026123429696,255.93399994689358,494.92203956101747,159.17838778937067,39.44064776843997,1412.4989692318773,1041.4195811582852,43.132288766340594,1373.0583214634373,2022-08-02,1,a_unit_rw,PIT,naive,backtest,10,2022-08-02,added_2021_obs
2023Q1,2378.229213483146,127.42753376629427,21823.900507119,361.6167381233057,215.43768188845547,259.7122923108843,493.40555387092314,171.1242521992195,38.84852316095034,1501.2965183927881,915.7812182513081,38.50685262208424,1462.447995231838,2022-08-02,2,a_unit_rw,PIT,naive,backtest,10,2022-08-02,added_2021_obs
2022Q3,2955.342560553633,83.36259752619083,12653.954511285874,327.13013337330904,219.53589298680154,239.85422261651323,330.27773087991244,173.51948797300463,48.275705832432685,1290.3174678295409,1713.300798556525,57.973001892395416,1242.041761997108,2022-08-02,0,a_unit_rw,full_sample,guide_cushion,backtest,10,2022-08-02,
2022Q4,2414.4779026217225,91.57815362272886,14333.117366947214,370.048829296806,257.6246268680709,271.7619364564441,401.06716101980663,164.75144382244778,39.44064776843997,1465.2539974635754,988.664552926587,40.94734318558316,1425.8133496951355,2022-08-02,1,a_unit_rw,full_sample,naive,backtest,10,2022-08-02,
2023Q1,2378.229213483146,127.42753376629427,21823.900507119,454.28766297864183,266.96178457957865,275.77389285750763,399.83825512789537,177.11554950640553,38.84852316095034,1573.977145050029,843.1005915940672,35.45077096918111,1535.1286218890787,2022-08-02,2,a_unit_rw,full_sample,naive,backtest,10,2022-08-02,
2022Q4,1898.302175162312,88.22847017157078,14234.162925786566,307.66507543830556,211.80342701856537,257.0524269162436,480.1620862376356,162.0386167976732,25.390370765816165,1418.7216324084234,504.9709135197049,26.601187109556353,1393.3312616426072,2022-11-01,0,a_unit_rw,PIT,guide_cushion,backtest,11,2022-11-01,added_2021_obs
2023Q1,1945.4430040232455,127.73291856681966,22549.989310435936,392.982128292342,228.35861256718348,260.8472303498025,478.69082637345366,174.19913288473032,26.02089373452353,1535.077930467512,436.38596729025704,22.431187466700145,1509.0570367329885,2022-11-01,1,a_unit_rw,PIT,naive,backtest,11,2022-11-01,added_2021_obs
2023Q2,2712.532856504247,129.7225962843634,22285.716277123796,422.72796547472456,249.12974617055872,244.95163436850225,517.8745913477878,193.31579705340855,36.280954550985754,1627.999734414982,1120.8140766402507,41.31983411565713,1591.7187798639961,2022-11-01,2,a_unit_rw,PIT,naive,backtest,11,2022-11-01,added_2021_obs
2022Q4,1898.302175162312,88.22847017157078,14234.162925786566,367.4940483536415,248.20140839190614,271.7619364564441,401.06716101980663,164.75144382244778,25.390370765816165,1453.275998044246,470.4165478838822,24.78090970125237,1427.8856272784299,2022-11-01,0,a_unit_rw,full_sample,guide_cushion,backtest,11,2022-11-01,
2023Q1,1945.4430040232455,127.73291856681966,22549.989310435936,469.40197242420635,267.60156837607946,275.77389285750763,399.83825512789537,177.11554950640553,26.02089373452353,1589.7312382920943,381.7326594656748,19.621888622603596,1563.7103445575708,2022-11-01,1,a_unit_rw,full_sample,naive,backtest,11,2022-11-01,
2023Q2,2712.532856504247,129.7225962843634,22285.716277123796,504.93222593851544,291.9421783785903,258.9686909116223,432.56745600975324,196.5522620944373,36.280954550985754,1684.9628133329186,1063.850997722314,39.2198382103044,1648.6818587819328,2022-11-01,2,a_unit_rw,full_sample,naive,backtest,11,2022-11-01,
2023Q1,1845.146739130435,120.87316744228599,20244.88934902764,413.21176736879426,246.71929252500288,264.51092501040284,415.25837018791594,196.39412220661967,17.91157385900192,1536.0944772987357,326.9638356907012,17.72020776216367,1518.1829034397338,2023-02-14,0,a_unit_rw,PIT,guide_cushion,backtest,12,2023-02-14,
2023Q2,2612.1462140992166,124.63866151016865,20314.48146488388,451.3058228355672,273.2885131816693,248.39206957549194,449.24980157660553,217.94647104299784,25.357143067331354,1640.182678212332,997.3206789542161,38.18012458763287,1614.8255351450007,2023-02-14,1,a_unit_rw,PIT,naive,backtest,12,2023-02-14,
