ORACLE_NOT_A_FORECAST,method,object,target,quarter,vintage_date,horizon_q,point,window,prior_basis,spec_id,n_params,n_train,knowable_from,actual,target_print_date,notes,q05,q10,q25,q50,q75,q90,q95,sd,sigma_n,sigma_kind
actual revenue/nights/GBV fed in; diagnostic for the cost-vs-revenue error split only; NOT point-in-time; must never enter a scoreboard or a survivor table,driver-lines,lines_v2,cor_cash_musd,2023Q1,2023-02-14,0,438.43281954805906,W1,PIT,e_revknown_rw,10.0,12.0,2023-02-14,428.0,2023-05-09,rev_leg=actual;scenario=backtest;,380.174481625572,393.0421155077461,414.5433675334109,438.43281954805906,462.3222715627072,483.82352358837204,496.6911574705461,35.41855455580052,4.0,relative
actual revenue/nights/GBV fed in; diagnostic for the cost-vs-revenue error split only; NOT point-in-time; must never enter a scoreboard or a survivor table,driver-lines,lines_v2,ops_cash_musd,2023Q1,2023-02-14,0,262.6832273254905,W1,PIT,e_revknown_rw,10.0,12.0,2023-02-14,267.0,2023-05-09,rev_leg=actual;scenario=backtest;,231.2707879119651,238.2089152965296,249.80222194852794,262.6832273254905,275.5642327024531,287.15753935445144,294.095666739016,19.097407148467312,4.0,relative
actual revenue/nights/GBV fed in; diagnostic for the cost-vs-revenue error split only; NOT point-in-time; must never enter a scoreboard or a survivor table,driver-lines,lines_v2,pd_cash_musd,2023Q1,2023-02-14,0,264.51092501040284,W1,PIT,e_revknown_rw,10.0,12.0,2023-02-14,271.0,2023-05-09,rev_leg=actual;scenario=backtest;,240.54119237365035,245.83543444821316,254.68188082463286,264.51092501040284,274.33996919617283,283.1864155725925,288.48065764715534,14.572562715612186,4.0,relative
actual revenue/nights/GBV fed in; diagnostic for the cost-vs-revenue error split only; NOT point-in-time; must never enter a scoreboard or a survivor table,driver-lines,lines_v2,sm_cash_musd,2023Q1,2023-02-14,0,380.2972366594562,W1,PIT,e_revknown_rw,10.0,12.0,2023-02-14,422.0,2023-05-09,rev_leg=actual;scenario=backtest;,289.6632948076876,309.68179211872496,343.1318233988335,380.2972366594562,417.4626499200789,450.9126812001874,470.9311785112248,55.10152415187674,4.0,relative
actual revenue/nights/GBV fed in; diagnostic for the cost-vs-revenue error split only; NOT point-in-time; must never enter a scoreboard or a survivor table,driver-lines,lines_v2,ga_cash_ex_reserves_musd,2023Q1,2023-02-14,0,196.39412220661967,W1,PIT,e_revknown_rw,10.0,12.0,2023-02-14,191.0,2023-05-09,rev_leg=actual;scenario=backtest;,174.82380099152695,179.5880803378756,187.54898223207874,196.39412220661967,205.2392621811606,213.20016407536374,217.9644434217124,13.113824149246994,4.0,relative
actual revenue/nights/GBV fed in; diagnostic for the cost-vs-revenue error split only; NOT point-in-time; must never enter a scoreboard or a survivor table,driver-lines,margin_v2,adj_ebitda_margin_pct,2023Q1,2023-02-14,0,16.134748014656292,W1,PIT,e_revknown_rw,10.0,12.0,2023-02-14,14.411441144114413,2023-05-09,rev_leg=actual;scenario=backtest;,9.751770324530803,11.1615911832017,13.517340023345147,16.134748014656292,18.752156005967436,21.107904846110884,22.517725704781782,3.8805748946521947,4.0,additive
actual revenue/nights/GBV fed in; diagnostic for the cost-vs-revenue error split only; NOT point-in-time; must never enter a scoreboard or a survivor table,driver-lines,margin_v2,adj_ebitda_musd,2023Q1,2023-02-14,0,293.32971890645143,W1,PIT,e_revknown_rw,10.0,12.0,2023-02-14,262.0,2023-05-09,rev_leg=actual;scenario=backtest;,153.62928095760125,184.48519193633385,236.0440662803025,293.32971890645143,350.61537153260036,402.174245876569,433.0301568553016,84.93183567206964,4.0,relative
actual revenue/nights/GBV fed in; diagnostic for the cost-vs-revenue error split only; NOT point-in-time; must never enter a scoreboard or a survivor table,driver-lines,margin_v2,total_cash_costs_musd,2023Q1,2023-02-14,0,1524.6702810935485,W1,PIT,e_revknown_rw,10.0,12.0,2023-02-14,1556.0,2023-05-09,rev_leg=actual;scenario=backtest;,1403.8086618013128,1430.5036057856125,1475.1096867227286,1524.6702810935485,1574.2308754643684,1618.8369564014845,1645.5319003857842,73.47864716463394,4.0,relative
actual revenue/nights/GBV fed in; diagnostic for the cost-vs-revenue error split only; NOT point-in-time; must never enter a scoreboard or a survivor table,driver-lines,lines_v2,cor_cash_musd,2023Q2,2023-02-14,1,458.4076586250116,W1,PIT,e_revknown_rw,10.0,12.0,2023-02-14,432.0,2023-08-03,rev_leg=actual;scenario=backtest;,383.18463050209897,399.7992889340298,427.5616546911229,458.4076586250116,489.25366255890026,517.0160283159935,533.6306867479242,45.73235386441588,3.0,relative
actual revenue/nights/GBV fed in; diagnostic for the cost-vs-revenue error split only; NOT point-in-time; must never enter a scoreboard or a survivor table,driver-lines,lines_v2,ops_cash_musd,2023Q2,2023-02-14,1,281.28800517021966,W1,PIT,e_revknown_rw,10.0,12.0,2023-02-14,298.0,2023-08-03,rev_leg=actual;scenario=backtest;,243.0071743117051,251.46233684737823,265.5905427212891,281.28800517021966,296.9854676191502,311.1136734930611,319.5688360287342,23.2730926516928,3.0,relative
