id,numerator,denominator,units,cohort_period,recognition_period,source_ids,source_date,admissible_origin,evidence_status,embedded_fx,hedge_basis,baseline_overlap,treatment,allowed_route,unusable_reason,notes,value
fixed_a1,2,3,coefficient_fraction,b=t-1,t,"[""QVS_VARIANCE""]",2026-09-13,2026-09-14,fixed_model_parameter,not_a_second_FX_adjustment,not_applicable_to_definition,definition_only_no_increment,definition_only,fixed_operational_kernel_only,,"Kernel coefficient, not physical share.",0.6666666666666666
fixed_a2,1,3,coefficient_fraction,b=t-2,t,"[""QVS_VARIANCE""]",2026-09-13,2026-09-14,fixed_model_parameter,not_a_second_FX_adjustment,not_applicable_to_definition,definition_only_no_increment,definition_only,fixed_operational_kernel_only,,,0.3333333333333333
lambda_s,operationally estimated R_s,a1*G_lag1+a2*G_lag2,revenue_per_GBV_fraction,lagged net booking flow,target season,"[""QVS_VARIANCE"",""L3_FX""]",2026-09-13,2026-09-14,retained_model_policy,not_a_second_FX_adjustment,reported_revenue_fitted_lambda_may_embed_hedges,definition_only_no_increment,definition_only,existing_policy_only_no_refit,,Not commission take rate; no all22 OLS substitution.,
reported_arithmetic_contribution,lambda_s*a_b*G_b_USD,sum_b lambda_s*a_b*G_b_USD,fraction_of_modeled_reported_revenue,b,t,"[""QVS_VARIANCE""]",2026-09-13,2026-09-14,calculated_identity,reported_USD_GBV_already_translated,same_lambda_basis,definition_only_no_increment,definition_only,backward_model_attribution_only,,"At a1=2/3, first lag is 2G1/(2G1+G2), generally not 2/3.",
reference_arithmetic_contribution,C0_bc,R0=sum_bc C0_bc,fraction_of_reference_modeled_revenue,"b,c",t,"[""L3_DETAIL""]",2026-09-13,2026-09-14,conditional_scenario,C0=C_reported/(e_booking/e_reference),inherited_lambda_unreconciled,definition_only_no_increment,definition_only,reference_cohort_weight_only,,Do not use reported weight with reference FX factor without basis conversion.,
backward_actual_revenue_origin,"C_actual[b,t]","sum_b C_actual[b,t]",fraction_of_recognized_fee_revenue,fixed t across booking b,t,"[""QVS_VARIANCE""]",2026-09-13,2026-09-14,unavailable,not_a_second_FX_adjustment,not_applicable_to_definition,definition_only_no_increment,definition_only,,Actual current-global fee-weighted booking-to-recognition matrix unavailable; model attribution cannot identify it.,,
forward_actual_cohort_recognition,"C_actual[b,t]","sum_t C_actual[b,t]",fraction_of_lifetime_recognized_cohort_fee_revenue,fixed b across t,multiple t,"[""QVS_VARIANCE""]",2026-09-13,2026-09-14,unavailable,not_a_second_FX_adjustment,not_applicable_to_definition,definition_only_no_increment,definition_only,,Same numerator as backward share but different denominator; complete surviving cohort fee matrix unavailable.,,
reported_GBV,bookings inclusive of host earnings and fees/taxes less processed cancellations,1,USD,reported booking/cancellation quarter,not_recognition_period,"[""SEC_Q226""]",2026-08-06,2026-09-14,observed_aggregate_definition,reported_USD_contains_conversion,GBV_not_revenue_hedge_line,already_net_of_processed_cancellations_and_includes_RNPL,definition_only,baseline_input_only,,Metric definition includes nights and seats; not gross cohort or net service-fee revenue.,
reference_GBV,reported_GBV_bc,e_booking_bc/e_reference_c,reference_USD,"b,c",not_recognition_period,"[""L3_DETAIL""]",2026-09-13,2026-09-14,conditional_scenario,fixed_currency_reference_normalization_not_management_CC,GBV_not_revenue_hedge_line,definition_only_no_increment,definition_only,conditional_basis_conversion_only,,,
RNPL_booking_share,RNPL booked GBV during b,all booked GBV during b,fraction_of_booking_flow,b,unknown future t,"[""SEC_Q226""]",2026-08-06,2026-09-14,unavailable,not_a_second_FX_adjustment,not_applicable_to_definition,definition_only_no_increment,definition_only,,Not a recognized-revenue-flow share; even a disclosed booking share needs cohort survival and fee/currency/recognition bridges.,,
unpaid_stock_share,estimated unpaid bookings at snapshot d,total booking backlog at snapshot d,fraction_of_backlog_stock,snapshot d,multiple future t,"[""SEC_Q226"",""QVS_VARIANCE""]",2026-09-13,2026-09-14,unavailable,not_a_second_FX_adjustment,not_applicable_to_definition,definition_only_no_increment,definition_only,,"Stock denominator cannot populate RNPL recognized flow u; payment, cancellation, fee and monthly-recognition bridges missing.",,
