variant,thesis breaker,base,short case,none of the above,pw_dec15,short_day1_median,base_day1_median,breaker_day1_median
BASE (revision 1),0.1394,0.2231,0.5547,0.0828,164.8,-3.8,-3.76,2.19
seed 20260918 (Monte Carlo error),0.1397,0.2239,0.5541,0.0823,164.7,-3.78,-3.7,2.21
print centre 9.0 (sd 1.70),0.1123,0.2197,0.6062,0.0618,163.4,-4.28,-3.87,2.21
print centre 9.2 (sd 1.70),0.124,0.2234,0.5839,0.0686,163.9,-4.11,-3.82,2.19
print centre 9.9 (sd 1.70),0.1555,0.2136,0.5233,0.1076,165.9,-3.24,-3.68,2.18
print centre 10.0 (sd 1.70),0.1587,0.2099,0.5167,0.1148,166.3,-3.08,-3.65,2.17
print sd 1.475,0.1246,0.2465,0.5505,0.0785,164.4,-3.83,-3.79,2.17
print sd 2.159,0.159,0.1869,0.5619,0.0921,165.2,-3.77,-3.75,2.24
C01 tilt 0.32 %/pt (S01 rev-2 value),0.1393,0.2235,0.5553,0.0818,164.9,-3.74,-3.75,2.05
C01 tilt 1.0 %/pt (steeper),0.1393,0.2227,0.5546,0.0834,164.6,-3.85,-3.78,2.32
C01 P(below) 0.62 (Astra),0.1394,0.2233,0.547,0.0903,165.1,-3.7,-3.62,2.37
C01 P(below) 0.82,0.1394,0.2234,0.5624,0.0748,164.3,-3.88,-3.91,1.99
C02 OR 1 (independent of C01 within print),0.1397,0.2264,0.5552,0.0787,164.7,-3.79,-3.76,2.14
C02 OR 4,0.1394,0.2198,0.5541,0.0866,164.7,-3.82,-3.76,2.25
"C02 (d) 0.23, (c) 0.38 (C02 low end)",0.1395,0.2492,0.5212,0.0901,164.7,-3.88,-3.77,2.19
"C02 (d) 0.36, (c) 0.25 (C02 high end)",0.1394,0.2055,0.5772,0.0779,164.8,-3.75,-3.74,2.19
"C02 (a) 0.13, (b) 0.22 (base-rate (a))",0.1076,0.2311,0.5649,0.0964,164.7,-3.66,-3.73,2.21
"C02 (a) 0.24, (b) 0.11 (breaker language likelier)",0.1712,0.2126,0.5437,0.0725,164.8,-3.95,-3.81,2.19
C04 (d) 0.20,0.1394,0.2451,0.5261,0.0895,164.7,-3.86,-3.78,2.19
C04 (d) 0.35,0.1394,0.1977,0.5877,0.0753,164.7,-3.74,-3.73,2.19
C04 (d) odds x2 when the print is <= 8.5,0.1394,0.2231,0.5547,0.0828,164.8,-3.8,-3.76,2.19
short case beats thesis breaker (precedence),0.1068,0.2231,0.5873,0.0828,164.7,-3.47,-3.76,2.27
MATERIAL short case: explicit mid-single bucket only (C02 d x 0.39) OR nights <= 8.5 OR C04 (d),0.1394,0.2625,0.4862,0.1119,164.8,-3.97,-3.85,2.19
MATERIAL short case AND C04 (d) 0.20,0.1394,0.2893,0.4508,0.1206,164.8,-4.07,-3.86,2.19
short nights gate 8.0 (latent < 8.05),0.1394,0.2596,0.5168,0.0843,164.8,-3.74,-3.88,2.19
short nights gate 9.0 (latent < 9.05),0.1394,0.1741,0.6059,0.0806,164.8,-3.88,-3.48,2.19
breaker gate 10.0 (R01) instead of 10.6,0.1593,0.1608,0.5497,0.1302,164.7,-3.82,-4.66,1.77
