dimension,level,thesis breaker,base,short case,none of the above,row_total
print,<=8.5,0.0,0.0,0.2886,0.0,0.2886
print,8.5-10.0,0.0,0.1608,0.1559,0.0093,0.326
print,10.0-10.6,0.0,0.0623,0.0536,0.0089,0.1248
print,>=10.6,0.1394,0.0,0.0567,0.0646,0.2607
c01,below,0.0696,0.1596,0.4547,0.0369,0.7208
c01,not_below,0.0698,0.0635,0.1,0.0459,0.2792
c02,a,0.1394,0.0156,0.0126,0.0121,0.1797
c02,b,0.0,0.0777,0.0685,0.0234,0.1696
c02,c,0.0,0.1214,0.1446,0.0344,0.3004
c02,d,0.0,0.0,0.3104,0.0,0.3104
c02,e,0.0,0.0085,0.0186,0.013,0.0401
c04,a,0.0402,0.1057,0.1575,0.0312,0.3346
c04,b,0.0496,0.0885,0.1207,0.0383,0.2971
c04,c,0.0102,0.0133,0.0158,0.008,0.0473
c04,d,0.0326,0.0,0.2387,0.0,0.2713
c04,e,0.0067,0.0156,0.022,0.0053,0.0496
