print_quarter,print_date,nights_yoy,accel_pts,descriptor_option,descriptor_type,guide_below_street,fy_margin_action,ret_1d_raw,ret_1d_excess,cell_literal,cell_material
3Q22,2022-11-01,25.09,0.3,d,directional,True,none,-13.4,-9.99731611111141,short case,none of the above
4Q22,2023-02-14,20.16,-4.93,a,directional,False,first,13.4,12.587084097299517,short case,short case
1Q23,2023-05-09,18.61,-1.55,d,directional,True,reiterated,-10.9,-12.011284172668258,short case,base
2Q23,2023-08-03,10.99,-7.62,a,directional,False,reiterated,-0.5,-0.0358024542799317,short case,short case
3Q23,2023-11-01,13.54,2.55,d,directional,True,raised,-3.3,-5.138343518352517,short case,none of the above
4Q23,2024-02-13,12.02,-1.52,d,directional,False,first,-1.7,-2.8269012489926304,short case,none of the above
1Q24,2024-05-08,9.5,-2.52,b,directional,True,reiterated,-6.9,-7.089582215829548,short case,short case
2Q24,2024-08-06,8.69,-0.81,d,directional,True,reiterated,-13.4,-12.299408707793136,short case,base
3Q24,2024-11-07,8.48,-0.21,b,directional,True,raised,-8.7,-8.775318433663216,base,base
4Q24,2025-02-13,12.35,3.87,c,directional,True,first,14.4,14.029951193282542,none of the above,none of the above
1Q25,2025-05-01,7.92,-4.43,d,directional,True,reiterated,1.0,-0.476403521064217,short case,short case
2Q25,2025-08-06,7.43,-0.48,b,directional,False,reiterated,-8.0,-8.361419760084498,base,base
3Q25,2025-11-06,8.79,1.36,d,bucket,False,raised,0.3,0.6059113007407468,short case,short case
4Q25,2026-02-12,9.82,1.03,c,bucket,False,first,4.6,4.435053315427617,none of the above,none of the above
1Q26,2026-05-07,9.15,-0.67,d,directional,False,first,0.7,-1.6107801379421582,short case,none of the above
2Q26,2026-08-06,10.34,1.19,a,bucket,False,raised,17.4,16.256840829448272,thesis breaker,thesis breaker
