print,date,statement,reported_metric_named,quantified,type,strict_reading,generous_reading,ledger_id_or_source
3Q25 letter,2025-11-06,"While we expect some cancellations closer to the date of stay, which may or may not occur in the same booking quarter, we expect a net benefit to overall bookings based on prior testing.",nights (implicit),no,net-positive reiteration + timing,No,No,D009
3Q25 call,2025-11-06,"Yes, there are increased cancellations, but we're highly confident that the net impact of the product is a lift to net bookings.",none,no,net-positive reiteration,No,No,D006
4Q25 call,2026-02-12,"an average of maybe 16% cancellation rate historically going to 17% is obviously higher within the cohorts that chooses that product, but is not hugely material",platform cancellation rate (not a listed reported metric),yes (about 1 point),quantified rise in cancellation rate; immateriality claim,No (cancellation rate is not in the question's metric list; framed as not material),Yes (a quantified negative attributable to RNPL),D017 D018
4Q25 call,2026-02-12,"we are already absorbing the elevated level of cancellations from that product",none,no,net-positive reiteration,No,No,D021
1Q26 call,2026-05-07,"there's a very elevated level of cancellations that come with the program. Across all regions, what we see is that the net impact is positive",none,no,net-positive reiteration,No,No,D035
1Q26 letter,2026-05-07,"Our FCF declined slightly year-over-year primarily due to the working capital impact from the continued expansion of Reserve Now, Pay Later.",FCF (listed metric),no (direction only),timing / working capital,No (timing effect),Yes (RNPL reduced a reported metric),data/raw/letters/1Q26_d23351dex991.htm
1Q26 and 2Q26 letters,2026-08-06,"Absent the impact of Reserve Now, Pay Later bookings ... we expect that unearned fees would have grown year-over-year.",unearned fees (listed metric),no,timing,No (timing; part of the boilerplate baseline),Yes,D037 D051
2Q26 10-Q,2026-08-06,"RNPL bookings ... have experienced higher cancellation rates than historic bookings ... the timing among GBV, revenue, and cash receipts may become less correlated.",none quantified,no,the question's boilerplate baseline,No (baseline by fine print),No (baseline),research/notes/2026-09-11_rnpl-balance-sheet-and-q3-bridge.md
2Q26 letter and call,2026-08-06,"Factors impacting the Q2 2026 take rate included FX and the timing of when guests booked their travel and when guests stayed - a dynamic that reflects the growth of Reserve Now, Pay Later; FY26 take rate relatively flat ... accounting for the timing of bookings versus check-in with Reserve Now, Pay Later",take rate (listed metric),no,timing described as neutral,No,Yes,D049 D050
SUMMARY,,"Strict reading: 0 of 4 prints since launch would have resolved Yes. Generous reading: 3 of 4 (4Q25, 1Q26, 2Q26).",,,,0/4,3/4,
