metric,4Q20,1Q21,2Q21,3Q21,4Q21,1Q22,2Q22,3Q22,4Q22,1Q23,2Q23,3Q23,4Q23,1Q24,2Q24,3Q24,4Q24,1Q25,2Q25,3Q25,4Q25,1Q26,2Q26
cross-border share %,--,-C,-C,LC,L-,L-,L-,LC,LC,LC,LC,LC,LC,L-,L-,L-,L-,--,--,--,--,--,--
long-term stays share %,--,L-,L-,L-,L-,LC,LC,LC,LC,LC,LC,L-,L-,L-,-C,L-,--,--,--,--,--,--,--
urban/high-density share %,--,L-,L-,LC,LC,LC,LC,LC,LC,LC,LC,L-,L-,L-,--,--,--,--,--,--,--,--,--
active listings growth %,--,L-,L-,L-,L-,LC,LC,L-,L-,L-,LC,L-,LC,LC,LC,--,--,--,--,--,--,--,--
1BR vs hotel price comparison,--,--,--,--,--,--,--,--,--,--,--,L-,LC,-C,--,--,--,--,--,--,--,--,--
FX service fee (bps),--,--,--,--,--,--,--,--,--,--,--,--,-C,--,L-,--,-C,--,--,--,--,--,--
Middle East conflict (pts),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,LC,LC
Guest Favorites share,--,--,--,--,--,--,--,--,--,--,--,--,L-,--,LC,L-,--,--,--,--,-C,--,--
app share of nights %,--,--,--,--,--,--,--,--,--,--,--,--,--,L-,L-,LC,L-,L-,L-,L-,L-,LC,L-
first-time bookers growth,--,-C,-C,--,--,--,--,--,--,L-,-C,-C,LC,--,LC,LC,L-,LC,LC,LC,LC,LC,LC
bedroom nights,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,LC
RNPL/bundle contribution (pts),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-C,-C,--
RNPL GBV share,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,LC,-C
single-fee listings %,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-C,-C
cancellation rate %,--,-C,--,--,LC,LC,L-,L-,L-,--,--,--,--,--,L-,L-,L-,-C,--,-C,-C,--,--
take rate bps guide,--,--,--,--,--,--,--,--,--,--,--,-C,--,--,--,--,-C,-C,--,--,--,--,--
