statement_type,example,resolves,clause,note
qualitative tough-comparison / lap sentence,tougher comparisons in the back half against the rollout of RNPL (D040); we lapped RNPL in the US,No,no listed metric named as reduced; describes the prior-year base,"rev-1 convention 2, kept"
quantified lap effect on a listed 3Q26/4Q26 metric,the RNPL comparison reduced Q3 nights growth by about 2 points,Yes,quantified negative effect (points) on a reported metric,NEW in rev 2 (A04-01): C05 already counts this as a 3Q26 quantification; the two logs now agree
"statement that the net benefit or lift has declined or moderated, even if still positive",the incremental lift from RNPL is smaller now that we have lapped the US launch,Yes,net benefit has declined,NEW in rev 2 (A04-01); a bare lap sentence with no decline in benefit stated is No
repeated direction-only timing sentence,"absent RNPL, unearned fees would have grown year-over-year (D037/D051); take-rate timing (D049/D050)",No,timing language already on the record before the 2Q26 10-Q; not promoted automatically,"rev-1 convention 1, kept; resolver risk priced"
NEW dollar or point quantification of a timing effect,RNPL reduced unearned fees by roughly $150M; reduced FCF by about $X,Yes,quantified negative effect (dollars) on a listed metric,kept from rev 1
cancellations exceeded expectations or the tested curve,cancellation rates have run above what we saw in testing,Yes,explicit clause,kept
cancellation-rate figure alone,17% to 18%,No,cancellation rate is not a listed metric,"rev-1 convention 3, kept; Yes only if tied to a listed metric or to expectations"
terms change motivated by cancellations,"deposit, shorter deferral, host opt-out, eligibility cut to reduce cancellations",Yes,explicit clause,kept
net-positive reiteration; unchanged 10-Q boilerplate; timing described as neutral,D033/D035-style; the 2Q26 10-Q sentences verbatim,No,fine print baseline,kept
10-Q adds a new clause tying higher cancellations to Nights/GBV (unquantified),...which reduced Nights and Seats Booked,Yes (weak),"statement that RNPL reduced a reported metric, beyond the baseline","rev-1 10-Q creep route, kept"
