ledger,source_id,source_url,exact_match_to_frozen_team_urls,declared_overlap_status,interpretation
hotel_13_austin_sources,H13-AUS-REG,https://data.austintexas.gov/Public-Safety/Hotel-Motel-and-B-B-Licenses/av8n-pmdr,False,See source ledger,Exact URL match only; a new URL does not establish independent evidence or claim novelty.
hotel_13_austin_sources,H13-AUS-CVB,https://www.austintexas.org/meeting-professionals/why-austin/meeting-faq/,False,See source ledger,Exact URL match only; a new URL does not establish independent evidence or claim novelty.
hotel_13_austin_sources,H13-AUS-TAX,https://comptroller.texas.gov/taxes/hotel/faq.php,False,See source ledger,Exact URL match only; a new URL does not establish independent evidence or claim novelty.
hotel_13_london_sources,HOTEL-13-LON-GLA-2026,https://www.london.gov.uk/sites/default/files/2026-07/Visitor%20Accommodation%20in%20London%20-%202026%20report.pdf,False,"New exact source-table extraction, same underlying Q1 2025 GLA/CoStar lineage as existing HOTEL-LON; refinement only, not an independent dataset or new capacity period",Exact URL match only; a new URL does not establish independent evidence or claim novelty.
hotel_13_london_sources,HOTEL-LON,https://data.london.gov.uk/blog/a-snapshot-of-tourist-accommodation-in-london/,True,"Already present in research/sources/hotel_funnel_audit.json, analysis/config/hotel_funnel_audit.json and existing capacity anchors; explicitly reused, not counted as new evidence",Exact URL match only; a new URL does not establish independent evidence or claim novelty.
hotel_13_london_sources,HOTEL-13-LON-GLA-2026-LANDING,https://www.london.gov.uk/programmes-strategies/business-and-economy/business-and-economy-publications/visitor-accommodation-london-post-pandemic-recovery-and-supply-demand-forecasts-2050,False,See source ledger,Exact URL match only; a new URL does not establish independent evidence or claim novelty.
hotel_13_london_sources,HOTEL-13-LON-LINK-DISCOVERY,https://hotelhunt.co.uk/guides/london-visitors-hotel-review/,False,See source ledger,Exact URL match only; a new URL does not establish independent evidence or claim novelty.
hotel_13_us_west_chicago_sources,H13-CHI-LICENSES,https://data.cityofchicago.org/resource/uupf-x98q.json?$where=upper(business_activity)%20like%20%27%25HOTEL%25%27%20OR%20upper(license_description)%20like%20%27%25HOTEL%25%27&$limit=50000,False,not found in other accessible research source/memo files by exact-URL scan; independent discovery claim limited to this repository,Exact URL match only; a new URL does not establish independent evidence or claim novelty.
hotel_13_us_west_chicago_sources,H13-CHI-METADATA,https://data.cityofchicago.org/api/views/uupf-x98q.json,False,not found in other accessible research source/memo files by exact-URL scan; independent discovery claim limited to this repository,Exact URL match only; a new URL does not establish independent evidence or claim novelty.
hotel_13_us_west_chicago_sources,H13-CHI-2024-CBD,https://cdn.choosechicago.com/uploads/2024/03/DNC_Choose-Chicago-Partner-Event-Presentation-3.6.24_DEE9BA57-5056-A36F-237DF37A967C68B9.pdf,False,not found in other accessible research source/memo files by exact-URL scan; independent discovery claim limited to this repository,Exact URL match only; a new URL does not establish independent evidence or claim novelty.
hotel_13_us_west_chicago_sources,H13-LA-TMD-DIRECTORY,https://www.discoverlosangeles.com/tmd,False,not found in other accessible research source/memo files by exact-URL scan; independent discovery claim limited to this repository,Exact URL match only; a new URL does not establish independent evidence or claim novelty.
hotel_13_us_west_chicago_sources,H13-LA-TMD-PLAN,https://cityclerk.lacity.org/onlinedocs/2014/14-0943-S3_misc_2_09-11-24.pdf,False,not found in other accessible research source/memo files by exact-URL scan; independent discovery claim limited to this repository,Exact URL match only; a new URL does not establish independent evidence or claim novelty.
