market,market_label,country,requested_period,required_metrics,coverage_status,missing_policy,geography_rule
austin,Austin,United States,2024-01 through latest complete month; forward bookings separately,hotel/home/unknown reservations; room nights; room value; unique hotels; active panel consumers; cancellations; HotelTonight split,no entitled production export obtained,retain this market with explicit missing status; do not impute zero business,Preserve each hotel source boundary; retain Austin despite listing-growth exclusion
barcelona,Barcelona,Spain,2024-01 through latest complete month; forward bookings separately,hotel/home/unknown reservations; room nights; room value; unique hotels; active panel consumers; cancellations; HotelTonight split,no entitled production export obtained,retain this market with explicit missing status; do not impute zero business,Preserve each hotel source boundary; do not mix city and province
chicago,Chicago,United States,2024-01 through latest complete month; forward bookings separately,hotel/home/unknown reservations; room nights; room value; unique hotels; active panel consumers; cancellations; HotelTonight split,no entitled production export obtained,retain this market with explicit missing status; do not impute zero business,Preserve each hotel source boundary; CBD is a subset of city
london,London,United Kingdom,2024-01 through latest complete month; forward bookings separately,hotel/home/unknown reservations; room nights; room value; unique hotels; active panel consumers; cancellations; HotelTonight split,no entitled production export obtained,retain this market with explicit missing status; do not impute zero business,Preserve each hotel source boundary; City of London is a subset of Greater London
los-angeles,Los Angeles,United States,2024-01 through latest complete month; forward bookings separately,hotel/home/unknown reservations; room nights; room value; unique hotels; active panel consumers; cancellations; HotelTonight split,no entitled production export obtained,retain this market with explicit missing status; do not impute zero business,Preserve each hotel source boundary; city county and destination region differ
mexico-city,Mexico City,Mexico,2024-01 through latest complete month; forward bookings separately,hotel/home/unknown reservations; room nights; room value; unique hotels; active panel consumers; cancellations; HotelTonight split,no entitled production export obtained,retain this market with explicit missing status; do not impute zero business,Preserve each hotel source boundary; Ciudad de Mexico and Estado de Mexico differ
nashville,Nashville,United States,2024-01 through latest complete month; forward bookings separately,hotel/home/unknown reservations; room nights; room value; unique hotels; active panel consumers; cancellations; HotelTonight split,no entitled production export obtained,retain this market with explicit missing status; do not impute zero business,Preserve each hotel source boundary; Davidson County and MSA differ
new-orleans,New Orleans,United States,2024-01 through latest complete month; forward bookings separately,hotel/home/unknown reservations; room nights; room value; unique hotels; active panel consumers; cancellations; HotelTonight split,no entitled production export obtained,retain this market with explicit missing status; do not impute zero business,Preserve each hotel source boundary; downtown is a subset of city
new-york-city,New York City,United States,2024-01 through latest complete month; forward bookings separately,hotel/home/unknown reservations; room nights; room value; unique hotels; active panel consumers; cancellations; HotelTonight split,no entitled production export obtained,retain this market with explicit missing status; do not impute zero business,Preserve each hotel source boundary; five-borough city and CoStar market definitions require reconciliation
paris,Paris,France,2024-01 through latest complete month; forward bookings separately,hotel/home/unknown reservations; room nights; room value; unique hotels; active panel consumers; cancellations; HotelTonight split,no entitled production export obtained,retain this market with explicit missing status; do not impute zero business,Preserve each hotel source boundary; municipality and Greater Paris differ
rome,Rome,Italy,2024-01 through latest complete month; forward bookings separately,hotel/home/unknown reservations; room nights; room value; unique hotels; active panel consumers; cancellations; HotelTonight split,no entitled production export obtained,retain this market with explicit missing status; do not impute zero business,Preserve each hotel source boundary; Roma Capitale and metropolitan area differ
san-diego,San Diego,United States,2024-01 through latest complete month; forward bookings separately,hotel/home/unknown reservations; room nights; room value; unique hotels; active panel consumers; cancellations; HotelTonight split,no entitled production export obtained,retain this market with explicit missing status; do not impute zero business,Preserve each hotel source boundary; city and county differ
sydney,Sydney,Australia,2024-01 through latest complete month; forward bookings separately,hotel/home/unknown reservations; room nights; room value; unique hotels; active panel consumers; cancellations; HotelTonight split,no entitled production export obtained,retain this market with explicit missing status; do not impute zero business,Preserve each hotel source boundary; City of Sydney LGA and Greater Sydney differ
