check,passed
eligibility output hash comparisons.csv,True
eligibility output hash coverage_change.csv,True
eligibility output hash deletions.csv,True
eligibility output hash promotion_gates.csv,True
standalone targetset 0,True
standalone n 0,True
standalone targetset 1,True
standalone n 1,True
standalone targetset 2,True
standalone n 2,True
standalone targetset 3,True
standalone n 3,True
standalone targetset 4,True
standalone n 4,True
standalone targetset 5,True
standalone n 5,True
standalone targetset 6,True
standalone n 6,True
standalone targetset 7,True
standalone n 7,True
standalone targetset 8,True
standalone n 8,True
standalone targetset 9,True
standalone n 9,True
standalone targetset 10,True
standalone n 10,True
standalone targetset 11,True
standalone n 11,True
standalone statistic 0rmse_ratio,True
standalone statistic 0candidate_rmse_musd,True
standalone statistic 0reference_rmse_musd,True
standalone statistic 0ratio_p05,True
standalone statistic 0ratio_p95,True
standalone statistic 1rmse_ratio,True
standalone statistic 1candidate_rmse_musd,True
standalone statistic 1reference_rmse_musd,True
standalone statistic 1ratio_p05,True
standalone statistic 1ratio_p95,True
standalone statistic 2rmse_ratio,True
standalone statistic 2candidate_rmse_musd,True
standalone statistic 2reference_rmse_musd,True
standalone statistic 2ratio_p05,True
standalone statistic 2ratio_p95,True
standalone statistic 3rmse_ratio,True
standalone statistic 3candidate_rmse_musd,True
standalone statistic 3reference_rmse_musd,True
standalone statistic 3ratio_p05,True
standalone statistic 3ratio_p95,True
standalone statistic 4rmse_ratio,True
standalone statistic 4candidate_rmse_musd,True
standalone statistic 4reference_rmse_musd,True
standalone statistic 4ratio_p05,True
standalone statistic 4ratio_p95,True
standalone statistic 5rmse_ratio,True
standalone statistic 5candidate_rmse_musd,True
standalone statistic 5reference_rmse_musd,True
standalone statistic 5ratio_p05,True
standalone statistic 5ratio_p95,True
standalone statistic 6rmse_ratio,True
standalone statistic 6candidate_rmse_musd,True
standalone statistic 6reference_rmse_musd,True
standalone statistic 6ratio_p05,True
standalone statistic 6ratio_p95,True
standalone statistic 7rmse_ratio,True
standalone statistic 7candidate_rmse_musd,True
standalone statistic 7reference_rmse_musd,True
standalone statistic 7ratio_p05,True
standalone statistic 7ratio_p95,True
standalone statistic 8rmse_ratio,True
standalone statistic 8candidate_rmse_musd,True
standalone statistic 8reference_rmse_musd,True
standalone statistic 8ratio_p05,True
standalone statistic 8ratio_p95,True
standalone statistic 9rmse_ratio,True
standalone statistic 9candidate_rmse_musd,True
standalone statistic 9reference_rmse_musd,True
standalone statistic 9ratio_p05,True
standalone statistic 9ratio_p95,True
standalone statistic 10rmse_ratio,True
standalone statistic 10candidate_rmse_musd,True
standalone statistic 10reference_rmse_musd,True
standalone statistic 10ratio_p05,True
standalone statistic 10ratio_p95,True
standalone statistic 11rmse_ratio,True
standalone statistic 11candidate_rmse_musd,True
standalone statistic 11reference_rmse_musd,True
standalone statistic 11ratio_p05,True
standalone statistic 11ratio_p95,True
standalone statistic 12rmse_ratio,True
standalone statistic 12candidate_rmse_musd,True
standalone statistic 12reference_rmse_musd,True
standalone statistic 12ratio_p05,True
standalone statistic 12ratio_p95,True
standalone statistic 13rmse_ratio,True
standalone statistic 13candidate_rmse_musd,True
standalone statistic 13reference_rmse_musd,True
standalone statistic 13ratio_p05,True
standalone statistic 13ratio_p95,True
standalone statistic 14rmse_ratio,True
standalone statistic 14candidate_rmse_musd,True
standalone statistic 14reference_rmse_musd,True
standalone statistic 14ratio_p05,True
standalone statistic 14ratio_p95,True
standalone statistic 15rmse_ratio,True
standalone statistic 15candidate_rmse_musd,True
standalone statistic 15reference_rmse_musd,True
standalone statistic 15ratio_p05,True
standalone statistic 15ratio_p95,True
standalone statistic 16rmse_ratio,True
standalone statistic 16candidate_rmse_musd,True
standalone statistic 16reference_rmse_musd,True
standalone statistic 16ratio_p05,True
standalone statistic 16ratio_p95,True
standalone statistic 17rmse_ratio,True
standalone statistic 17candidate_rmse_musd,True
standalone statistic 17reference_rmse_musd,True
standalone statistic 17ratio_p05,True
standalone statistic 17ratio_p95,True
standalone statistic 18rmse_ratio,True
standalone statistic 18candidate_rmse_musd,True
standalone statistic 18reference_rmse_musd,True
standalone statistic 18ratio_p05,True
standalone statistic 18ratio_p95,True
standalone statistic 19rmse_ratio,True
standalone statistic 19candidate_rmse_musd,True
standalone statistic 19reference_rmse_musd,True
standalone statistic 19ratio_p05,True
standalone statistic 19ratio_p95,True
standalone statistic 20rmse_ratio,True
standalone statistic 20candidate_rmse_musd,True
standalone statistic 20reference_rmse_musd,True
standalone statistic 20ratio_p05,True
standalone statistic 20ratio_p95,True
standalone statistic 21rmse_ratio,True
standalone statistic 21candidate_rmse_musd,True
standalone statistic 21reference_rmse_musd,True
standalone statistic 21ratio_p05,True
standalone statistic 21ratio_p95,True
standalone statistic 22rmse_ratio,True
standalone statistic 22candidate_rmse_musd,True
standalone statistic 22reference_rmse_musd,True
standalone statistic 22ratio_p05,True
standalone statistic 22ratio_p95,True
standalone statistic 23rmse_ratio,True
standalone statistic 23candidate_rmse_musd,True
standalone statistic 23reference_rmse_musd,True
standalone statistic 23ratio_p05,True
standalone statistic 23ratio_p95,True
standalone deletion 0,True
standalone deletion 1,True
standalone deletion 2,True
standalone deletion 3,True
standalone deletion 4,True
standalone deletion 5,True
standalone deletion 6,True
standalone deletion 7,True
standalone deletion 8,True
standalone deletion 9,True
standalone deletion 10,True
standalone deletion 11,True
standalone deletion 12,True
standalone deletion 13,True
standalone deletion 14,True
standalone deletion 15,True
standalone deletion 16,True
standalone deletion 17,True
standalone deletion 18,True
standalone deletion 19,True
standalone deletion 20,True
standalone deletion 21,True
standalone deletion 22,True
standalone deletion 23,True
standalone deletion 24,True
standalone deletion 25,True
standalone deletion 26,True
standalone deletion 27,True
standalone deletion 28,True
standalone deletion 29,True
standalone deletion 30,True
standalone deletion 31,True
standalone deletion 32,True
standalone deletion 33,True
standalone deletion 34,True
standalone deletion 35,True
standalone deletion 36,True
standalone deletion 37,True
standalone deletion 38,True
standalone deletion 39,True
standalone deletion 40,True
standalone deletion 41,True
standalone deletion 42,True
standalone deletion 43,True
standalone deletion 44,True
standalone deletion 45,True
standalone deletion 46,True
standalone deletion 47,True
standalone deletion 48,True
standalone deletion 49,True
standalone deletion 50,True
standalone deletion 51,True
standalone deletion 52,True
standalone deletion 53,True
standalone deletion 54,True
standalone deletion 55,True
standalone deletion 56,True
standalone deletion 57,True
standalone deletion 58,True
standalone deletion 59,True
standalone deletion 60,True
standalone deletion 61,True
standalone deletion 62,True
standalone deletion 63,True
standalone deletion 64,True
standalone deletion 65,True
standalone deletion 66,True
standalone deletion 67,True
standalone deletion 68,True
standalone deletion 69,True
standalone deletion 70,True
standalone deletion 71,True
standalone deletion 72,True
standalone deletion 73,True
standalone deletion 74,True
standalone deletion 75,True
standalone deletion 76,True
standalone deletion 77,True
standalone deletion 78,True
standalone deletion 79,True
standalone deletion 80,True
standalone deletion 81,True
standalone deletion 82,True
standalone deletion 83,True
standalone deletion 84,True
standalone deletion 85,True
standalone deletion 86,True
standalone deletion 87,True
standalone deletion 88,True
standalone deletion 89,True
standalone deletion 90,True
standalone deletion 91,True
standalone deletion 92,True
standalone deletion 93,True
standalone deletion 94,True
standalone deletion 95,True
standalone deletion 96,True
standalone deletion 97,True
standalone deletion 98,True
standalone deletion 99,True
standalone deletion 100,True
standalone deletion 101,True
standalone deletion 102,True
standalone deletion 103,True
standalone deletion 104,True
standalone deletion 105,True
standalone deletion 106,True
standalone deletion 107,True
standalone deletion 108,True
standalone deletion 109,True
