print_quarter,print_date,target_period,metric,value_low,value_high,value_mid,actual,outcome,conservatism_pp,quote
4Q25,2026-02-12,1Q26,gbv_yoy_pct,12.0,14.0,13.0,19.18,above_range,6.18,We expect GBV to increase in the low teens year-over-year
1Q26,2026-05-07,2026Q2,gbv_yoy_pct,10.0,12.0,11.0,15.74,above_range,4.74,"In Q2 2026, we expect GBV to increase in the low double digits year-over-year"
2Q26,2026-08-06,3Q26,gbv_yoy_pct,14.0,16.0,15.0,,pending,,We expect year-over-year GBV growth to be in the mid teens
3Q25,2025-11-06,4Q25,gbv_yoy_pct,10.0,12.0,11.0,15.91,above_range,4.91,"In Q4 2025, we expect our GBV to grow low-double- digits year-over-year"
4Q25,2026-02-12,1Q26,nights_yoy_pct,7.0,9.0,8.0,9.15,above_range,1.1500000000000004,driven by high-single-digit growth in Nights and Seats Booked and a moderate increase in ADR due to price appreciation and FX
2Q26,2026-08-06,3Q26,nights_yoy_pct,10.0,12.0,11.0,,pending,,driven by low double-digit growth in Nights and Seats Booked and a moderate increase in ADR due to mix shift and price appreciation
3Q25,2025-11-06,4Q25,nights_yoy_pct,4.0,6.0,5.0,9.82,above_range,4.82,"In Q4 2025, we expect year-over-year growth of Nights and Seats Booked in the mid-single-digit range due to the challenging Q4 2024 comparison"
4Q25,2026-02-12,FY2026,revenue_yoy_pct,10.0,12.0,11.0,,pending,,"For 2026, we expect year-over-year revenue growth to accelerate to at least low double digits"
1Q26,2026-05-07,FY2026,revenue_yoy_pct,12.0,16.0,14.0,,pending,,"For 2026, we are raising our guidance and now expect year-over-year revenue growth to accelerate to low to mid teens"
2Q26,2026-08-06,FY2026,revenue_yoy_pct,14.0,16.0,15.0,,pending,,we now expect year-over-year revenue growth to improve to at least mid teens
