print_quarter,print_date,cons_revenue_musd,cons_revenue_vendor,guide_mid_for_this_q,actual_revenue_musd,kappa_pct,revenue_surprise_pct
2021Q4,2022-02-15,1460.0,Refinitiv,1435.0,1532.0,1.7421602787456525,4.932
2022Q1,2022-05-03,1450.0,Refinitiv,1445.0,1509.0,0.34602076124568004,4.069
2022Q2,2022-08-02,2110.0,Refinitiv,2080.0,2104.0,1.4423076923076872,-0.284
2022Q3,2022-11-01,2800.0,Refinitiv,2830.0,2884.0,-1.0600706713780883,3.0
2022Q4,2023-02-14,1860.0,Refinitiv,1840.0,1902.0,1.0869565217391353,2.258
2023Q1,2023-05-09,1790.0,Refinitiv,1785.0,1818.0,0.2801120448179262,1.564
2023Q2,2023-08-03,2420.0,Refinitiv,2400.0,2484.0,0.8333333333333304,2.645
2023Q3,2023-11-01,3370.0,LSEG,3350.0,3397.0,0.5970149253731405,0.801
2023Q4,2024-02-13,2170.0,LSEG,2150.0,2218.0,0.9302325581395321,2.212
2024Q1,2024-05-08,2060.0,LSEG,2050.0,2142.0,0.4878048780487809,3.981
2024Q2,2024-08-06,2740.0,LSEG,2710.0,2748.0,1.1070110701107083,0.292
2024Q3,2024-11-07,3720.0,LSEG,3700.0,3732.0,0.540540540540535,0.323
2024Q4,2025-02-13,2420.0,LSEG,2415.0,2480.0,0.20703933747412417,2.479
2025Q1,2025-05-01,2260.0,LSEG,2250.0,2272.0,0.4444444444444473,0.531
2025Q2,2025-08-06,3040.0,LSEG,3020.0,3096.0,0.6622516556291425,1.842
2025Q3,2025-11-06,4080.0,LSEG,4060.0,4095.0,0.49261083743843415,0.368
2025Q4,2026-02-12,2720.0,LSEG,2690.0,2778.0,1.1152416356877248,2.132
2026Q1,2026-05-07,2620.0,LSEG,2610.0,2678.0,0.3831417624521105,2.214
2026Q2,2026-08-06,3580.0,LSEG,3570.0,3608.0,0.2801120448179262,0.782
