window,horizon,omitted_event,remaining_n,aligned_excess_mean_pct
W1,20,2023-05-09,8,-0.30767985383700214
W1,20,2023-11-01,8,-1.0506044315908225
W1,20,2024-02-13,8,-1.8280041160544092
W1,20,2024-11-07,8,-0.616471899256281
W1,20,2025-02-13,8,0.9794668353781445
W1,20,2025-05-01,8,-0.519189270098054
W1,20,2025-11-06,8,-0.027997582861756243
W1,20,2026-02-12,8,-0.6212396384049619
W1,20,2026-05-07,8,0.008873381516688816
W1,60,2023-05-09,8,-1.6391746361719128
W1,60,2023-11-01,8,0.5061801089752833
W1,60,2024-02-13,8,0.1696794027263871
W1,60,2024-11-07,8,-0.6354941583593139
W1,60,2025-02-13,8,1.20073628908371
W1,60,2025-05-01,8,-0.48623410913667
W1,60,2025-11-06,8,-0.0015503924781281597
W1,60,2026-02-12,8,1.2662302662803309
W1,60,2026-05-07,8,-0.6771473164454909
W2,20,2024-02-13,6,-2.9207690102401593
W2,20,2024-11-07,6,-1.305392721175989
W2,20,2025-02-13,6,0.8225255916699116
W2,20,2025-05-01,6,-1.1756825489650198
W2,20,2025-11-06,6,-0.520760299316623
W2,20,2026-02-12,6,-1.3117497067075636
W2,20,2026-05-07,6,-0.47159901347869626
W2,60,2024-02-13,6,-1.1854953174517215
W2,60,2024-11-07,6,-2.2590600655659894
W2,60,2025-02-13,6,0.1892471976913761
W2,60,2025-05-01,6,-2.060046666602464
W2,60,2025-11-06,6,-1.4138017110577419
W2,60,2026-02-12,6,0.2765725006202034
W2,60,2026-05-07,6,-2.3145976096808925
