guide_letter,target,language,direction,realised_yoy_pp,realised_bp,direction_met,ge_plus22bp
4Q22,1Q23,similar to Q1 2022,flat,0.14,14.0,True,False
1Q23,2Q23,above Q2 2022,higher,0.63,63.0,True,True
2Q23,3Q23,higher than Q3 2022,higher,0.07,7.0,True,False
3Q23,4Q23,slightly higher than Q4 2022,higher,0.22,22.0,True,True
4Q23,1Q24,notably higher than Q1 2023,higher,0.44,44.0,True,True
2Q24,3Q24,higher on a year-over-year basis,higher,0.0043,0.4,True,False
3Q24,4Q24,slightly lower,lower,-0.22,-22.0,True,False
1Q25,2Q25,higher than in Q2 2024,higher,0.2122,21.2,True,False
2Q25,3Q25,flat year-over-year,flat,-0.6851,-68.5,False,False
3Q25,4Q25,relatively flat,flat,-0.4733,-47.3,False,False
4Q25,1Q26,up slightly,higher,-0.1022,-10.2,False,False
1Q26,2Q26,up slightly,higher,0.0902,9.0,True,False
2Q26,3Q26,relatively in-line,flat,,,,False
