assumption,p_yes,take_q50,take_sd,gbv_mean,p_gbv_ge_26410,p_rev_below_guide
BASE rev 2 (0.75 print-state / 0.25 Street GBV route),0.778,18.405,0.423,25969,0.21,0.024
print-state only (R01 x B02; Street weight 0),0.861,18.454,0.333,25859,0.13,0.024
Street GBV route weight 0.40,0.729,18.368,0.463,26035,0.258,0.024
"Street route only (GBV N(26,300, 850))",0.529,18.141,0.563,26302,0.45,0.024
"Street route = MODL N(26,375, 600)",0.491,18.092,0.392,26376,0.478,0.024
"Street route = B1 stacked N(26,550, 853)",0.407,17.971,0.554,26552,0.567,0.024
"nights centre 9.5 (rev 1), sd 1.6",0.798,18.431,0.42,25939,0.19,0.024
nights centre 9.9 (team baseline path),0.758,18.372,0.418,26010,0.229,0.024
nights centre 10.5,0.693,18.288,0.406,26116,0.289,0.024
"nights centre 11.45 (Street mean), sd 1.7",0.562,18.156,0.398,26284,0.409,0.024
nights sd 2.16 (index no better than naive),0.747,18.397,0.462,25969,0.241,0.024
nights sd 1.48 (published index RMSE),0.793,18.408,0.407,25969,0.194,0.024
"ADR fixed N(3.3, 1.3) (rev-1 card)",0.744,18.366,0.427,26018,0.242,0.024
"ADR fixed N(4.4, 1.0) (R07 case)",0.616,18.204,0.393,26225,0.359,0.024
"ADR fixed N(2.0, 1.0) (B02 case)",0.847,18.571,0.45,25774,0.144,0.024
"rho(nights, ADR) +0.3 common factor",0.756,18.399,0.449,25970,0.232,0.024
cushion 0.86% (last two Q3s),0.76,18.377,0.421,25969,0.21,0.024
cushion 1.40% (3Q23),0.81,18.461,0.429,25969,0.21,0.024
cushion 1.86% (trailing-8 all quarters),0.84,18.533,0.439,25969,0.21,0.024
"cushion 0 (print at the guide midpoint), sd 0.3%",0.647,18.244,0.424,25969,0.21,0.026
revenue-light branch 0,0.796,18.424,0.416,25969,0.21,0.023
revenue-light branch 0.30,0.76,18.385,0.43,25969,0.21,0.024
P(guide miss) 0,0.789,18.414,0.418,25969,0.21,0.0
P(guide miss) 0.10,0.753,18.382,0.435,25969,0.21,0.078
"rho(cushion, GBV) 0",0.756,18.399,0.458,25969,0.21,0.024
"rho(cushion, GBV) 0.8",0.794,18.409,0.401,25969,0.21,0.024
no GBV rounding in the ratio,0.779,18.405,0.423,25969,0.21,0.024
"joint bull GBV: nights 11.0, ADR N(4.4,1.0), cushion 0.86, Street 0.40",0.405,18.009,0.434,26430,0.533,0.024
"joint bear GBV: nights 8.5, ADR N(2.0,1.0), cushion 1.4, Street 0",0.988,18.903,0.339,25326,0.011,0.024
