gbv_print_musd,gbv_yoy_pct,n_draws,mass,p_yes_given_gbv,take_median,rev_median
25600,11.9,36617,0.06102833333333333,0.999699593085179,18.625045069909287,4768.011537896778
25900,13.2,43021,0.07170166666666666,0.9769182492271217,18.433332345157694,4774.233077395843
26000,13.6,41569,0.06928166666666667,0.9693281050783036,18.37064658469496,4776.368112020689
26100,14.1,39336,0.06556,0.9481391092129348,18.30803404177916,4778.396884904361
26300,14.9,31862,0.053103333333333336,0.775563367020275,18.182717034024108,4782.054579948341
26400,15.4,27188,0.04531333333333333,0.5817272326026188,18.12058318788381,4783.833961601325
26500,15.8,22621,0.03770166666666667,0.32819061933601523,18.057815553601714,4785.3211217044545
26600,16.2,18376,0.030626666666666667,0.119612538093165,17.994254990868356,4786.471827570984
26800,17.1,11558,0.019263333333333334,0.00415296764146046,17.8648986777925,4787.79284564839
27000,18.0,7450,0.012416666666666666,0.0,17.735308941441076,4788.533414189091
