gbv_band_musd,mass,p_yes_given_band,take_median_given_band,gbv_yoy_pct
"0-25,600",0.239,1.0,18.821,-100.0 to 11.9
"25,600-25,900",0.189,0.992,18.544,11.9 to 13.2
"25,900-26,200",0.201,0.966,18.36,13.2 to 14.5
"26,200-26,500",0.166,0.757,18.177,14.5 to 15.8
"26,500-26,800",0.108,0.166,17.999,15.8 to 17.1
">= 26,800",0.097,0.004,17.743,>= 17.1
"point 25,600",,1.0,18.676,11.9
"point 25,900",,0.978,18.46,13.2
"point 26,185",,0.935,18.259,14.4
"point 26,300",,0.797,18.179,14.9
"point 26,410",,0.515,18.103,15.4
"point 26,550",,0.154,18.008,16.0
"point 26,800",,0.002,17.84,17.1
"point 27,000",,0.0,17.708,18.0
