                                               object quarter  adr_fx_pp  adr_exfx_yoy_pp  adr_reported_yoy_pp  adr_usd  nights_m  gbv_musd  delta_adr_usd_vs_D4  delta_gbv_musd_vs_D4
D4 N midpoint (contemporaneous, disclosed-calibrated)    3Q26      -0.43             3.69                 3.26   176.87     146.3   25877.0                 0.00                   0.0
D4 N midpoint (contemporaneous, disclosed-calibrated)    4Q26       0.15             3.69                 3.84   173.94     131.8   22926.0                 0.00                   0.0
            D5 point_phi_adrfx (Phi on LAGGED ADR-FX)    3Q26       2.89             3.69                 6.58   182.56     146.3   26709.0                 5.69                 832.0
            D5 point_phi_adrfx (Phi on LAGGED ADR-FX)    4Q26       0.93             3.69                 4.62   175.25     131.8   23098.0                 1.31                 172.0
                 fx_lag_v2 contemporaneous basket fit    3Q26       0.44             3.69                 4.13   178.36     146.3   26095.0                 1.49                 218.0
                 fx_lag_v2 contemporaneous basket fit    4Q26       1.10             3.69                 4.79   175.53     131.8   23135.0                 1.59                 209.0
                                    D4 low = euro fit    3Q26      -1.12             3.69                 2.57   175.69     146.3   25704.0                -1.18                -173.0
                                    D4 low = euro fit    4Q26      -0.66             3.69                 3.03   172.59     131.8   22747.0                -1.35                -179.0
                           D4 high = regional baskets    3Q26       0.26             3.69                 3.95   178.06     146.3   26050.0                 1.19                 173.0
                           D4 high = regional baskets    4Q26       0.97             3.69                 4.66   175.32     131.8   23107.0                 1.38                 181.0
