quarter,fx_pts_adr,fx_pts_revenue,est_from_eur,est_from_regional_baskets,d4_midpoint,d5_phi_adrfx,fxlagv2_contemp,b_lag0,b_lag1,b_lag2,err_d4_vs_adr,err_d5_vs_adr,err_contemp_vs_adr,err_d5_vs_rev
2Q22,-5.6,-6.0,-5.828,-4.752,-5.29,-1.65,-3.733,-4.194,-2.189,-1.038,0.31,3.95,1.867,4.35
3Q22,-7.1,-7.0,-7.149,-6.357,-6.753,-3.15,-5.079,-5.738,-4.194,-2.189,0.347,3.95,2.021,3.85
4Q22,-5.5,-7.0,-5.376,-4.945,-5.161,-4.631,-3.871,-4.352,-5.738,-4.194,0.339,0.869,1.629,2.369
1Q23,-2.8,-4.0,-2.525,-2.558,-2.542,-4.274,-2.014,-2.222,-4.352,-5.738,0.258,-1.474,0.786,-0.274
2Q23,-0.6,-1.0,0.459,0.342,0.4,-2.633,0.27,0.397,-2.222,-4.352,1.0,-2.033,0.87,-1.633
3Q23,2.7,4.0,3.1,3.395,3.248,-0.491,2.945,3.465,0.397,-2.222,0.547,-3.191,0.245,-4.491
4Q23,2.1,3.0,1.829,2.453,2.141,2.054,2.137,2.538,3.465,0.397,0.041,-0.046,0.037,-0.946
1Q24,0.6,0.0,-0.042,0.826,0.392,2.406,0.745,0.941,2.538,3.465,-0.208,1.806,0.145,2.406
2Q24,-0.9,0.0,-1.076,-0.661,-0.868,1.209,-0.699,-0.715,0.941,2.538,0.031,2.109,0.201,1.209
3Q24,-0.6,0.0,-0.143,-0.213,-0.178,-0.218,-0.532,-0.523,-0.715,0.941,0.422,0.382,0.068,-0.218
4Q24,-1.1,0.0,-0.96,-1.005,-0.982,-0.588,-1.288,-1.39,-0.523,-0.715,0.118,0.512,-0.188,-0.588
1Q25,-1.9,-2.0,-1.915,-2.439,-2.177,-1.036,-2.597,-2.891,-1.39,-0.523,-0.277,0.864,-0.697,0.964
2Q25,1.9,0.0,1.844,1.311,1.578,-2.161,0.761,0.96,-2.891,-1.39,-0.322,-4.061,-1.139,-2.161
3Q25,2.7,0.0,2.301,2.026,2.164,-0.358,1.699,2.036,0.96,-2.891,-0.537,-3.058,-1.001,-0.358
4Q25,2.9,1.0,3.549,3.364,3.456,1.386,3.108,3.651,2.036,0.96,0.557,-1.514,0.208,0.386
1Q26,5.0,3.0,4.446,5.06,4.753,2.638,4.871,5.673,3.651,2.036,-0.247,-2.362,-0.129,-0.362
2Q26,1.3,4.0,0.586,1.696,1.141,4.283,1.9,2.266,5.673,3.651,-0.159,2.983,0.6,0.283
