fit,n,r2,b_const,b_growth_log_per_pt,t_growth,abnb_premium_to_fit_pct,price_usd,label,implied_ntm_growth_no_premium_pct,implied_ev_ntm_ebitda_no_premium_x,implied_ntm_growth_with_abnb_premium_pct,fy27_growth_proportional_no_premium_pct,fy27_growth_proportional_with_premium_pct
all peers | all 18 peers,18,0.188,2.344,0.021,1.915,28.5,150.0,bear tape,16.8,14.83,8.4,15.4,7.0
all peers | all 18 peers,18,0.188,2.344,0.021,1.915,28.5,165.0,p25 sell-side target,20.4,16.0,11.9,19.0,10.5
all peers | all 18 peers,18,0.188,2.344,0.021,1.915,28.5,170.19,"price, close 11 Sep 2026",21.6,16.39,13.1,20.1,11.6
all peers | all 18 peers,18,0.188,2.344,0.021,1.915,28.5,179.5,mean sell-side target,23.6,17.1,15.0,22.2,13.6
all peers | all 18 peers,18,0.188,2.344,0.021,1.915,28.5,185.0,median yfinance target,24.7,17.51,16.1,23.3,14.7
all peers | all 18 peers,18,0.188,2.344,0.021,1.915,28.5,197.5,p75 sell-side target,27.2,18.45,18.6,25.8,17.1
all peers | all 18 peers,18,0.188,2.344,0.021,1.915,28.5,220.0,top sell-side target,31.3,20.09,22.6,29.8,21.1
all peers | travel + marketplace (12),12,0.353,2.226,0.033,4.94,18.9,150.0,bear tape,14.8,15.09,10.7,13.4,9.2
all peers | travel + marketplace (12),12,0.353,2.226,0.033,4.94,18.9,165.0,p25 sell-side target,17.3,16.41,13.2,15.9,11.8
all peers | travel + marketplace (12),12,0.353,2.226,0.033,4.94,18.9,170.19,"price, close 11 Sep 2026",18.2,16.87,14.0,16.7,12.6
all peers | travel + marketplace (12),12,0.353,2.226,0.033,4.94,18.9,179.5,mean sell-side target,19.6,17.67,15.4,18.2,14.0
all peers | travel + marketplace (12),12,0.353,2.226,0.033,4.94,18.9,185.0,median yfinance target,20.4,18.15,16.2,19.0,14.8
all peers | travel + marketplace (12),12,0.353,2.226,0.033,4.94,18.9,197.5,p75 sell-side target,22.1,19.21,17.9,20.7,16.5
all peers | travel + marketplace (12),12,0.353,2.226,0.033,4.94,18.9,220.0,top sell-side target,25.0,21.1,20.8,23.5,19.3
