spec,price_usd,label,ev_musd,intercept,slope_turns_per_pt,slope_t_nw,r2,n,implied_ntm_growth_pct,implied_ev_ntm_ebitda_x,implied_ntm_revenue_musd,implied_ntm_ebitda_musd,fitted_line_se_turns,implied_ntm_growth_lo_pct,implied_ntm_growth_hi_pct,regression_resid_sd_turns,implied_ntm_growth_resid_sd_lo_pct,implied_ntm_growth_resid_sd_hi_pct,implied_ntm_growth_realised_units_pct,fy27_growth_proportional_pct,fy27_growth_proportional_lo_pct,fy27_growth_proportional_hi_pct,fy27_growth_proportional_realised_units_pct,fy27_growth_chained_street_2h26_pct,fy27_growth_chained_street_2h26_lo_pct,fy27_growth_chained_street_2h26_hi_pct,fy27_growth_chained_delivered_2h26_pct,fy27_growth_base_consistent_pct,fy27_growth_base_consistent_lo_pct,fy27_growth_base_consistent_hi_pct,fy27_revenue_base_consistent_musd,fy26_revenue_base_consistent_musd,fy27_growth_mapping_range_low_pct,fy27_growth_mapping_range_high_pct,fy27_growth_direct_fy27_basis_pct,fy27_growth_direct_fy27_basis_note,fy27_revenue_proportional_musd,fy27_ebitda_proportional_margin_36.2_musd,implied_ev_fy27_ebitda_margin_36.2_x,fy27_ebitda_proportional_margin_35.5_musd,implied_ev_fy27_ebitda_margin_35.5_x,fy27_ebitda_proportional_margin_37.0_musd,implied_ev_fy27_ebitda_margin_37.0_x,fy27_eps_proportional_margin_36.2_usd,fy27_revenue_chained_street_musd,fy27_ebitda_chained_street_margin_36.2_musd,implied_ev_fy27_ebitda_chained_street_x
"A. levels 2023-26, growth only (primary)",150.0,bear tape,79957.0,12.533,0.3955,3.06,0.234,45.0,8.62,15.94,14294.0,5015.0,0.739,7.26,9.99,2.954,3.25,14.14,7.25,7.2,5.84,8.57,5.83,1.38,-1.47,4.24,0.99,10.18,9.55,10.81,15266.0,13855.0,1.38,7.2,5.5,mis-specified: NTM-fitted multiple applied to FY27 EBITDA at 36.2% (audit finding 2); not a mapping,15256.0,5523.0,14.48,5416.0,14.76,5645.0,14.17,5.69,14427.0,5223.0,15.31
"A. levels 2023-26, growth only (primary)",165.0,p25 sell-side target,88912.0,12.533,0.3955,3.06,0.234,45.0,11.84,17.22,14718.0,5164.0,0.728,10.52,13.17,2.954,6.54,17.29,10.47,10.42,9.1,11.75,9.05,8.12,5.36,10.91,7.74,11.64,11.05,12.23,15719.0,14080.0,8.12,10.42,8.52,mis-specified: NTM-fitted multiple applied to FY27 EBITDA at 36.2% (audit finding 2); not a mapping,15714.0,5689.0,15.63,5579.0,15.94,5814.0,15.29,5.92,15387.0,5570.0,15.96
"A. levels 2023-26, growth only (primary)",170.19,"price, close 11 Sep 2026",92010.0,12.533,0.3955,3.06,0.234,45.0,12.93,17.65,14860.0,5214.0,0.777,11.53,14.34,2.954,7.65,18.35,11.56,11.51,10.1,12.92,10.14,10.39,7.46,13.35,10.01,12.12,11.5,12.74,15871.0,14155.0,10.39,11.51,9.54,mis-specified: NTM-fitted multiple applied to FY27 EBITDA at 36.2% (audit finding 2); not a mapping,15869.0,5744.0,16.02,5633.0,16.33,5871.0,15.67,6.0,15710.0,5687.0,16.18
"A. levels 2023-26, growth only (primary)",179.5,mean sell-side target,97568.0,12.533,0.3955,3.06,0.234,45.0,14.84,18.4,15112.0,5302.0,0.909,13.21,16.48,2.954,9.6,20.22,13.47,13.41,11.79,15.06,12.04,14.39,10.98,17.83,14.0,12.96,12.25,13.66,16139.0,14288.0,13.41,14.39,11.32,mis-specified: NTM-fitted multiple applied to FY27 EBITDA at 36.2% (audit finding 2); not a mapping,16140.0,5843.0,16.7,5730.0,17.03,5972.0,16.34,6.14,16279.0,5893.0,16.56
"A. levels 2023-26, growth only (primary)",185.0,median yfinance target,100852.0,12.533,0.3955,3.06,0.234,45.0,15.94,18.84,15257.0,5353.0,1.006,14.15,17.76,2.954,10.72,21.31,14.57,14.52,12.73,16.33,13.15,16.71,12.95,20.5,16.32,13.43,12.66,14.2,16295.0,14365.0,14.52,16.71,12.36,mis-specified: NTM-fitted multiple applied to FY27 EBITDA at 36.2% (audit finding 2); not a mapping,16298.0,5900.0,17.09,5786.0,17.43,6030.0,16.72,6.22,16609.0,6012.0,16.77
"A. levels 2023-26, growth only (primary)",197.5,p75 sell-side target,108314.0,12.533,0.3955,3.06,0.234,45.0,18.41,19.81,15581.0,5467.0,1.253,16.19,20.65,2.954,13.23,23.72,17.04,16.98,14.77,19.22,15.61,21.86,17.22,26.55,21.47,14.47,13.54,15.4,16641.0,14537.0,16.98,21.86,14.67,mis-specified: NTM-fitted multiple applied to FY27 EBITDA at 36.2% (audit finding 2); not a mapping,16648.0,6027.0,17.97,5910.0,18.33,6160.0,17.58,6.39,17342.0,6278.0,17.25
"A. levels 2023-26, growth only (primary)",220.0,top sell-side target,121747.0,12.533,0.3955,3.06,0.234,45.0,22.66,21.5,16141.0,5663.0,1.737,19.64,25.73,2.954,17.56,27.91,21.29,21.24,18.22,24.31,19.87,30.77,24.45,37.19,30.39,16.22,14.99,17.43,17239.0,14833.0,21.24,30.77,18.66,mis-specified: NTM-fitted multiple applied to FY27 EBITDA at 36.2% (audit finding 2); not a mapping,17254.0,6246.0,19.49,6125.0,19.88,6384.0,19.07,6.7,18611.0,6737.0,18.07
"B. levels 2023-26, growth + margin (margin at 35.1% LTM)",150.0,bear tape,79957.0,11.13,0.4768,2.29,0.244,45.0,9.75,15.78,14442.0,5067.0,1.718,7.0,12.53,2.97,5.01,14.58,8.38,8.33,5.58,11.11,6.96,3.74,-2.02,9.57,3.35,10.7,9.43,11.95,15424.0,13934.0,3.74,8.33,7.06,mis-specified: NTM-fitted multiple applied to FY27 EBITDA at 36.2% (audit finding 2); not a mapping,15416.0,5581.0,14.33,5473.0,14.61,5704.0,14.02,5.77,14764.0,5344.0,14.96
"B. levels 2023-26, growth + margin (margin at 35.1% LTM)",165.0,p25 sell-side target,88912.0,11.13,0.4768,2.29,0.244,45.0,12.54,17.11,14810.0,5196.0,1.33,10.44,14.67,2.97,7.87,17.31,11.17,11.12,9.01,13.25,9.75,9.59,5.18,14.04,9.2,11.95,11.01,12.88,15817.0,14128.0,9.59,11.12,9.66,mis-specified: NTM-fitted multiple applied to FY27 EBITDA at 36.2% (audit finding 2); not a mapping,15814.0,5725.0,15.53,5614.0,15.84,5851.0,15.2,5.97,15596.0,5646.0,15.75
"B. levels 2023-26, growth + margin (margin at 35.1% LTM)",170.19,"price, close 11 Sep 2026",92010.0,11.13,0.4768,2.29,0.244,45.0,13.49,17.56,14934.0,5240.0,1.235,11.54,15.45,2.97,8.83,18.24,12.12,12.06,10.12,14.03,10.69,11.56,7.48,15.67,11.17,12.37,11.51,13.22,15949.0,14194.0,11.56,12.06,10.54,mis-specified: NTM-fitted multiple applied to FY27 EBITDA at 36.2% (audit finding 2); not a mapping,15948.0,5773.0,15.94,5662.0,16.25,5901.0,15.59,6.04,15876.0,5747.0,16.01
