quarter,nights_yoy_pct,adr_yoy_pct,adr_yoy_exfx_pct,fx_pts_adr,revenue_yoy_pct,fx_pts_revenue,take_rate_pct,take_rate_yoy_pct,gbv_yoy_pct,unearned_fees_yoy_pct,exact_identity_residual_pp,mgmt_decomp_sum_pct,timing_takerate_residual_pp,arithmetic_vs_log_gap_pp
1Q23,18.61,0.21,3.0,-2.8,20.48,-4.0,8.91,1.6,18.6,24.28,-0.23,17.28,2.69,0.33
2Q23,10.99,1.39,2.0,-0.6,18.06,-1.0,13.01,5.09,12.35,18.48,-0.17,12.08,5.2,-0.09
3Q23,13.54,3.16,0.5,2.7,17.79,4.0,18.56,0.38,17.31,20.22,0.19,18.67,-0.75,-0.63
4Q23,12.02,2.57,0.5,2.1,16.61,3.0,14.31,1.56,14.81,20.73,-0.07,15.96,0.56,-0.44
1Q24,9.5,2.64,2.0,0.6,17.82,0.0,9.35,4.94,12.25,12.06,-0.1,11.69,5.34,-0.19
2Q24,8.69,2.12,3.0,-0.9,10.63,0.0,12.96,-0.38,10.99,11.67,0.06,11.95,-1.19,-0.26
3Q24,8.48,1.4,2.0,-0.6,9.86,0.0,18.57,0.05,9.84,12.95,-0.18,10.65,-0.72,-0.17
4Q24,12.35,0.89,2.0,-1.1,11.81,0.0,14.09,-1.54,13.55,13.24,0.18,14.6,-2.46,-0.25
1Q25,7.92,-0.89,1.0,-1.9,6.07,-2.0,9.27,-0.86,6.99,11.87,0.02,6.82,-0.7,0.1
2Q25,7.43,2.92,1.0,1.9,12.66,0.0,13.17,1.62,10.85,9.0,0.27,8.5,3.76,-0.07
3Q25,8.79,4.67,2.0,2.7,9.73,0.0,17.88,-3.72,13.93,9.84,0.08,10.97,-1.12,-0.18
4Q25,9.82,5.93,3.0,2.9,12.02,1.0,13.62,-3.34,15.91,7.86,-0.38,14.25,-1.97,-0.43
1Q26,9.15,9.03,4.0,5.0,17.87,3.0,9.17,-1.08,19.18,0.37,0.13,16.92,0.81,-0.77
2Q26,10.34,5.3,4.0,1.3,16.54,4.0,13.26,0.68,15.74,-0.91,-0.38,19.34,-2.38,-1.0
