lens,fy27_growth_pct_at_$150.00,fy27_growth_pct_at_$165.00,fy27_growth_pct_at_$170.19,fy27_growth_pct_at_$179.50,fy27_growth_pct_at_$185.00,fy27_growth_pct_at_$197.50,fy27_growth_pct_at_$220.00
"EV/FY27 EBITDA 13.5x, margin 36.2%",14.97,27.84,32.3,40.29,45.01,55.74,75.05
"EV/FY27 EBITDA 15.86x, margin 36.2%",-2.14,8.82,12.61,19.41,23.43,32.57,49.01
"EV/FY27 EBITDA 16.5x, margin 36.2%",-5.94,4.6,8.24,14.78,18.64,27.42,43.23
"EV/FY27 EBITDA 16.5x, margin 35.5%",-4.08,6.66,10.38,17.04,20.98,29.94,46.05
"EV/FY27 EBITDA 16.5x, margin 37.0%",-7.97,2.34,5.9,12.3,16.08,24.67,40.13
"EV/FY27 EBITDA 18.5x, margin 36.2%",-16.11,-6.71,-3.46,2.37,5.82,13.65,27.74
"P/FY27 EPS 22x, margin 36.2%",22.9,32.38,35.67,41.55,45.03,52.93,67.16
"P/FY27 EPS 27x, margin 36.2%",5.34,13.07,15.74,20.54,23.37,29.81,41.4
"P/FY27 EPS 30x, margin 36.2%",-2.39,4.57,6.97,11.29,13.84,19.63,30.07
"EV/FY27 FCF 14x, FCF/EBITDA 1.02, margin 36.2%",8.25,20.38,24.57,32.1,36.54,46.65,64.83
"EV/FY27 FCF 17x, FCF/EBITDA 1.02, margin 36.2%",-10.85,-0.86,2.59,8.79,12.45,20.77,35.75
"EV/FY27 FCF 20x, FCF/EBITDA 1.02, margin 36.2%",-24.22,-15.73,-12.8,-7.53,-4.42,2.65,15.38
"EV/FY27 EBITDA 16.5x, end-FY27 convention (570.7m sh, $10.6bn net cash, management note)",-11.78,-1.71,1.78,8.03,11.72,20.11,35.21
