spec,scheme,dropped,n,b_growth,t_growth,r2,implied_fy27_growth_at_170_pct,implied_ntm_growth_at_170_pct
levels: growth only,leave one month out,2023-01-31,44,0.4293,2.65,0.241,11.51,12.93
levels: growth only,leave one month out,2023-02-28,44,0.3751,2.7,0.206,11.53,12.95
levels: growth only,leave one month out,2023-03-31,44,0.3728,2.7,0.205,11.53,12.96
levels: growth only,leave one month out,2023-04-30,44,0.3827,2.71,0.212,11.52,12.94
levels: growth only,leave one month out,2023-05-31,44,0.3956,2.97,0.234,11.5,12.93
levels: growth only,leave one month out,2023-06-30,44,0.3866,2.97,0.232,11.63,13.05
levels: growth only,leave one month out,2023-07-31,44,0.3749,2.97,0.252,11.8,13.22
levels: growth only,leave one month out,2023-08-31,44,0.3846,2.86,0.221,11.54,12.97
levels: growth only,leave one month out,2023-09-30,44,0.3778,2.86,0.217,11.57,12.99
levels: growth only,leave one month out,2023-10-31,44,0.4006,2.87,0.234,11.49,12.91
levels: growth only,leave one month out,2023-11-30,44,0.3956,3.01,0.234,11.5,12.93
levels: growth only,leave one month out,2023-12-31,44,0.3928,3.0,0.233,11.56,12.99
levels: growth only,leave one month out,2024-01-31,44,0.3905,2.98,0.234,11.61,13.03
levels: growth only,leave one month out,2024-02-29,44,0.3908,2.99,0.237,11.65,13.07
levels: growth only,leave one month out,2024-03-31,44,0.3893,2.97,0.241,11.69,13.12
levels: growth only,leave one month out,2024-04-30,44,0.3906,2.99,0.237,11.65,13.08
levels: growth only,leave one month out,2024-05-31,44,0.4028,3.14,0.243,11.63,13.05
levels: growth only,leave one month out,2024-06-30,44,0.4059,3.17,0.249,11.68,13.1
levels: growth only,leave one month out,2024-07-31,44,0.4004,3.12,0.239,11.59,13.01
levels: growth only,leave one month out,2024-08-31,44,0.3882,2.99,0.227,11.41,12.83
levels: growth only,leave one month out,2024-09-30,44,0.3939,3.06,0.231,11.48,12.91
levels: growth only,leave one month out,2024-10-31,44,0.3987,3.12,0.235,11.55,12.97
levels: growth only,leave one month out,2024-11-30,44,0.3969,3.09,0.233,11.52,12.95
levels: growth only,leave one month out,2024-12-31,44,0.394,3.06,0.231,11.49,12.91
levels: growth only,leave one month out,2025-01-31,44,0.3938,3.05,0.231,11.48,12.91
levels: growth only,leave one month out,2025-02-28,44,0.4253,3.33,0.252,11.71,13.14
levels: growth only,leave one month out,2025-03-31,44,0.3951,2.98,0.221,11.5,12.93
levels: growth only,leave one month out,2025-04-30,44,0.3989,3.02,0.224,11.53,12.95
levels: growth only,leave one month out,2025-05-31,44,0.3907,3.06,0.228,11.45,12.87
levels: growth only,leave one month out,2025-06-30,44,0.3928,3.07,0.23,11.47,12.89
levels: growth only,leave one month out,2025-07-31,44,0.3928,3.07,0.23,11.47,12.9
levels: growth only,leave one month out,2025-08-31,44,0.3891,3.05,0.225,11.44,12.86
levels: growth only,leave one month out,2025-09-30,44,0.3822,3.04,0.221,11.36,12.78
levels: growth only,leave one month out,2025-10-31,44,0.386,3.04,0.223,11.4,12.83
levels: growth only,leave one month out,2025-11-30,44,0.3754,2.99,0.217,11.3,12.72
levels: growth only,leave one month out,2025-12-31,44,0.3904,3.1,0.225,11.45,12.88
levels: growth only,leave one month out,2026-01-31,44,0.3853,3.05,0.222,11.4,12.82
levels: growth only,leave one month out,2026-02-28,44,0.4113,3.38,0.259,11.37,12.79
levels: growth only,leave one month out,2026-03-31,44,0.415,3.45,0.268,11.34,12.76
levels: growth only,leave one month out,2026-04-30,44,0.4091,3.31,0.253,11.39,12.81
levels: growth only,leave one month out,2026-05-31,44,0.4232,3.67,0.276,11.35,12.78
levels: growth only,leave one month out,2026-06-30,44,0.4178,3.5,0.264,11.38,12.81
levels: growth only,leave one month out,2026-07-31,44,0.4132,3.36,0.255,11.41,12.83
levels: growth only,leave one month out,2026-08-31,44,0.4009,3.06,0.237,11.47,12.9
levels: growth only,leave one month out,2026-09-04,44,0.4015,3.07,0.238,11.47,12.89
levels: growth only,leave one reported-quarter block out,3Q22,44,0.4293,2.65,0.241,11.51,12.93
levels: growth only,leave one reported-quarter block out,4Q22,42,0.3266,1.99,0.147,11.6,13.02
levels: growth only,leave one reported-quarter block out,1Q23,42,0.3644,2.8,0.249,11.95,13.37
levels: growth only,leave one reported-quarter block out,2Q23,42,0.3691,2.48,0.2,11.6,13.02
levels: growth only,leave one reported-quarter block out,3Q23,42,0.3874,2.87,0.231,11.68,13.1
levels: growth only,leave one reported-quarter block out,4Q23,42,0.3789,2.8,0.249,12.02,13.44
levels: growth only,leave one reported-quarter block out,1Q24,42,0.4195,3.29,0.264,11.9,13.32
levels: growth only,leave one reported-quarter block out,2Q24,42,0.3894,3.01,0.224,11.42,12.85
levels: growth only,leave one reported-quarter block out,3Q24,42,0.3935,3.05,0.225,11.48,12.9
levels: growth only,leave one reported-quarter block out,4Q24,42,0.4365,3.16,0.229,11.78,13.21
levels: growth only,leave one reported-quarter block out,1Q25,42,0.3845,3.12,0.218,11.36,12.79
levels: growth only,leave one reported-quarter block out,2Q25,42,0.3633,3.0,0.199,11.14,12.57
levels: growth only,leave one reported-quarter block out,3Q25,42,0.3562,2.96,0.193,11.08,12.5
levels: growth only,leave one reported-quarter block out,4Q25,42,0.4477,4.4,0.324,11.08,12.5
levels: growth only,leave one reported-quarter block out,1Q26,42,0.4689,4.9,0.342,11.14,12.56
levels: growth only,leave one reported-quarter block out,2Q26,43,0.4074,3.1,0.242,11.43,12.86
levels: growth + margin,leave one month out,2023-01-31,44,0.5206,2.3,0.252,12.08,13.5
levels: growth + margin,leave one month out,2023-02-28,44,0.4527,2.03,0.215,12.07,13.49
levels: growth + margin,leave one month out,2023-03-31,44,0.4497,2.01,0.213,12.07,13.49
levels: growth + margin,leave one month out,2023-04-30,44,0.4623,2.1,0.221,12.07,13.49
levels: growth + margin,leave one month out,2023-05-31,44,0.4821,2.25,0.244,12.12,13.55
levels: growth + margin,leave one month out,2023-06-30,44,0.5159,2.61,0.255,12.48,13.91
levels: growth + margin,leave one month out,2023-07-31,44,0.5599,3.15,0.307,12.9,14.32
levels: growth + margin,leave one month out,2023-08-31,44,0.4816,2.36,0.235,12.23,13.66
levels: growth + margin,leave one month out,2023-09-30,44,0.4839,2.39,0.234,12.32,13.74
levels: growth + margin,leave one month out,2023-10-31,44,0.4761,2.31,0.242,12.04,13.46
levels: growth + margin,leave one month out,2023-11-30,44,0.4774,2.32,0.243,12.06,13.48
levels: growth + margin,leave one month out,2023-12-31,44,0.4715,2.29,0.241,12.1,13.52
levels: growth + margin,leave one month out,2024-01-31,44,0.4666,2.27,0.242,12.13,13.55
levels: growth + margin,leave one month out,2024-02-29,44,0.438,2.11,0.24,11.97,13.39
levels: growth + margin,leave one month out,2024-03-31,44,0.4241,2.11,0.242,11.93,13.35
levels: growth + margin,leave one month out,2024-04-30,44,0.436,2.11,0.24,11.96,13.39
levels: growth + margin,leave one month out,2024-05-31,44,0.4651,2.18,0.248,12.04,13.47
levels: growth + margin,leave one month out,2024-06-30,44,0.4591,2.17,0.253,12.03,13.46
levels: growth + margin,leave one month out,2024-07-31,44,0.4699,2.2,0.246,12.05,13.47
levels: growth + margin,leave one month out,2024-08-31,44,0.4807,2.32,0.24,12.04,13.47
levels: growth + margin,leave one month out,2024-09-30,44,0.4781,2.29,0.241,12.06,13.48
levels: growth + margin,leave one month out,2024-10-31,44,0.4759,2.26,0.244,12.07,13.49
levels: growth + margin,leave one month out,2024-11-30,44,0.4768,2.28,0.242,12.06,13.49
levels: growth + margin,leave one month out,2024-12-31,44,0.4777,2.29,0.241,12.06,13.48
levels: growth + margin,leave one month out,2025-01-31,44,0.4777,2.29,0.241,12.06,13.48
levels: growth + margin,leave one month out,2025-02-28,44,0.5271,2.5,0.265,12.33,13.75
levels: growth + margin,leave one month out,2025-03-31,44,0.4807,2.21,0.231,12.09,13.51
levels: growth + margin,leave one month out,2025-04-30,44,0.4865,2.25,0.234,12.12,13.54
levels: growth + margin,leave one month out,2025-05-31,44,0.4701,2.26,0.237,12.01,13.43
levels: growth + margin,leave one month out,2025-06-30,44,0.4734,2.27,0.239,12.03,13.46
levels: growth + margin,leave one month out,2025-07-31,44,0.4735,2.27,0.239,12.03,13.46
levels: growth + margin,leave one month out,2025-08-31,44,0.4686,2.26,0.234,12.0,13.42
