month_end,last_reported_quarter,ntm_growth_proxy_pct,ltm_revenue_musd,ntm_revenue_proxy_musd,realised_ntm_revenue_musd,realised_ntm_growth_pct,proxy_minus_realised_pp
2022-11-30,3Q22,24.366,8029.4,9985.82,9601.0,19.573,4.793
2022-12-31,3Q22,24.366,8029.4,9985.82,9601.0,19.573,4.793
2023-01-31,3Q22,24.366,8029.4,9985.82,9601.0,19.573,4.793
2023-02-28,4Q22,21.514,8399.0,10205.933,9917.0,18.074,3.44
2023-03-31,4Q22,21.514,8399.0,10205.933,9917.0,18.074,3.44
2023-04-30,4Q22,21.514,8399.0,10205.933,9917.0,18.074,3.44
2023-05-31,1Q23,16.435,8708.0,10139.191,10241.0,17.605,-1.17
2023-06-30,1Q23,16.435,8708.0,10139.191,10241.0,17.605,-1.17
2023-07-31,1Q23,16.435,8708.0,10139.191,10241.0,17.605,-1.17
2023-08-31,2Q23,19.236,9088.0,10836.195,10505.0,15.592,3.644
2023-09-30,2Q23,19.236,9088.0,10836.195,10505.0,15.592,3.644
2023-10-31,2Q23,19.236,9088.0,10836.195,10505.0,15.592,3.644
2023-11-30,3Q23,15.893,9601.0,11126.9,10840.0,12.905,2.988
2023-12-31,3Q23,15.893,9601.0,11126.9,10840.0,12.905,2.988
2024-01-31,3Q23,15.893,9601.0,11126.9,10840.0,12.905,2.988
2024-02-29,4Q23,15.552,9917.0,11459.304,11102.0,11.949,3.603
2024-03-31,4Q23,15.552,9917.0,11459.304,11102.0,11.949,3.603
2024-04-30,4Q23,15.552,9917.0,11459.304,11102.0,11.949,3.603
2024-05-31,1Q24,12.535,10241.0,11524.691,11232.0,9.677,2.858
2024-06-30,1Q24,12.535,10241.0,11524.691,11232.0,9.677,2.858
2024-07-31,1Q24,12.535,10241.0,11524.691,11232.0,9.677,2.858
2024-08-31,2Q24,11.779,10505.0,11742.36,11580.0,10.233,1.546
2024-09-30,2Q24,11.779,10505.0,11742.36,11580.0,10.233,1.546
2024-10-31,2Q24,11.779,10505.0,11742.36,11580.0,10.233,1.546
2024-11-30,3Q24,11.604,10840.0,12097.865,11943.0,10.175,1.429
2024-12-31,3Q24,11.604,10840.0,12097.865,11943.0,10.175,1.429
2025-01-31,3Q24,11.604,10840.0,12097.865,11943.0,10.175,1.429
2025-02-28,4Q24,7.537,11102.0,11938.732,12241.0,10.259,-2.722
2025-03-31,4Q24,7.537,11102.0,11938.732,12241.0,10.259,-2.722
2025-04-30,4Q24,7.537,11102.0,11938.732,12241.0,10.259,-2.722
2025-05-31,1Q25,11.547,11232.0,12528.912,12647.0,12.598,-1.051
2025-06-30,1Q25,11.547,11232.0,12528.912,12647.0,12.598,-1.051
2025-07-31,1Q25,11.547,11232.0,12528.912,12647.0,12.598,-1.051
2025-08-31,2Q25,10.72,11580.0,12821.359,13159.0,13.636,-2.916
2025-09-30,2Q25,10.72,11580.0,12821.359,13159.0,13.636,-2.916
2025-10-31,2Q25,10.72,11580.0,12821.359,13159.0,13.636,-2.916
2025-11-30,3Q25,10.393,11943.0,13184.241,,,
2025-12-31,3Q25,10.393,11943.0,13184.241,,,
2026-01-31,3Q25,10.393,11943.0,13184.241,,,
2026-02-28,4Q25,17.088,12241.0,14332.759,,,
2026-03-31,4Q25,17.088,12241.0,14332.759,,,
2026-04-30,4Q25,17.088,12241.0,14332.759,,,
2026-05-31,1Q26,17.991,12647.0,14922.326,,,
2026-06-30,1Q26,17.991,12647.0,14922.326,,,
2026-07-31,1Q26,17.991,12647.0,14922.326,,,
2026-08-31,2Q26,17.788,13159.0,15499.719,,,
2026-09-04,2Q26,17.788,13159.0,15499.719,,,
