lens,kind,multiple_x,margin_pct,price_usd,label,ev_musd,implied_fy27_revenue_musd,implied_fy27_growth_pct,implied_fy27_ebitda_musd,implied_fy27_eps_usd,implied_fy27_fcf_musd,implied_fy27_nights_growth_adr3_fxm06_pct
"EV/FY27 EBITDA 13.5x, margin 36.2%",ev_ebitda,13.5,36.199999999999996,150.0,bear tape,79957.0,16361.0,14.97,5923.0,6.25,6065.0,12.29
"EV/FY27 EBITDA 13.5x, margin 36.2%",ev_ebitda,13.5,36.199999999999996,165.0,p25 sell-side target,88912.0,18194.0,27.84,6586.0,7.17,6745.0,24.87
"EV/FY27 EBITDA 13.5x, margin 36.2%",ev_ebitda,13.5,36.199999999999996,170.19,"price, close 11 Sep 2026",92010.0,18828.0,32.3,6816.0,7.49,6980.0,29.22
"EV/FY27 EBITDA 13.5x, margin 36.2%",ev_ebitda,13.5,36.199999999999996,179.5,mean sell-side target,97568.0,19965.0,40.29,7227.0,8.07,7401.0,37.02
"EV/FY27 EBITDA 13.5x, margin 36.2%",ev_ebitda,13.5,36.199999999999996,185.0,median yfinance target,100852.0,20637.0,45.01,7471.0,8.41,7650.0,41.64
"EV/FY27 EBITDA 13.5x, margin 36.2%",ev_ebitda,13.5,36.199999999999996,197.5,p75 sell-side target,108314.0,22164.0,55.74,8023.0,9.18,8216.0,52.12
"EV/FY27 EBITDA 13.5x, margin 36.2%",ev_ebitda,13.5,36.199999999999996,220.0,top sell-side target,121747.0,24912.0,75.05,9018.0,10.57,9235.0,70.98
"EV/FY27 EBITDA 15.86x, margin 36.2%",ev_ebitda,15.86,36.199999999999996,150.0,bear tape,79957.0,13927.0,-2.14,5041.0,5.02,5163.0,-4.42
"EV/FY27 EBITDA 15.86x, margin 36.2%",ev_ebitda,15.86,36.199999999999996,165.0,p25 sell-side target,88912.0,15486.0,8.82,5606.0,5.81,5741.0,6.29
"EV/FY27 EBITDA 15.86x, margin 36.2%",ev_ebitda,15.86,36.199999999999996,170.19,"price, close 11 Sep 2026",92010.0,16026.0,12.61,5801.0,6.08,5941.0,9.99
"EV/FY27 EBITDA 15.86x, margin 36.2%",ev_ebitda,15.86,36.199999999999996,179.5,mean sell-side target,97568.0,16994.0,19.41,6152.0,6.57,6300.0,16.64
"EV/FY27 EBITDA 15.86x, margin 36.2%",ev_ebitda,15.86,36.199999999999996,185.0,median yfinance target,100852.0,17566.0,23.43,6359.0,6.86,6512.0,20.56
"EV/FY27 EBITDA 15.86x, margin 36.2%",ev_ebitda,15.86,36.199999999999996,197.5,p75 sell-side target,108314.0,18866.0,32.57,6829.0,7.51,6994.0,29.48
"EV/FY27 EBITDA 15.86x, margin 36.2%",ev_ebitda,15.86,36.199999999999996,220.0,top sell-side target,121747.0,21205.0,49.01,7676.0,8.69,7861.0,45.54
"EV/FY27 EBITDA 16.5x, margin 36.2%",ev_ebitda,16.5,36.199999999999996,150.0,bear tape,79957.0,13386.0,-5.94,4846.0,4.74,4963.0,-8.13
"EV/FY27 EBITDA 16.5x, margin 36.2%",ev_ebitda,16.5,36.199999999999996,165.0,p25 sell-side target,88912.0,14886.0,4.6,5389.0,5.5,5518.0,2.16
"EV/FY27 EBITDA 16.5x, margin 36.2%",ev_ebitda,16.5,36.199999999999996,170.19,"price, close 11 Sep 2026",92010.0,15404.0,8.24,5576.0,5.76,5711.0,5.72
"EV/FY27 EBITDA 16.5x, margin 36.2%",ev_ebitda,16.5,36.199999999999996,179.5,mean sell-side target,97568.0,16335.0,14.78,5913.0,6.23,6056.0,12.11
"EV/FY27 EBITDA 16.5x, margin 36.2%",ev_ebitda,16.5,36.199999999999996,185.0,median yfinance target,100852.0,16885.0,18.64,6112.0,6.51,6259.0,15.88
"EV/FY27 EBITDA 16.5x, margin 36.2%",ev_ebitda,16.5,36.199999999999996,197.5,p75 sell-side target,108314.0,18134.0,27.42,6565.0,7.14,6723.0,24.46
"EV/FY27 EBITDA 16.5x, margin 36.2%",ev_ebitda,16.5,36.199999999999996,220.0,top sell-side target,121747.0,20383.0,43.23,7379.0,8.28,7556.0,39.89
"EV/FY27 EBITDA 16.5x, margin 35.5%",ev_ebitda,16.5,35.5,150.0,bear tape,79957.0,13650.0,-4.08,4846.0,4.74,4963.0,-6.31
"EV/FY27 EBITDA 16.5x, margin 35.5%",ev_ebitda,16.5,35.5,165.0,p25 sell-side target,88912.0,15179.0,6.66,5389.0,5.5,5518.0,4.18
"EV/FY27 EBITDA 16.5x, margin 35.5%",ev_ebitda,16.5,35.5,170.19,"price, close 11 Sep 2026",92010.0,15708.0,10.38,5576.0,5.76,5711.0,7.81
"EV/FY27 EBITDA 16.5x, margin 35.5%",ev_ebitda,16.5,35.5,179.5,mean sell-side target,97568.0,16657.0,17.04,5913.0,6.23,6056.0,14.32
"EV/FY27 EBITDA 16.5x, margin 35.5%",ev_ebitda,16.5,35.5,185.0,median yfinance target,100852.0,17218.0,20.98,6112.0,6.51,6259.0,18.17
"EV/FY27 EBITDA 16.5x, margin 35.5%",ev_ebitda,16.5,35.5,197.5,p75 sell-side target,108314.0,18492.0,29.94,6565.0,7.14,6723.0,26.91
"EV/FY27 EBITDA 16.5x, margin 35.5%",ev_ebitda,16.5,35.5,220.0,top sell-side target,121747.0,20785.0,46.05,7379.0,8.28,7556.0,42.65
"EV/FY27 EBITDA 16.5x, margin 37.0%",ev_ebitda,16.5,37.0,150.0,bear tape,79957.0,13097.0,-7.97,4846.0,4.75,4963.0,-10.11
"EV/FY27 EBITDA 16.5x, margin 37.0%",ev_ebitda,16.5,37.0,165.0,p25 sell-side target,88912.0,14564.0,2.34,5389.0,5.51,5518.0,-0.04
"EV/FY27 EBITDA 16.5x, margin 37.0%",ev_ebitda,16.5,37.0,170.19,"price, close 11 Sep 2026",92010.0,15071.0,5.9,5576.0,5.77,5711.0,3.44
"EV/FY27 EBITDA 16.5x, margin 37.0%",ev_ebitda,16.5,37.0,179.5,mean sell-side target,97568.0,15982.0,12.3,5913.0,6.24,6056.0,9.69
"EV/FY27 EBITDA 16.5x, margin 37.0%",ev_ebitda,16.5,37.0,185.0,median yfinance target,100852.0,16520.0,16.08,6112.0,6.52,6259.0,13.38
"EV/FY27 EBITDA 16.5x, margin 37.0%",ev_ebitda,16.5,37.0,197.5,p75 sell-side target,108314.0,17742.0,24.67,6565.0,7.15,6723.0,21.77
"EV/FY27 EBITDA 16.5x, margin 37.0%",ev_ebitda,16.5,37.0,220.0,top sell-side target,121747.0,19942.0,40.13,7379.0,8.28,7556.0,36.87
"EV/FY27 EBITDA 18.5x, margin 36.2%",ev_ebitda,18.5,36.199999999999996,150.0,bear tape,79957.0,11939.0,-16.11,4322.0,4.01,4426.0,-18.06
"EV/FY27 EBITDA 18.5x, margin 36.2%",ev_ebitda,18.5,36.199999999999996,165.0,p25 sell-side target,88912.0,13276.0,-6.71,4806.0,4.69,4922.0,-8.88
"EV/FY27 EBITDA 18.5x, margin 36.2%",ev_ebitda,18.5,36.199999999999996,170.19,"price, close 11 Sep 2026",92010.0,13739.0,-3.46,4974.0,4.92,5093.0,-5.71
"EV/FY27 EBITDA 18.5x, margin 36.2%",ev_ebitda,18.5,36.199999999999996,179.5,mean sell-side target,97568.0,14569.0,2.37,5274.0,5.34,5401.0,-0.01
"EV/FY27 EBITDA 18.5x, margin 36.2%",ev_ebitda,18.5,36.199999999999996,185.0,median yfinance target,100852.0,15059.0,5.82,5451.0,5.59,5583.0,3.36
"EV/FY27 EBITDA 18.5x, margin 36.2%",ev_ebitda,18.5,36.199999999999996,197.5,p75 sell-side target,108314.0,16174.0,13.65,5855.0,6.15,5996.0,11.0
"EV/FY27 EBITDA 18.5x, margin 36.2%",ev_ebitda,18.5,36.199999999999996,220.0,top sell-side target,121747.0,18179.0,27.74,6581.0,7.17,6739.0,24.77
"P/FY27 EPS 22x, margin 36.2%",pe,22.0,36.199999999999996,150.0,bear tape,79957.0,17490.0,22.9,6332.0,6.82,6484.0,20.04
"P/FY27 EPS 22x, margin 36.2%",pe,22.0,36.199999999999996,165.0,p25 sell-side target,88912.0,18840.0,32.38,6820.0,7.5,6984.0,29.3
"P/FY27 EPS 22x, margin 36.2%",pe,22.0,36.199999999999996,170.19,"price, close 11 Sep 2026",92010.0,19307.0,35.67,6989.0,7.74,7157.0,32.51
"P/FY27 EPS 22x, margin 36.2%",pe,22.0,36.199999999999996,179.5,mean sell-side target,97568.0,20145.0,41.55,7292.0,8.16,7468.0,38.26
"P/FY27 EPS 22x, margin 36.2%",pe,22.0,36.199999999999996,185.0,median yfinance target,100852.0,20640.0,45.03,7472.0,8.41,7651.0,41.66
"P/FY27 EPS 22x, margin 36.2%",pe,22.0,36.199999999999996,197.5,p75 sell-side target,108314.0,21764.0,52.93,7879.0,8.98,8068.0,49.37
"P/FY27 EPS 22x, margin 36.2%",pe,22.0,36.199999999999996,220.0,top sell-side target,121747.0,23789.0,67.16,8612.0,10.0,8819.0,63.27
"P/FY27 EPS 27x, margin 36.2%",pe,27.0,36.199999999999996,150.0,bear tape,79957.0,14991.0,5.34,5427.0,5.56,5557.0,2.89
"P/FY27 EPS 27x, margin 36.2%",pe,27.0,36.199999999999996,165.0,p25 sell-side target,88912.0,16091.0,13.07,5825.0,6.11,5965.0,10.44
"P/FY27 EPS 27x, margin 36.2%",pe,27.0,36.199999999999996,170.19,"price, close 11 Sep 2026",92010.0,16471.0,15.74,5963.0,6.3,6106.0,13.05
"P/FY27 EPS 27x, margin 36.2%",pe,27.0,36.199999999999996,179.5,mean sell-side target,97568.0,17154.0,20.54,6210.0,6.65,6359.0,17.73
"P/FY27 EPS 27x, margin 36.2%",pe,27.0,36.199999999999996,185.0,median yfinance target,100852.0,17557.0,23.37,6356.0,6.85,6509.0,20.5
"P/FY27 EPS 27x, margin 36.2%",pe,27.0,36.199999999999996,197.5,p75 sell-side target,108314.0,18473.0,29.81,6687.0,7.31,6848.0,26.79
"P/FY27 EPS 27x, margin 36.2%",pe,27.0,36.199999999999996,220.0,top sell-side target,121747.0,20123.0,41.4,7285.0,8.15,7460.0,38.11
"P/FY27 EPS 30x, margin 36.2%",pe,30.0,36.199999999999996,150.0,bear tape,79957.0,13891.0,-2.39,5029.0,5.0,5150.0,-4.66
"P/FY27 EPS 30x, margin 36.2%",pe,30.0,36.199999999999996,165.0,p25 sell-side target,88912.0,14881.0,4.57,5387.0,5.5,5517.0,2.13
"P/FY27 EPS 30x, margin 36.2%",pe,30.0,36.199999999999996,170.19,"price, close 11 Sep 2026",92010.0,15223.0,6.97,5511.0,5.67,5644.0,4.48
"P/FY27 EPS 30x, margin 36.2%",pe,30.0,36.199999999999996,179.5,mean sell-side target,97568.0,15838.0,11.29,5733.0,5.98,5871.0,8.7
"P/FY27 EPS 30x, margin 36.2%",pe,30.0,36.199999999999996,185.0,median yfinance target,100852.0,16201.0,13.84,5865.0,6.17,6006.0,11.19
"P/FY27 EPS 30x, margin 36.2%",pe,30.0,36.199999999999996,197.5,p75 sell-side target,108314.0,17025.0,19.63,6163.0,6.58,6312.0,16.85
"P/FY27 EPS 30x, margin 36.2%",pe,30.0,36.199999999999996,220.0,top sell-side target,121747.0,18510.0,30.07,6701.0,7.33,6862.0,27.04
"EV/FY27 FCF 14x, FCF/EBITDA 1.02, margin 36.2%",ev_fcf,14.0,36.199999999999996,150.0,bear tape,79957.0,15406.0,8.25,5577.0,5.77,5711.0,5.74
"EV/FY27 FCF 14x, FCF/EBITDA 1.02, margin 36.2%",ev_fcf,14.0,36.199999999999996,165.0,p25 sell-side target,88912.0,17131.0,20.38,6202.0,6.64,6351.0,17.58
"EV/FY27 FCF 14x, FCF/EBITDA 1.02, margin 36.2%",ev_fcf,14.0,36.199999999999996,170.19,"price, close 11 Sep 2026",92010.0,17728.0,24.57,6418.0,6.94,6572.0,21.68
"EV/FY27 FCF 14x, FCF/EBITDA 1.02, margin 36.2%",ev_fcf,14.0,36.199999999999996,179.5,mean sell-side target,97568.0,18799.0,32.1,6805.0,7.48,6969.0,29.03
"EV/FY27 FCF 14x, FCF/EBITDA 1.02, margin 36.2%",ev_fcf,14.0,36.199999999999996,185.0,median yfinance target,100852.0,19432.0,36.54,7034.0,7.8,7204.0,33.37
"EV/FY27 FCF 14x, FCF/EBITDA 1.02, margin 36.2%",ev_fcf,14.0,36.199999999999996,197.5,p75 sell-side target,108314.0,20870.0,46.65,7555.0,8.53,7737.0,43.24
"EV/FY27 FCF 14x, FCF/EBITDA 1.02, margin 36.2%",ev_fcf,14.0,36.199999999999996,220.0,top sell-side target,121747.0,23458.0,64.83,8492.0,9.83,8696.0,61.0
"EV/FY27 FCF 17x, FCF/EBITDA 1.02, margin 36.2%",ev_fcf,17.0,36.199999999999996,150.0,bear tape,79957.0,12687.0,-10.85,4593.0,4.39,4703.0,-12.92
