price_usd,implied_fy27_revenue_growth_pct,adr_exfx_pct,fx_pp,take_rate_change_pct,residual_pp,implied_fy27_nights_growth_pct
150.0,7.2,2.0,-0.6,0.0,0.0,5.73
150.0,7.2,2.0,-0.6,0.0,-1.16,6.97
150.0,7.2,3.0,-0.6,0.0,0.0,4.71
150.0,7.2,3.0,-0.6,0.0,-1.16,5.93
150.0,7.2,4.0,-0.6,0.0,0.0,3.7
150.0,7.2,4.0,-0.6,0.0,-1.16,4.91
165.0,10.42,2.0,-0.6,0.0,0.0,8.91
165.0,10.42,2.0,-0.6,0.0,-1.16,10.18
165.0,10.42,3.0,-0.6,0.0,0.0,7.85
165.0,10.42,3.0,-0.6,0.0,-1.16,9.11
165.0,10.42,4.0,-0.6,0.0,0.0,6.81
165.0,10.42,4.0,-0.6,0.0,-1.16,8.06
170.19,11.51,2.0,-0.6,0.0,0.0,9.98
170.19,11.51,2.0,-0.6,0.0,-1.16,11.27
170.19,11.51,3.0,-0.6,0.0,0.0,8.92
170.19,11.51,3.0,-0.6,0.0,-1.16,10.19
170.19,11.51,4.0,-0.6,0.0,0.0,7.87
170.19,11.51,4.0,-0.6,0.0,-1.16,9.13
179.5,13.41,2.0,-0.6,0.0,0.0,11.86
179.5,13.41,2.0,-0.6,0.0,-1.16,13.16
179.5,13.41,3.0,-0.6,0.0,0.0,10.77
179.5,13.41,3.0,-0.6,0.0,-1.16,12.06
179.5,13.41,4.0,-0.6,0.0,0.0,9.71
179.5,13.41,4.0,-0.6,0.0,-1.16,10.99
185.0,14.52,2.0,-0.6,0.0,0.0,12.95
185.0,14.52,2.0,-0.6,0.0,-1.16,14.27
185.0,14.52,3.0,-0.6,0.0,0.0,11.86
185.0,14.52,3.0,-0.6,0.0,-1.16,13.16
185.0,14.52,4.0,-0.6,0.0,0.0,10.78
185.0,14.52,4.0,-0.6,0.0,-1.16,12.07
197.5,16.98,2.0,-0.6,0.0,0.0,15.38
197.5,16.98,2.0,-0.6,0.0,-1.16,16.72
197.5,16.98,3.0,-0.6,0.0,0.0,14.26
197.5,16.98,3.0,-0.6,0.0,-1.16,15.59
197.5,16.98,4.0,-0.6,0.0,0.0,13.16
197.5,16.98,4.0,-0.6,0.0,-1.16,14.48
220.0,21.24,2.0,-0.6,0.0,0.0,19.58
220.0,21.24,2.0,-0.6,0.0,-1.16,20.98
220.0,21.24,3.0,-0.6,0.0,0.0,18.42
220.0,21.24,3.0,-0.6,0.0,-1.16,19.8
220.0,21.24,4.0,-0.6,0.0,0.0,17.28
220.0,21.24,4.0,-0.6,0.0,-1.16,18.65
