fcf_basis,fy27_fcf_musd,wacc_pct,terminal_growth_pct,price_usd,label,ev_musd,implied_fy28_starting_fcf_growth_pct,fy27_fcf_yield_on_ev_pct
Delivered reported FCF,5941.0,9.0,2.5,150.0,bear tape,79957.0,-1.79,7.43
Delivered reported FCF,5941.0,9.0,2.5,165.0,p25 sell-side target,88912.0,1.14,6.68
Delivered reported FCF,5941.0,9.0,2.5,170.19,"price, close 11 Sep 2026",92010.0,2.09,6.46
Delivered reported FCF,5941.0,9.0,2.5,179.5,mean sell-side target,97568.0,3.72,6.09
Delivered reported FCF,5941.0,9.0,2.5,185.0,median yfinance target,100852.0,4.64,5.89
Delivered reported FCF,5941.0,9.0,2.5,197.5,p75 sell-side target,108314.0,6.64,5.48
Delivered reported FCF,5941.0,9.0,2.5,220.0,top sell-side target,121747.0,9.93,4.88
Delivered reported FCF,5941.0,9.0,3.0,150.0,bear tape,79957.0,-3.42,7.43
Delivered reported FCF,5941.0,9.0,3.0,165.0,p25 sell-side target,88912.0,-0.53,6.68
Delivered reported FCF,5941.0,9.0,3.0,170.19,"price, close 11 Sep 2026",92010.0,0.4,6.46
Delivered reported FCF,5941.0,9.0,3.0,179.5,mean sell-side target,97568.0,2.01,6.09
Delivered reported FCF,5941.0,9.0,3.0,185.0,median yfinance target,100852.0,2.91,5.89
Delivered reported FCF,5941.0,9.0,3.0,197.5,p75 sell-side target,108314.0,4.88,5.48
Delivered reported FCF,5941.0,9.0,3.0,220.0,top sell-side target,121747.0,8.12,4.88
Delivered reported FCF,5941.0,9.0,3.5000000000000004,150.0,bear tape,79957.0,-5.17,7.43
Delivered reported FCF,5941.0,9.0,3.5000000000000004,165.0,p25 sell-side target,88912.0,-2.33,6.68
Delivered reported FCF,5941.0,9.0,3.5000000000000004,170.19,"price, close 11 Sep 2026",92010.0,-1.41,6.46
Delivered reported FCF,5941.0,9.0,3.5000000000000004,179.5,mean sell-side target,97568.0,0.16,6.09
Delivered reported FCF,5941.0,9.0,3.5000000000000004,185.0,median yfinance target,100852.0,1.06,5.89
Delivered reported FCF,5941.0,9.0,3.5000000000000004,197.5,p75 sell-side target,108314.0,2.99,5.48
Delivered reported FCF,5941.0,9.0,3.5000000000000004,220.0,top sell-side target,121747.0,6.18,4.88
Delivered reported FCF,5941.0,10.0,2.5,150.0,bear tape,79957.0,2.09,7.43
