month_end,last_reported_quarter,price,ev_ntm_ebitda_x,ntm_growth_proxy_pct,ltm_ebitda_margin_pct,fitted_multiple_x,residual_x
2023-01-31,3Q22,111.11,20.003,24.366,34.0,22.17,-2.167
2023-02-28,4Q22,123.28,23.033,21.514,34.564,21.042,1.991
2023-03-31,4Q22,124.4,23.262,21.514,34.564,21.042,2.22
2023-04-30,4Q22,119.67,22.295,21.514,34.564,21.042,1.253
2023-05-31,1Q23,109.77,18.996,16.435,33.716,19.034,-0.038
2023-06-30,1Q23,128.16,22.601,16.435,33.716,19.034,3.567
2023-07-31,1Q23,152.19,27.31,16.435,33.716,19.034,8.276
2023-08-31,2Q23,131.55,21.802,19.236,33.495,20.141,1.661
2023-09-30,2Q23,137.21,22.839,19.236,33.495,20.141,2.698
2023-10-31,2Q23,118.29,19.372,19.236,33.495,20.141,-0.769
2023-11-30,3Q23,126.34,18.769,15.893,35.632,18.819,-0.05
2023-12-31,3Q23,136.14,20.4,15.893,35.632,18.819,1.581
2024-01-31,3Q23,144.14,21.732,15.893,35.632,18.819,2.913
2024-02-29,4Q23,157.47,22.446,15.552,36.836,18.684,3.762
2024-03-31,4Q23,164.96,23.605,15.552,36.836,18.684,4.921
2024-04-30,4Q23,158.57,22.616,15.552,36.836,18.684,3.932
2024-05-31,1Q24,144.93,19.958,12.535,37.252,17.491,2.467
2024-06-30,1Q24,151.63,20.979,12.535,37.252,17.491,3.488
2024-07-31,1Q24,139.56,19.14,12.535,37.252,17.491,1.649
2024-08-31,2Q24,117.31,15.38,11.779,37.03,17.192,-1.812
2024-09-30,2Q24,126.81,16.798,11.779,37.03,17.192,-0.394
2024-10-31,2Q24,134.79,17.989,11.779,37.03,17.192,0.797
2024-11-30,3Q24,136.11,17.439,11.604,37.03,17.123,0.316
2024-12-31,3Q24,131.41,16.766,11.604,37.03,17.123,-0.357
2025-01-31,3Q24,131.17,16.731,11.604,37.03,17.123,-0.392
2025-02-28,4Q24,138.87,18.31,7.537,36.399,15.514,2.796
2025-03-31,4Q24,119.46,15.474,7.537,36.399,15.514,-0.04
2025-04-30,4Q24,121.92,15.833,7.537,36.399,15.514,0.319
2025-05-31,1Q25,129.0,16.008,11.547,35.915,17.1,-1.092
2025-06-30,1Q25,132.34,16.477,11.547,35.915,17.1,-0.623
2025-07-31,1Q25,132.41,16.487,11.547,35.915,17.1,-0.613
2025-08-31,2Q25,130.53,15.622,10.72,36.123,16.773,-1.151
2025-09-30,2Q25,121.42,14.391,10.72,36.123,16.773,-2.382
2025-10-31,2Q25,126.54,15.083,10.72,36.123,16.773,-1.69
2025-11-30,3Q25,116.99,13.339,10.393,35.803,16.644,-3.305
2025-12-31,3Q25,135.72,15.803,10.393,35.803,16.644,-0.841
2026-01-31,3Q25,129.37,14.968,10.393,35.803,16.644,-1.676
2026-02-28,4Q25,135.11,14.67,17.088,35.103,19.292,-4.622
2026-03-31,4Q25,126.28,13.594,17.088,35.103,19.292,-5.698
2026-04-30,4Q25,140.36,15.309,17.088,35.103,19.292,-3.983
2026-05-31,1Q26,133.31,13.78,17.991,34.783,19.649,-5.869
2026-06-30,1Q26,143.1,14.926,17.991,34.783,19.649,-4.723
2026-07-31,1Q26,151.52,15.913,17.991,34.783,19.649,-3.736
2026-08-31,2Q26,183.22,18.349,17.788,35.086,19.569,-1.22
2026-09-04,2Q26,181.94,18.209,17.788,35.086,19.569,-1.36
