row,kind,price_usd,fy27_revenue_musd,fy27_revenue_growth_pct,fy27_growth_band_pct,fy27_ebitda_musd,fy27_margin_pct,fy27_eps_usd,fy27_nights_growth_pct,ntm_revenue_growth_pct,ev_fy27_ebitda_x,ev_ntm_ebitda_x,reverse_dcf_fy28_growth_reported_pct,reverse_dcf_fy28_growth_sbc_adj_pct,hold_16_5x_fy27_growth_pct,label_measured_or_judgement,ntm_growth_band_pct,ntm_growth_realised_units_pct,fy27_growth_chained_street_pct,fy27_growth_base_consistent_pct,fy27_growth_range_pct,fy27_revenue_range_musd,fy27_ebitda_range_musd,ev_fy27_ebitda_range_x,fy27_nights_range_pct,fy27_growth_realised_units_pct,fy27_growth_realised_units_range_pct,fy27_nights_realised_units_pct
$150.00 bear tape,price point,150.0,15256.0,7.2,5.8 to 8.6,5523.0,36.2,5.69,4.71,8.62,14.48,15.94,0.65,11.87,-5.94,"JUDGEMENT (tail: compound of slope, mapping and fixed-base convention)",7.3 to 10.0,7.25,1.38,10.18,1.4 to 7.2,"14,428 to 15,256","5,223 to 5,523",14.5 to 15.3,-1.0 to 4.7,5.83,0.0 to 5.8,3.37
$165.00 p25 sell-side target,price point,165.0,15714.0,10.42,9.1 to 11.8,5689.0,36.2,5.92,7.85,11.84,15.63,17.22,3.64,14.95,4.6,JUDGEMENT on a MEASURED NTM solve,10.5 to 13.2,10.47,8.12,11.64,8.1 to 10.4,"15,387 to 15,714","5,570 to 5,689",15.6 to 16.0,5.6 to 7.9,9.05,6.7 to 9.1,6.51
"$170.19 price, close 11 Sep 2026",price point,170.19,15869.0,11.51,10.1 to 12.9,5745.0,36.2,6.0,8.92,12.93,16.02,17.65,4.61,15.95,8.24,JUDGEMENT on a MEASURED NTM solve,11.5 to 14.3,11.56,10.39,12.12,10.4 to 11.5,"15,710 to 15,869","5,687 to 5,745",16.0 to 16.2,7.8 to 8.9,10.14,9.0 to 10.1,7.58
$179.50 mean sell-side target,price point,179.5,16140.0,13.41,11.8 to 15.1,5843.0,36.2,6.14,10.77,14.84,16.7,18.4,6.28,17.66,14.78,JUDGEMENT on a MEASURED NTM solve,13.2 to 16.5,13.47,14.39,12.96,13.4 to 14.4,"16,140 to 16,279","5,843 to 5,893",16.6 to 16.7,10.8 to 11.7,12.04,12.0 to 13.0,9.43
$185.00 median yfinance target,price point,185.0,16298.0,14.52,12.7 to 16.3,5900.0,36.2,6.22,11.86,15.94,17.09,18.84,7.22,18.64,18.64,JUDGEMENT on a MEASURED NTM solve,14.2 to 17.8,14.57,16.71,13.43,14.5 to 16.7,"16,298 to 16,609","5,900 to 6,013",16.8 to 17.1,11.9 to 14.0,13.15,13.1 to 15.3,10.52
$197.50 p75 sell-side target,price point,197.5,16648.0,16.98,14.8 to 19.2,6026.0,36.2,6.39,14.26,18.41,17.97,19.81,9.26,20.74,27.42,JUDGEMENT on a MEASURED NTM solve,16.2 to 20.6,17.04,21.86,14.47,17.0 to 21.9,"16,648 to 17,342","6,026 to 6,278",17.3 to 18.0,14.3 to 19.0,15.61,15.6 to 20.5,12.92
$220.00 top sell-side target,price point,220.0,17254.0,21.24,18.2 to 24.3,6246.0,36.2,6.7,18.42,22.66,19.49,21.5,12.63,24.22,43.23,"JUDGEMENT (tail: compound of slope, mapping and fixed-base convention)",19.6 to 25.7,21.29,30.77,16.22,21.2 to 30.8,"17,254 to 18,610","6,246 to 6,737",18.1 to 19.5,18.4 to 27.7,19.87,19.9 to 29.4,17.08
Management Literal,management case,,15630.0,9.83,own-base growth 11.0,5549.0,35.5,5.723,9.0,12.11,16.58,17.73,,,,,,,,,,,,,,,,
Management Delivered,management case,,16025.0,12.6,own-base growth 12.6,5801.0,36.2,6.078,10.0,14.02,15.86,17.13,,,,,,,,,,,,,,,,
Management Ambition,management case,,16791.0,17.98,own-base growth 17.0,6213.0,37.0,6.681,12.0,17.05,14.81,16.51,,,,,,,,,,,,,,,,
"Street (Bloomberg FA / Zacks / S&P, 3-4 Sep)",street,,15745.0,10.64,"own-base growth 11.4; range 14,990-16,290",5700.0,36.2 assumed,6.08,8.06,,16.14,,,,,,,,,,,,,,,,,
Team base (WS29 / WS30),team,,15804.0,11.05,own-base growth 11.6,5758.0,36.43,5.9,9.2,,15.98,,,,,,,,,,,,,,,,,
