variant,window,threshold_pp,horizon,n_sign,hits,hit_rate,wilson95_lo,wilson95_hi,n_return,signed_return_mean_pp,origin
default,W1,0.5,1,9,7,0.7777777777777778,0.45258896910698887,0.9367748928821533,9,0.16332009061291616,refuter_new_stress
default,W1,0.5,5,9,7,0.7777777777777778,0.45258896910698887,0.9367748928821533,9,-1.645518278414462,refuter_new_stress
default,W1,0.5,20,9,7,0.7777777777777778,0.45258896910698887,0.9367748928821533,9,-0.44253850835649466,refuter_new_stress
default,W1,0.5,60,9,7,0.7777777777777778,0.45258896910698887,0.9367748928821533,9,-0.03297494950286693,refuter_new_stress
default,W1,1.0,1,8,7,0.875,0.5291118177871464,0.9775825085499433,8,-0.15699104172017253,recomputed_original_cutoff
default,W1,1.0,5,8,7,0.875,0.5291118177871464,0.9775825085499433,8,-1.2287333764787869,recomputed_original_cutoff
default,W1,1.0,20,8,7,0.875,0.5291118177871464,0.9775825085499433,8,-0.30767985383700214,recomputed_original_cutoff
default,W1,1.0,60,8,7,0.875,0.5291118177871464,0.9775825085499433,8,-1.6391746361719128,recomputed_original_cutoff
default,W1,1.5,1,6,6,1.0,0.6096657120978346,1.0,6,-0.6404999005363771,refuter_new_stress
default,W1,1.5,5,6,6,1.0,0.6096657120978346,1.0,6,-1.2401826877764217,refuter_new_stress
default,W1,1.5,20,6,6,1.0,0.6096657120978346,1.0,6,-0.21400732094820438,refuter_new_stress
default,W1,1.5,60,6,6,1.0,0.6096657120978346,1.0,6,-0.25942041064048577,refuter_new_stress
default,W2,0.5,1,7,6,0.8571428571428571,0.4868721707256811,0.9743203756552565,7,-1.0719199763875316,refuter_new_stress
default,W2,0.5,5,7,6,0.8571428571428571,0.4868721707256811,0.9743203756552565,7,-2.420271786761068,refuter_new_stress
default,W2,0.5,20,7,6,0.8571428571428571,0.4868721707256811,0.9743203756552565,7,-0.9833468154591628,refuter_new_stress
default,W2,0.5,60,7,6,0.8571428571428571,0.4868721707256811,0.9743203756552565,7,-1.2524545245781755,refuter_new_stress
default,W2,1.0,1,7,6,0.8571428571428571,0.4868721707256811,0.9743203756552565,7,-1.0719199763875316,recomputed_original_cutoff
default,W2,1.0,5,7,6,0.8571428571428571,0.4868721707256811,0.9743203756552565,7,-2.420271786761068,recomputed_original_cutoff
default,W2,1.0,20,7,6,0.8571428571428571,0.4868721707256811,0.9743203756552565,7,-0.9833468154591628,recomputed_original_cutoff
default,W2,1.0,60,7,6,0.8571428571428571,0.4868721707256811,0.9743203756552565,7,-1.2524545245781755,recomputed_original_cutoff
default,W2,1.5,1,5,5,1.0,0.5655175352168251,1.0,5,-2.018102180833921,refuter_new_stress
default,W2,1.5,5,5,5,1.0,0.5655175352168251,1.0,5,-2.910626324431143,refuter_new_stress
default,W2,1.5,20,5,5,1.0,0.5655175352168251,1.0,5,-1.14120656064147,refuter_new_stress
