target_period,metric,print_date,print_quarter,prev,new,action
FY2022,adj_ebitda_margin_yoy_pts,2022-05-03,1Q22,0.0,0.0,maintain
FY2022,adj_ebitda_margin_yoy_pts,2022-08-02,2Q22,0.0,0.0,maintain
FY2022,sm_pct_rev_yoy_bps,2022-05-03,1Q22,0.0,0.0,maintain
FY2023,adj_ebitda_margin_yoy_pts,2023-05-09,1Q23,0.0,0.0,maintain
FY2023,adj_ebitda_margin_yoy_pts,2023-08-03,2Q23,0.0,0.0,maintain
FY2023,adj_ebitda_margin_yoy_pts,2023-11-01,3Q23,0.0,1.5,raise
FY2024,adj_ebitda_margin_pct,2024-05-08,1Q24,35.0,35.0,maintain
FY2024,adj_ebitda_margin_pct,2024-08-06,2Q24,35.0,35.0,maintain
FY2024,adj_ebitda_margin_pct,2024-11-07,3Q24,35.0,35.5,raise
FY2024,fcf_margin_minus_ebitda_margin_pts,2024-11-07,3Q24,2.0,2.0,maintain
FY2024,sbc_yoy_pct,2024-11-07,3Q24,20.0,25.0,raise
FY2024,tax_rate_pct,2024-11-07,3Q24,17.0,20.0,raise
FY2025,adj_ebitda_margin_pct,2025-05-01,1Q25,34.5,34.5,maintain
FY2025,adj_ebitda_margin_pct,2025-08-06,2Q25,34.5,34.5,maintain
FY2025,adj_ebitda_margin_pct,2025-11-06,3Q25,34.5,35.0,raise
FY2025,new_business_investment_usd_m,2025-05-01,1Q25,225.0,225.0,maintain
FY2025,new_business_investment_usd_m,2025-08-06,2Q25,225.0,200.0,cut
FY2025,new_business_investment_usd_m,2025-11-06,3Q25,200.0,200.0,maintain
FY2026,adj_ebitda_margin_pct,2026-08-06,2Q26,35.0,35.5,raise
FY2026,revenue_yoy_pct,2026-05-07,1Q26,11.0,14.0,raise
FY2026,revenue_yoy_pct,2026-08-06,2Q26,14.0,15.0,raise
FY2026,tax_rate_pct,2026-05-07,1Q26,17.0,18.0,raise
FY2026,tax_rate_pct,2026-08-06,2Q26,18.0,18.0,maintain
