print_quarter,guide_date,quarter,guide_lo,guide_hi,guide_mid,actual,outcome,cushion_pct_ledger2dp,range_width_pct,cushion_pct,range_width_pct_calc,beat_vs_mid,beat_vs_hi,below_lo,scoreable
3Q21,2021-11-04,2021Q4,1390.0,1480.0,1435.0,1532.0,above_range,6.76,6.2717770034843205,6.759581881533094,6.2717770034843205,True,True,False,True
4Q21,2022-02-15,2022Q1,1410.0,1480.0,1445.0,1509.0,above_range,4.43,4.844290657439446,4.429065743944638,4.844290657439446,True,True,False,True
1Q22,2022-05-03,2022Q2,2030.0,2130.0,2080.0,2104.0,within_range,1.15,4.8076923076923075,1.1538461538461497,4.8076923076923075,True,False,False,True
2Q22,2022-08-02,2022Q3,2780.0,2880.0,2830.0,2884.0,above_range,1.91,3.5335689045936394,1.90812720848057,3.5335689045936394,True,True,False,True
3Q22,2022-11-01,2022Q4,1800.0,1880.0,1840.0,1902.0,above_range,3.37,4.3478260869565215,3.3695652173913127,4.3478260869565215,True,True,False,True
4Q22,2023-02-14,2023Q1,1750.0,1820.0,1785.0,1818.0,within_range,1.85,3.92156862745098,1.8487394957983128,3.9215686274509802,True,False,False,True
1Q23,2023-05-09,2023Q2,2350.0,2450.0,2400.0,2484.0,above_range,3.5,4.166666666666667,3.499999999999992,4.166666666666667,True,True,False,True
2Q23,2023-08-03,2023Q3,3300.0,3400.0,3350.0,3397.0,within_range,1.4,2.985074626865672,1.4029850746268613,2.985074626865672,True,False,False,True
3Q23,2023-11-01,2023Q4,2130.0,2170.0,2150.0,2218.0,above_range,3.16,1.8604651162790695,3.1627906976744224,1.8604651162790697,True,True,False,True
4Q23,2024-02-13,2024Q1,2030.0,2070.0,2050.0,2142.0,above_range,4.49,1.951219512195122,4.4878048780487845,1.951219512195122,True,True,False,True
1Q24,2024-05-08,2024Q2,2680.0,2740.0,2710.0,2748.0,above_range,1.4,2.2140221402214024,1.4022140221402246,2.2140221402214024,True,True,False,True
2Q24,2024-08-06,2024Q3,3670.0,3730.0,3700.0,3732.0,above_range,0.86,1.6216216216216215,0.864864864864856,1.6216216216216217,True,True,False,True
3Q24,2024-11-07,2024Q4,2390.0,2440.0,2415.0,2480.0,above_range,2.69,2.070393374741201,2.69151138716357,2.070393374741201,True,True,False,True
4Q24,2025-02-13,2025Q1,2230.0,2270.0,2250.0,2272.0,above_range,0.98,1.7777777777777777,0.9777777777777885,1.7777777777777777,True,True,False,True
1Q25,2025-05-01,2025Q2,2990.0,3050.0,3020.0,3096.0,above_range,2.52,1.9867549668874172,2.516556291390737,1.9867549668874172,True,True,False,True
2Q25,2025-08-06,2025Q3,4020.0,4100.0,4060.0,4095.0,within_range,0.86,1.9704433497536944,0.8620689655172376,1.9704433497536946,True,False,False,True
3Q25,2025-11-06,2025Q4,2660.0,2720.0,2690.0,2778.0,above_range,3.27,2.2304832713754648,3.271375464684012,2.2304832713754648,True,True,False,True
4Q25,2026-02-12,2026Q1,2590.0,2630.0,2610.0,2678.0,above_range,2.61,1.5325670498084292,2.605363984674325,1.5325670498084292,True,True,False,True
1Q26,2026-05-07,2026Q2,3540.0,3600.0,3570.0,3608.0,above_range,1.06,1.680672268907563,1.0644257703081195,1.680672268907563,True,True,False,True
2Q26,2026-08-06,2026Q3,4690.0,4770.0,4730.0,,pending,,,,1.6913319238900635,False,False,False,False
