quarter,nights_m,nights_lag4_m,k_central_m,k_low_m,k_high_m,u_central_m,u_low_m,u_high_m,k_min_m,k_max_m,u_min_m,u_max_m,b_central_pp,b_low_pp,b_high_pp,b_low_fee133_pp,b_high_fee133_pp,b_paid_central_pp,b_unpaid_central_pp,dK_over_N_lag4_central_pp,k_over_n_quarters_central,stays_implied_central_m,low_cell,high_cell,b_season_mean_pp,b_vs_season_mean_pp,b_ltm_sum_pp
1Q22,102.1,64.4,78.185,67.088,83.86,0.0,0.0,0.0,67.088,83.86,0.0,0.0,20.913,17.944,22.43,20.913,20.913,20.913,0.0,52.697,0.7658,68.16,fee 0.155 B 1.0 r 1.0 ramp,fee 0.124 B 1.0 r 1.0 ramp,2.523,18.39,
2Q22,103.7,83.1,90.961,97.563,78.051,0.0,0.0,0.0,78.051,97.563,0.0,0.0,-14.219,-15.252,-12.2,-14.219,-14.219,-14.219,0.0,15.374,0.8772,90.92,fee 0.124 B 1.0 r 1.0 ramp,fee 0.155 B 1.0 r 1.0 ramp,-2.603,-11.616,
3Q22,99.7,79.7,58.65,62.907,50.325,0.0,0.0,0.0,50.325,62.907,0.0,0.0,-10.279,-11.024,-8.822,-10.279,-10.279,-10.279,0.0,-40.541,0.5883,132.01,fee 0.124 B 1.0 r 1.0 ramp,fee 0.155 B 1.0 r 1.0 ramp,-2.97,-7.309,
4Q22,88.2,73.4,58.159,49.904,62.38,0.0,0.0,0.0,49.904,62.38,0.0,0.0,0.338,0.29,0.361,0.338,0.338,0.338,0.0,-0.669,0.6594,88.69,fee 0.155 B 1.0 r 1.0 ramp,fee 0.124 B 1.0 r 1.0 ramp,0.709,-0.371,-3.247
1Q23,121.1,102.1,96.959,83.197,103.996,0.0,0.0,0.0,83.197,103.996,0.0,0.0,4.763,4.087,5.109,4.763,4.763,4.763,0.0,38.002,0.8007,82.3,fee 0.155 B 1.0 r 1.0 ramp,fee 0.124 B 1.0 r 1.0 ramp,2.523,2.24,-19.397
2Q23,115.1,103.7,106.299,114.014,91.211,0.0,0.0,0.0,91.211,114.014,0.0,0.0,-3.313,-3.554,-2.844,-3.313,-3.313,-3.313,0.0,9.007,0.9235,105.76,fee 0.124 B 1.0 r 1.0 ramp,fee 0.155 B 1.0 r 1.0 ramp,-2.603,-0.71,-8.491
3Q23,113.2,99.7,68.348,73.309,58.647,0.0,0.0,0.0,58.647,73.309,0.0,0.0,-5.657,-6.067,-4.853,-5.657,-5.657,-5.657,0.0,-38.065,0.6038,151.15,fee 0.124 B 1.0 r 1.0 ramp,fee 0.155 B 1.0 r 1.0 ramp,-2.97,-2.687,-3.869
4Q23,98.8,88.2,68.457,58.741,73.426,0.0,0.0,0.0,58.741,73.426,0.0,0.0,0.68,0.584,0.73,0.68,0.68,0.68,0.0,0.124,0.6929,98.69,fee 0.155 B 1.0 r 1.0 ramp,fee 0.124 B 1.0 r 1.0 ramp,0.709,-0.029,-3.527
1Q24,132.6,121.1,105.858,113.541,90.833,0.0,0.0,0.0,90.833,113.541,0.0,0.0,-1.155,-1.239,-0.992,-1.155,-1.155,-1.155,0.0,30.884,0.7983,95.2,fee 0.124 B 1.0 r 1.0 ramp,fee 0.155 B 1.0 r 1.0 ramp,2.523,-3.678,-9.445
2Q24,125.1,115.1,116.244,99.744,124.681,0.0,0.0,0.0,99.744,124.681,0.0,0.0,0.909,0.779,0.975,0.909,0.909,0.909,0.0,9.023,0.9292,114.71,fee 0.155 B 1.0 r 1.0 ramp,fee 0.124 B 1.0 r 1.0 ramp,-2.603,3.512,-5.223
3Q24,122.8,113.2,76.134,81.66,65.328,0.0,0.0,0.0,65.328,81.66,0.0,0.0,-1.907,-2.046,-1.636,-1.907,-1.907,-1.907,0.0,-35.433,0.62,162.91,fee 0.124 B 1.0 r 1.0 ramp,fee 0.155 B 1.0 r 1.0 ramp,-2.97,1.063,-1.473
4Q24,111.0,98.8,76.838,65.932,82.415,0.0,0.0,0.0,65.932,82.415,0.0,0.0,0.602,0.516,0.646,0.602,0.602,0.602,0.0,0.713,0.6922,110.3,fee 0.155 B 1.0 r 1.0 ramp,fee 0.124 B 1.0 r 1.0 ramp,0.709,-0.107,-1.551
1Q25,143.1,132.6,119.492,102.531,128.164,0.0,0.0,0.0,102.531,128.164,0.0,0.0,3.962,3.399,4.249,3.962,3.962,3.962,0.0,32.167,0.835,100.45,fee 0.155 B 1.0 r 1.0 ramp,fee 0.124 B 1.0 r 1.0 ramp,2.523,1.439,3.566
2Q25,134.4,125.1,123.116,132.051,105.641,0.0,0.0,0.0,105.641,132.051,0.0,0.0,-5.405,-5.798,-4.637,-5.405,-5.405,-5.405,0.0,2.897,0.916,130.78,fee 0.124 B 1.0 r 1.0 ramp,fee 0.155 B 1.0 r 1.0 ramp,-2.603,-2.802,-2.748
3Q25,133.6,122.8,81.352,86.635,95.642,1.463,0.947,9.954,69.307,95.642,0.757,9.954,-1.347,-1.95,5.384,-1.819,5.019,-2.538,1.191,-34.01,0.6089,175.36,fee 0.124 B 1.0 r 1.33 ramp,fee 0.124 B 1.1 r 1.0 step,-2.97,1.623,-2.188
4Q25,121.9,111.0,82.993,70.068,92.603,4.757,2.937,8.689,70.068,97.677,2.937,13.763,0.844,0.141,2.923,0.165,2.726,-2.123,2.968,1.478,0.6808,120.26,fee 0.155 B 1.0 r 1.33 ramp,fee 0.124 B 1.1 r 1.0 ramp,0.709,0.135,-1.946
1Q26,156.2,143.1,127.931,132.31,150.091,17.938,14.334,32.115,105.848,150.744,11.467,32.768,1.596,-0.716,8.203,-0.668,7.648,-7.615,9.211,31.403,0.819,111.26,fee 0.124 B 1.0 r 1.33 ramp,fee 0.124 B 1.1 r 1.0 ramp,2.523,-0.927,-4.312
2Q26,148.3,134.4,136.828,112.992,161.526,20.975,13.582,37.264,112.992,161.526,13.582,37.264,3.923,3.001,5.616,3.497,5.235,1.664,2.26,6.62,0.9226,139.4,fee 0.155 B 1.0 r 1.33 ramp,fee 0.124 B 1.1 r 1.0 ramp,-2.603,6.526,5.016
