quarter,fee_share,adr_basis,backlog_scale_B,b_path,adr_ratio_r,b_in_force,u_unpaid_share_pct,implied_rnpl_gbv_share_pct,k_uf_m_nights,u_unpaid_m_nights,k_total_m_nights,k_over_nights_q,band_role
4Q20,0.124,current,1.0,ramp,1.0,1.0,0.0,0.0,25.79,0.0,25.79,0.557,
4Q20,0.124,current,1.0,step,1.0,1.0,0.0,0.0,25.79,0.0,25.79,0.557,
4Q20,0.124,current,1.0,ramp,1.33,1.0,0.0,0.0,25.79,0.0,25.79,0.557,
4Q20,0.124,current,1.0,step,1.33,1.0,0.0,0.0,25.79,0.0,25.79,0.557,
4Q20,0.124,current,1.05,ramp,1.0,1.05,0.0,0.0,25.79,0.0,25.79,0.557,
4Q20,0.124,current,1.05,step,1.0,1.05,0.0,0.0,25.79,0.0,25.79,0.557,
4Q20,0.124,current,1.05,ramp,1.33,1.05,0.0,0.0,25.79,0.0,25.79,0.557,
4Q20,0.124,current,1.05,step,1.33,1.05,0.0,0.0,25.79,0.0,25.79,0.557,
4Q20,0.124,current,1.1,ramp,1.0,1.1,0.0,0.0,25.79,0.0,25.79,0.557,
4Q20,0.124,current,1.1,step,1.0,1.1,0.0,0.0,25.79,0.0,25.79,0.557,
4Q20,0.124,current,1.1,ramp,1.33,1.1,0.0,0.0,25.79,0.0,25.79,0.557,
4Q20,0.124,current,1.1,step,1.33,1.1,0.0,0.0,25.79,0.0,25.79,0.557,
4Q20,0.124,forward,1.0,ramp,1.0,1.0,0.0,0.0,20.583,0.0,20.583,0.4446,
4Q20,0.124,forward,1.0,step,1.0,1.0,0.0,0.0,20.583,0.0,20.583,0.4446,
4Q20,0.124,forward,1.0,ramp,1.33,1.0,0.0,0.0,20.583,0.0,20.583,0.4446,
4Q20,0.124,forward,1.0,step,1.33,1.0,0.0,0.0,20.583,0.0,20.583,0.4446,
4Q20,0.124,forward,1.05,ramp,1.0,1.05,0.0,0.0,20.583,0.0,20.583,0.4446,
4Q20,0.124,forward,1.05,step,1.0,1.05,0.0,0.0,20.583,0.0,20.583,0.4446,
4Q20,0.124,forward,1.05,ramp,1.33,1.05,0.0,0.0,20.583,0.0,20.583,0.4446,
4Q20,0.124,forward,1.05,step,1.33,1.05,0.0,0.0,20.583,0.0,20.583,0.4446,
4Q20,0.124,forward,1.1,ramp,1.0,1.1,0.0,0.0,20.583,0.0,20.583,0.4446,
4Q20,0.124,forward,1.1,step,1.0,1.1,0.0,0.0,20.583,0.0,20.583,0.4446,
4Q20,0.124,forward,1.1,ramp,1.33,1.1,0.0,0.0,20.583,0.0,20.583,0.4446,
4Q20,0.124,forward,1.1,step,1.33,1.1,0.0,0.0,20.583,0.0,20.583,0.4446,
4Q20,0.124,kernelw,1.0,ramp,1.0,1.0,0.0,0.0,25.631,0.0,25.631,0.5536,
4Q20,0.124,kernelw,1.0,step,1.0,1.0,0.0,0.0,25.631,0.0,25.631,0.5536,
4Q20,0.124,kernelw,1.0,ramp,1.33,1.0,0.0,0.0,25.631,0.0,25.631,0.5536,
4Q20,0.124,kernelw,1.0,step,1.33,1.0,0.0,0.0,25.631,0.0,25.631,0.5536,
4Q20,0.124,kernelw,1.05,ramp,1.0,1.05,0.0,0.0,25.631,0.0,25.631,0.5536,
4Q20,0.124,kernelw,1.05,step,1.0,1.05,0.0,0.0,25.631,0.0,25.631,0.5536,
4Q20,0.124,kernelw,1.05,ramp,1.33,1.05,0.0,0.0,25.631,0.0,25.631,0.5536,
4Q20,0.124,kernelw,1.05,step,1.33,1.05,0.0,0.0,25.631,0.0,25.631,0.5536,
4Q20,0.124,kernelw,1.1,ramp,1.0,1.1,0.0,0.0,25.631,0.0,25.631,0.5536,
4Q20,0.124,kernelw,1.1,step,1.0,1.1,0.0,0.0,25.631,0.0,25.631,0.5536,
4Q20,0.124,kernelw,1.1,ramp,1.33,1.1,0.0,0.0,25.631,0.0,25.631,0.5536,
4Q20,0.124,kernelw,1.1,step,1.33,1.1,0.0,0.0,25.631,0.0,25.631,0.5536,
4Q20,0.133,current,1.0,ramp,1.0,1.0,0.0,0.0,24.045,0.0,24.045,0.5193,
4Q20,0.133,current,1.0,step,1.0,1.0,0.0,0.0,24.045,0.0,24.045,0.5193,
4Q20,0.133,current,1.0,ramp,1.33,1.0,0.0,0.0,24.045,0.0,24.045,0.5193,
4Q20,0.133,current,1.0,step,1.33,1.0,0.0,0.0,24.045,0.0,24.045,0.5193,
4Q20,0.133,current,1.05,ramp,1.0,1.05,0.0,0.0,24.045,0.0,24.045,0.5193,
4Q20,0.133,current,1.05,step,1.0,1.05,0.0,0.0,24.045,0.0,24.045,0.5193,
4Q20,0.133,current,1.05,ramp,1.33,1.05,0.0,0.0,24.045,0.0,24.045,0.5193,central
4Q20,0.133,current,1.05,step,1.33,1.05,0.0,0.0,24.045,0.0,24.045,0.5193,
4Q20,0.133,current,1.1,ramp,1.0,1.1,0.0,0.0,24.045,0.0,24.045,0.5193,
4Q20,0.133,current,1.1,step,1.0,1.1,0.0,0.0,24.045,0.0,24.045,0.5193,
4Q20,0.133,current,1.1,ramp,1.33,1.1,0.0,0.0,24.045,0.0,24.045,0.5193,
4Q20,0.133,current,1.1,step,1.33,1.1,0.0,0.0,24.045,0.0,24.045,0.5193,
4Q20,0.133,forward,1.0,ramp,1.0,1.0,0.0,0.0,19.19,0.0,19.19,0.4145,
