quarter,fee_share,adr_basis,backlog_scale_B,adr_ratio_r,b_path,dK_m_nights,dK_lag4_m_nights,b_pp,b_unpaid_pp,b_paid_pp,dK_over_N_lag4_pp,k_over_n_quarters,stays_implied_m
1Q22,0.124,current,1.0,1.0,ramp,36.4,21.955,22.43,0.0,22.43,56.522,0.8214,65.7
1Q22,0.124,current,1.0,1.0,step,36.4,21.955,22.43,0.0,22.43,56.522,0.8214,65.7
1Q22,0.124,current,1.0,1.33,ramp,36.4,21.955,22.43,0.0,22.43,56.522,0.8214,65.7
1Q22,0.124,current,1.0,1.33,step,36.4,21.955,22.43,0.0,22.43,56.522,0.8214,65.7
1Q22,0.124,current,1.05,1.0,ramp,36.4,21.955,22.43,0.0,22.43,56.522,0.8214,65.7
1Q22,0.124,current,1.05,1.0,step,36.4,21.955,22.43,0.0,22.43,56.522,0.8214,65.7
1Q22,0.124,current,1.05,1.33,ramp,36.4,21.955,22.43,0.0,22.43,56.522,0.8214,65.7
1Q22,0.124,current,1.05,1.33,step,36.4,21.955,22.43,0.0,22.43,56.522,0.8214,65.7
1Q22,0.124,current,1.1,1.0,ramp,36.4,21.955,22.43,0.0,22.43,56.522,0.8214,65.7
1Q22,0.124,current,1.1,1.0,step,36.4,21.955,22.43,0.0,22.43,56.522,0.8214,65.7
1Q22,0.124,current,1.1,1.33,ramp,36.4,21.955,22.43,0.0,22.43,56.522,0.8214,65.7
1Q22,0.124,current,1.1,1.33,step,36.4,21.955,22.43,0.0,22.43,56.522,0.8214,65.7
1Q22,0.124,forward,1.0,1.0,ramp,42.701,26.68,24.877,0.0,24.877,66.306,0.8431,59.4
1Q22,0.124,forward,1.0,1.0,step,42.701,26.68,24.877,0.0,24.877,66.306,0.8431,59.4
1Q22,0.124,forward,1.0,1.33,ramp,42.701,26.68,24.877,0.0,24.877,66.306,0.8431,59.4
1Q22,0.124,forward,1.0,1.33,step,42.701,26.68,24.877,0.0,24.877,66.306,0.8431,59.4
1Q22,0.124,forward,1.05,1.0,ramp,42.701,26.68,24.877,0.0,24.877,66.306,0.8431,59.4
1Q22,0.124,forward,1.05,1.0,step,42.701,26.68,24.877,0.0,24.877,66.306,0.8431,59.4
1Q22,0.124,forward,1.05,1.33,ramp,42.701,26.68,24.877,0.0,24.877,66.306,0.8431,59.4
1Q22,0.124,forward,1.05,1.33,step,42.701,26.68,24.877,0.0,24.877,66.306,0.8431,59.4
1Q22,0.124,forward,1.1,1.0,ramp,42.701,26.68,24.877,0.0,24.877,66.306,0.8431,59.4
1Q22,0.124,forward,1.1,1.0,step,42.701,26.68,24.877,0.0,24.877,66.306,0.8431,59.4
1Q22,0.124,forward,1.1,1.33,ramp,42.701,26.68,24.877,0.0,24.877,66.306,0.8431,59.4
1Q22,0.124,forward,1.1,1.33,step,42.701,26.68,24.877,0.0,24.877,66.306,0.8431,59.4
1Q22,0.124,kernelw,1.0,1.0,ramp,38.412,25.56,19.957,0.0,19.957,59.646,0.8456,63.69
1Q22,0.124,kernelw,1.0,1.0,step,38.412,25.56,19.957,0.0,19.957,59.646,0.8456,63.69
1Q22,0.124,kernelw,1.0,1.33,ramp,38.412,25.56,19.957,0.0,19.957,59.646,0.8456,63.69
1Q22,0.124,kernelw,1.0,1.33,step,38.412,25.56,19.957,0.0,19.957,59.646,0.8456,63.69
1Q22,0.124,kernelw,1.05,1.0,ramp,38.412,25.56,19.957,0.0,19.957,59.646,0.8456,63.69
1Q22,0.124,kernelw,1.05,1.0,step,38.412,25.56,19.957,0.0,19.957,59.646,0.8456,63.69
1Q22,0.124,kernelw,1.05,1.33,ramp,38.412,25.56,19.957,0.0,19.957,59.646,0.8456,63.69
1Q22,0.124,kernelw,1.05,1.33,step,38.412,25.56,19.957,0.0,19.957,59.646,0.8456,63.69
1Q22,0.124,kernelw,1.1,1.0,ramp,38.412,25.56,19.957,0.0,19.957,59.646,0.8456,63.69
1Q22,0.124,kernelw,1.1,1.0,step,38.412,25.56,19.957,0.0,19.957,59.646,0.8456,63.69
1Q22,0.124,kernelw,1.1,1.33,ramp,38.412,25.56,19.957,0.0,19.957,59.646,0.8456,63.69
1Q22,0.124,kernelw,1.1,1.33,step,38.412,25.56,19.957,0.0,19.957,59.646,0.8456,63.69
1Q22,0.133,current,1.0,1.0,ramp,33.937,20.469,20.913,0.0,20.913,52.697,0.7658,68.16
1Q22,0.133,current,1.0,1.0,step,33.937,20.469,20.913,0.0,20.913,52.697,0.7658,68.16
1Q22,0.133,current,1.0,1.33,ramp,33.937,20.469,20.913,0.0,20.913,52.697,0.7658,68.16
1Q22,0.133,current,1.0,1.33,step,33.937,20.469,20.913,0.0,20.913,52.697,0.7658,68.16
1Q22,0.133,current,1.05,1.0,ramp,33.937,20.469,20.913,0.0,20.913,52.697,0.7658,68.16
1Q22,0.133,current,1.05,1.0,step,33.937,20.469,20.913,0.0,20.913,52.697,0.7658,68.16
1Q22,0.133,current,1.05,1.33,ramp,33.937,20.469,20.913,0.0,20.913,52.697,0.7658,68.16
1Q22,0.133,current,1.05,1.33,step,33.937,20.469,20.913,0.0,20.913,52.697,0.7658,68.16
1Q22,0.133,current,1.1,1.0,ramp,33.937,20.469,20.913,0.0,20.913,52.697,0.7658,68.16
1Q22,0.133,current,1.1,1.0,step,33.937,20.469,20.913,0.0,20.913,52.697,0.7658,68.16
1Q22,0.133,current,1.1,1.33,ramp,33.937,20.469,20.913,0.0,20.913,52.697,0.7658,68.16
1Q22,0.133,current,1.1,1.33,step,33.937,20.469,20.913,0.0,20.913,52.697,0.7658,68.16
1Q22,0.133,forward,1.0,1.0,ramp,39.812,24.875,23.194,0.0,23.194,61.82,0.786,62.29
1Q22,0.133,forward,1.0,1.0,step,39.812,24.875,23.194,0.0,23.194,61.82,0.786,62.29
1Q22,0.133,forward,1.0,1.33,ramp,39.812,24.875,23.194,0.0,23.194,61.82,0.786,62.29
1Q22,0.133,forward,1.0,1.33,step,39.812,24.875,23.194,0.0,23.194,61.82,0.786,62.29
1Q22,0.133,forward,1.05,1.0,ramp,39.812,24.875,23.194,0.0,23.194,61.82,0.786,62.29
1Q22,0.133,forward,1.05,1.0,step,39.812,24.875,23.194,0.0,23.194,61.82,0.786,62.29
1Q22,0.133,forward,1.05,1.33,ramp,39.812,24.875,23.194,0.0,23.194,61.82,0.786,62.29
1Q22,0.133,forward,1.05,1.33,step,39.812,24.875,23.194,0.0,23.194,61.82,0.786,62.29
1Q22,0.133,forward,1.1,1.0,ramp,39.812,24.875,23.194,0.0,23.194,61.82,0.786,62.29
1Q22,0.133,forward,1.1,1.0,step,39.812,24.875,23.194,0.0,23.194,61.82,0.786,62.29
1Q22,0.133,forward,1.1,1.33,ramp,39.812,24.875,23.194,0.0,23.194,61.82,0.786,62.29
1Q22,0.133,forward,1.1,1.33,step,39.812,24.875,23.194,0.0,23.194,61.82,0.786,62.29
1Q22,0.133,kernelw,1.0,1.0,ramp,35.813,23.83,18.607,0.0,18.607,55.61,0.7884,66.29
1Q22,0.133,kernelw,1.0,1.0,step,35.813,23.83,18.607,0.0,18.607,55.61,0.7884,66.29
1Q22,0.133,kernelw,1.0,1.33,ramp,35.813,23.83,18.607,0.0,18.607,55.61,0.7884,66.29
1Q22,0.133,kernelw,1.0,1.33,step,35.813,23.83,18.607,0.0,18.607,55.61,0.7884,66.29
1Q22,0.133,kernelw,1.05,1.0,ramp,35.813,23.83,18.607,0.0,18.607,55.61,0.7884,66.29
1Q22,0.133,kernelw,1.05,1.0,step,35.813,23.83,18.607,0.0,18.607,55.61,0.7884,66.29
1Q22,0.133,kernelw,1.05,1.33,ramp,35.813,23.83,18.607,0.0,18.607,55.61,0.7884,66.29
1Q22,0.133,kernelw,1.05,1.33,step,35.813,23.83,18.607,0.0,18.607,55.61,0.7884,66.29
1Q22,0.133,kernelw,1.1,1.0,ramp,35.813,23.83,18.607,0.0,18.607,55.61,0.7884,66.29
1Q22,0.133,kernelw,1.1,1.0,step,35.813,23.83,18.607,0.0,18.607,55.61,0.7884,66.29
1Q22,0.133,kernelw,1.1,1.33,ramp,35.813,23.83,18.607,0.0,18.607,55.61,0.7884,66.29
1Q22,0.133,kernelw,1.1,1.33,step,35.813,23.83,18.607,0.0,18.607,55.61,0.7884,66.29
1Q22,0.151,current,1.0,1.0,ramp,29.891,18.029,18.419,0.0,18.419,46.415,0.6745,72.21
1Q22,0.151,current,1.0,1.0,step,29.891,18.029,18.419,0.0,18.419,46.415,0.6745,72.21
1Q22,0.151,current,1.0,1.33,ramp,29.891,18.029,18.419,0.0,18.419,46.415,0.6745,72.21
1Q22,0.151,current,1.0,1.33,step,29.891,18.029,18.419,0.0,18.419,46.415,0.6745,72.21
1Q22,0.151,current,1.05,1.0,ramp,29.891,18.029,18.419,0.0,18.419,46.415,0.6745,72.21
1Q22,0.151,current,1.05,1.0,step,29.891,18.029,18.419,0.0,18.419,46.415,0.6745,72.21
1Q22,0.151,current,1.05,1.33,ramp,29.891,18.029,18.419,0.0,18.419,46.415,0.6745,72.21
1Q22,0.151,current,1.05,1.33,step,29.891,18.029,18.419,0.0,18.419,46.415,0.6745,72.21
1Q22,0.151,current,1.1,1.0,ramp,29.891,18.029,18.419,0.0,18.419,46.415,0.6745,72.21
1Q22,0.151,current,1.1,1.0,step,29.891,18.029,18.419,0.0,18.419,46.415,0.6745,72.21
1Q22,0.151,current,1.1,1.33,ramp,29.891,18.029,18.419,0.0,18.419,46.415,0.6745,72.21
1Q22,0.151,current,1.1,1.33,step,29.891,18.029,18.419,0.0,18.419,46.415,0.6745,72.21
1Q22,0.151,forward,1.0,1.0,ramp,35.065,21.91,20.427,0.0,20.427,54.449,0.6923,67.03
1Q22,0.151,forward,1.0,1.0,step,35.065,21.91,20.427,0.0,20.427,54.449,0.6923,67.03
1Q22,0.151,forward,1.0,1.33,ramp,35.065,21.91,20.427,0.0,20.427,54.449,0.6923,67.03
1Q22,0.151,forward,1.0,1.33,step,35.065,21.91,20.427,0.0,20.427,54.449,0.6923,67.03
1Q22,0.151,forward,1.05,1.0,ramp,35.065,21.91,20.427,0.0,20.427,54.449,0.6923,67.03
1Q22,0.151,forward,1.05,1.0,step,35.065,21.91,20.427,0.0,20.427,54.449,0.6923,67.03
1Q22,0.151,forward,1.05,1.33,ramp,35.065,21.91,20.427,0.0,20.427,54.449,0.6923,67.03
1Q22,0.151,forward,1.05,1.33,step,35.065,21.91,20.427,0.0,20.427,54.449,0.6923,67.03
1Q22,0.151,forward,1.1,1.0,ramp,35.065,21.91,20.427,0.0,20.427,54.449,0.6923,67.03
1Q22,0.151,forward,1.1,1.0,step,35.065,21.91,20.427,0.0,20.427,54.449,0.6923,67.03
1Q22,0.151,forward,1.1,1.33,ramp,35.065,21.91,20.427,0.0,20.427,54.449,0.6923,67.03
1Q22,0.151,forward,1.1,1.33,step,35.065,21.91,20.427,0.0,20.427,54.449,0.6923,67.03
1Q22,0.151,kernelw,1.0,1.0,ramp,31.543,20.989,16.388,0.0,16.388,48.98,0.6944,70.56
1Q22,0.151,kernelw,1.0,1.0,step,31.543,20.989,16.388,0.0,16.388,48.98,0.6944,70.56
1Q22,0.151,kernelw,1.0,1.33,ramp,31.543,20.989,16.388,0.0,16.388,48.98,0.6944,70.56
1Q22,0.151,kernelw,1.0,1.33,step,31.543,20.989,16.388,0.0,16.388,48.98,0.6944,70.56
