norm_denominator,revenue_stress,quarter,u_pct,k_total_m_nights,b_pp
next_rev,team rev,3Q25,2.38,81.35,-1.347
next_rev,team rev,4Q25,7.48,82.99,0.844
next_rev,team rev,1Q26,17.82,127.93,1.597
next_rev,team rev,2Q26,19.41,136.83,3.924
next_rev,rev -5%,3Q25,2.38,81.35,-1.347
next_rev,rev -5%,4Q25,7.48,82.99,0.844
next_rev,rev -5%,1Q26,17.82,127.93,1.597
next_rev,rev -5%,2Q26,15.16,131.42,-0.097
next_rev,rev +5%,3Q25,2.38,81.35,-1.347
next_rev,rev +5%,4Q25,7.48,82.99,0.844
next_rev,rev +5%,1Q26,17.82,127.93,1.597
next_rev,rev +5%,2Q26,23.24,142.23,7.945
same_gbv,team rev,3Q25,3.17,81.85,-0.939
same_gbv,team rev,4Q25,9.02,84.07,1.361
same_gbv,team rev,1Q26,17.25,127.23,0.359
same_gbv,team rev,2Q26,19.21,136.57,4.247
