quarter,g_nights_pct,b_central_pp,g_stays_implied_pct,g_nights_minus_b_pct,reviews_index_yoy_vmatch_pct
1Q23,18.61,4.763,20.75,13.85,32.37
2Q23,10.99,-3.313,16.32,14.31,17.97
3Q23,13.54,-5.657,14.5,19.2,11.31
4Q23,12.02,0.68,11.28,11.34,13.22
1Q24,9.5,-1.155,15.67,10.65,10.99
2Q24,8.69,0.909,8.46,7.78,6.69
3Q24,8.48,-1.907,7.78,10.39,5.56
4Q24,12.35,0.602,11.76,11.75,6.7
1Q25,7.92,3.962,5.51,3.96,3.63
2Q25,7.43,-5.405,14.01,12.84,4.18
3Q25,8.79,-1.347,7.64,10.14,2.98
4Q25,9.82,0.844,9.03,8.98,6.17
1Q26,9.15,1.596,10.76,7.56,7.28
2Q26,10.34,3.923,6.59,6.42,4.27
