quarter,fee_share,adr_basis,unearned_fees_musd,adr_eff_usd,backlog_gbv_musd,k_uf_m_nights,k_uf_over_nights_q,implied_mean_lead_months,is_central
4Q20,0.124,current,407.9,127.55,3289.5,25.79,0.557,1.67,0
4Q20,0.124,forward,407.9,159.82,3289.5,20.583,0.4445,1.33,0
4Q20,0.124,kernelw,407.9,128.34,3289.5,25.631,0.5536,1.66,0
4Q20,0.133,current,407.9,127.55,3066.9,24.045,0.5193,1.56,1
4Q20,0.133,forward,407.9,159.82,3066.9,19.19,0.4145,1.24,0
4Q20,0.133,kernelw,407.9,128.34,3066.9,23.897,0.5161,1.55,0
4Q20,0.151,current,407.9,127.55,2701.3,21.179,0.4574,1.37,0
4Q20,0.151,forward,407.9,159.82,2701.3,16.902,0.3651,1.1,0
4Q20,0.151,kernelw,407.9,128.34,2701.3,21.048,0.4546,1.36,0
4Q20,0.155,current,407.9,127.55,2631.6,20.632,0.4456,1.34,0
4Q20,0.155,forward,407.9,159.82,2631.6,16.466,0.3556,1.07,0
4Q20,0.155,kernelw,407.9,128.34,2631.6,20.505,0.4429,1.33,0
1Q21,0.124,current,946.2,159.82,7630.6,47.745,0.7414,2.22,0
1Q21,0.124,forward,946.2,161.45,7630.6,47.263,0.7339,2.2,0
1Q21,0.124,kernelw,946.2,149.06,7630.6,51.191,0.7949,2.38,0
1Q21,0.133,current,946.2,159.82,7114.3,44.514,0.6912,2.07,1
1Q21,0.133,forward,946.2,161.45,7114.3,44.065,0.6842,2.05,0
1Q21,0.133,kernelw,946.2,149.06,7114.3,47.727,0.7411,2.22,0
1Q21,0.151,current,946.2,159.82,6266.2,39.208,0.6088,1.83,0
1Q21,0.151,forward,946.2,161.45,6266.2,38.812,0.6027,1.81,0
1Q21,0.151,kernelw,946.2,149.06,6266.2,42.037,0.6528,1.96,0
1Q21,0.155,current,946.2,159.82,6104.5,38.196,0.5931,1.78,0
1Q21,0.155,forward,946.2,161.45,6104.5,37.811,0.5871,1.76,0
1Q21,0.155,kernelw,946.2,149.06,6104.5,40.952,0.6359,1.91,0
2Q21,0.124,current,1483.9,161.45,11966.9,74.122,0.892,2.68,0
2Q21,0.124,forward,1483.9,149.15,11966.9,80.234,0.9655,2.9,0
2Q21,0.124,kernelw,1483.9,160.91,11966.9,74.372,0.895,2.68,0
2Q21,0.133,current,1483.9,161.45,11157.1,69.106,0.8316,2.49,1
2Q21,0.133,forward,1483.9,149.15,11157.1,74.805,0.9002,2.7,0
2Q21,0.133,kernelw,1483.9,160.91,11157.1,69.339,0.8344,2.5,0
2Q21,0.151,current,1483.9,161.45,9827.2,60.868,0.7325,2.2,0
2Q21,0.151,forward,1483.9,149.15,9827.2,65.888,0.7929,2.38,0
2Q21,0.151,kernelw,1483.9,160.91,9827.2,61.074,0.7349,2.2,0
2Q21,0.155,current,1483.9,161.45,9573.5,59.297,0.7136,2.14,0
2Q21,0.155,forward,1483.9,149.15,9573.5,64.187,0.7724,2.32,0
2Q21,0.155,kernelw,1483.9,160.91,9573.5,59.498,0.716,2.15,0
3Q21,0.124,current,892.4,149.15,7196.8,48.252,0.6054,1.82,0
3Q21,0.124,forward,892.4,153.61,7196.8,46.851,0.5878,1.76,0
3Q21,0.124,kernelw,892.4,153.25,7196.8,46.961,0.5892,1.77,0
