variant,k,lift_accel,lift_meet,p_true_ge25,p_a,p_r01,p_r02,p_r01_given_a,p_a_given_r01,joint,product,corr,e_nights_given_both,p_accel_given_both,p_flat_given_both,p_sliver_given_both,e_x_given_both,e_x,sd_x
"ADOPTED: k 0.10 (B. Riley Q2 ratio), disclosure lift +0.10 accel / +0.05 meet, C06 v2 share + level gate",0.1,0.1,0.05,0.3887325,0.24884,0.3850725,0.2597225,0.445135428387719,0.28765362366827024,0.1107675,0.0958214409,0.07104232436448205,11.245600090709578,0.702981470196583,0.2456271018123547,0.05139142799106236,3.588028062192561,1.8335000318447978,1.8970644862055688
independence,0.0,0.0,0.0,0.388375,0.247855,0.3860425,0.2604125,0.3848621169635472,0.24709714603962,0.09539,0.0956825638375,-0.0013918239362042523,11.18634006930926,0.6742058916028933,0.26923681727644405,0.056557291120662545,3.346219788318275,1.829256321458078,1.8963696744813197
disclosure dependence only (k 0),0.0,0.1,0.05,0.38869,0.247835,0.388375,0.2614225,0.41539734097282466,0.2650788542001931,0.10295,0.096252918125,0.03182581112993792,11.198690683907378,0.6875910636231181,0.25643516270033995,0.05597377367654201,3.3534368165890722,1.8369818655167007,1.8997381023329007
mechanical link only (k 0.10),0.1,0.0,0.0,0.38877,0.2475375,0.386965,0.2615125,0.4196838862798566,0.2684674324551316,0.1038875,0.0957883486875,0.038529919687503224,11.237866820028016,0.6912766213452052,0.256744074118638,0.0519793045361569,3.597372345035287,1.8358069212283346,1.9006248797042231
k 0.143 (RNPL module base +0.20 / C06 rev-1 mean 1.4),0.14285714285714288,0.1,0.05,0.3876925,0.2478725,0.3855025,0.2608225,0.46353468012788834,0.29804605677005985,0.1148975,0.09555546843125,0.09203828564318546,11.275311032119577,0.7110685611088143,0.23814704410452794,0.05078439478665767,3.6996991130107135,1.8305052948707388,1.8976082780080465
k 0.214 (module bull),0.2142857142857143,0.1,0.05,0.3885225,0.2502675,0.384975,0.259725,0.48738849431108716,0.31684524969153843,0.1219775,0.09634673081249999,0.12160280550157956,11.324626988966104,0.7226332725297698,0.22920210694595314,0.048164620524277016,3.846439929730996,1.8272832939860608,1.891088238316334
"k 0.075 (bundle 'approximately 3 points' at ~20% share, RNPL half of it)",0.075,0.1,0.05,0.3890675,0.2476825,0.387265,0.261825,0.4406144963814561,0.2818031580442333,0.1091325,0.0959187633625,0.06284010975044325,11.2433437563091,0.7046709275422078,0.24511488328408126,0.05021418917371086,3.5200492285298903,1.830827057545932,1.8948779269801308
disclosure lift doubled,0.1,0.2,0.1,0.3885375,0.24891,0.384865,0.260545,0.4729018520750472,0.30584750496927493,0.11771,0.09579674715,0.10415982933542073,11.271513116731581,0.7204358168379916,0.23243564692889304,0.04712853623311528,3.620647797319312,1.837976476200834,1.898849512315156
share treated as a standing KPI (gate 0.90 flat; C06 sensitivity a 0.30),0.1,0.1,0.05,0.3890525,0.29898,0.3865975,0.2610225,0.4436918857448659,0.34313465555260964,0.132655,0.11558492055,0.07656794265842819,11.249325744465159,0.7015943613131808,0.24703177415099317,0.051373864535826014,3.5938478238112874,1.8387195108954393,1.900496020660866
reframing removes RNPL numbers (gate 0.50; C06 a 0.16),0.1,0.1,0.05,0.3874075,0.164955,0.386375,0.2618975,0.46117122851686826,0.19688773859592365,0.0760725,0.063734488125,0.06827339043088115,11.26750272407263,0.7122153209109731,0.23904827631535705,0.048736402773669855,3.6149784623780956,1.8305827655638682,1.89546663860533
"July expansion large only (C06: true>=25 0.593, a 0.38)",0.1,0.1,0.05,0.59174,0.3793525,0.3864575,0.2609675,0.447018274559941,0.43879986803206045,0.1695775,0.14660361876875,0.09723378578219477,11.241800935987325,0.7025401365157524,0.24745322934941252,0.0500066341348351,4.856867207327731,3.1419451237174436,2.5334179296925616
July expansion small only (C06: a 0.21),0.1,0.1,0.05,0.32057,0.2049675,0.3850475,0.2602925,0.438313391147377,0.2333218628870464,0.08984,0.07892222345625,0.055580355251572025,11.243632469372102,0.7030276046304541,0.2431266696349065,0.05384572573463936,2.7403663732090977,1.3934752411804447,1.3740822608424492
language (a) 0.70 ('nearly a quarter' habit),0.1,0.1,0.05,0.388985,0.2049125,0.3864575,0.260645,0.4485817117062161,0.23785280399526468,0.09192,0.07918997246875,0.06476859232501773,11.252499421495378,0.6999292863359443,0.25100630983463884,0.04906440382941688,3.601376374824405,1.8340524226070571,1.8983520120872026
nights centre 9.9 (model path),0.1,0.1,0.05,0.389375,0.24889,0.477535,0.341455,0.5412230302543293,0.2820840357251301,0.134705,0.11885368615,0.07339704307232421,11.389281365016775,0.741156601462455,0.2150811031513307,0.04376229538621432,3.537372163290581,1.8302099830454024,1.8933484515054442
nights centre 9.2 (external stack),0.1,0.1,0.05,0.3878625,0.24875,0.3208325,0.206265,0.3775175879396985,0.292699461557043,0.0939075,0.079807084375,0.06987639665317157,11.159728164744074,0.6761174560072412,0.2663791496951788,0.057503394297580064,3.6339268084035363,1.8314316878676569,1.8959511016443893
nights sd 1.475,0.1,0.1,0.05,0.3897325,0.249395,0.3689075,0.2291675,0.43217586559473925,0.2921667355637931,0.1077825,0.0920036859625,0.07558219640963056,11.075876635814785,0.6586876348201238,0.2810289239904437,0.06028344118943242,3.652977453743364,1.8356345083991554,1.8977175560887576
nights sd 2.159,0.1,0.1,0.05,0.3899,0.2496125,0.4094025,0.3063525,0.4646201612499374,0.283278680516118,0.115975,0.10219198153124999,0.06476603800199665,11.614676251360066,0.769519292951067,0.1923906014227204,0.038090105626212546,3.5267626606407867,1.8394285463027762,1.8981337948514145
