construction,p_r01,p_r02,centre,sd,note
normal centre 9.55 sd 1.48,0.3805433550785593,0.23901970040101217,9.55,1.48,parametric
normal centre 9.55 sd 1.7,0.3956180228184033,0.2684040084905108,9.55,1.7,parametric
normal centre 9.9 sd 1.48,0.4730649368536396,0.31811623074244955,9.9,1.48,parametric
normal centre 9.5 sd 1.48,0.36774269705599305,0.22866721345631824,9.5,1.48,parametric
normal centre 9.2 sd 1.48,0.29441215531582876,0.17208807856208463,9.2,1.48,parametric
GLOBAL|yoy_all|w_reviews plug-in (10 WF errors),0.3,0.2,10.048698081190471,1.4707545240357436,pred-actual errors applied to the implied level
GLOBAL|yoy_all|w_reviews kernel bw 0.5,0.3080275,0.1962025,10.048698081190471,1.4707545240357436,"resampled errors + N(0,0.5)"
GLOBAL|yoy_all|w_reviews bias-corrected normal,0.371675,0.2309225,9.52038282273457,1.4707545240357436,centre = implied - mean WF error
GLOBAL|yoy_all|w_equal plug-in (10 WF errors),0.2,0.1,9.198136163127028,1.477748504627447,pred-actual errors applied to the implied level
GLOBAL|yoy_all|w_equal kernel bw 0.5,0.2535075,0.1387625,9.198136163127028,1.477748504627447,"resampled errors + N(0,0.5)"
GLOBAL|yoy_all|w_equal bias-corrected normal,0.40898,0.261685,9.6591513977257,1.477748504627447,centre = implied - mean WF error
GLOBAL|yoy_all|w_median plug-in (10 WF errors),0.2,0.1,9.225875784667032,1.5145532267178232,pred-actual errors applied to the implied level
GLOBAL|yoy_all|w_median kernel bw 0.5,0.22165,0.12364,9.225875784667032,1.5145532267178232,"resampled errors + N(0,0.5)"
GLOBAL|yoy_all|w_median bias-corrected normal,0.29906,0.177845,9.202179408091514,1.5145532267178232,centre = implied - mean WF error
GLOBAL_NW|yoy_all|w_equal plug-in (10 WF errors),0.2,0.2,9.35205650969134,1.5623358197489357,pred-actual errors applied to the implied level
GLOBAL_NW|yoy_all|w_equal kernel bw 0.5,0.31888,0.1760725,9.35205650969134,1.5623358197489357,"resampled errors + N(0,0.5)"
GLOBAL_NW|yoy_all|w_equal bias-corrected normal,0.4571475,0.3120475,9.833348280678544,1.5623358197489357,centre = implied - mean WF error
GLOBAL|yoy_vmatch|w_reviews plug-in (10 WF errors),0.2,0.2,9.055813856970827,1.4545950319799401,pred-actual errors applied to the implied level
GLOBAL|yoy_vmatch|w_reviews kernel bw 0.5,0.244485,0.172005,9.055813856970827,1.4545950319799401,"resampled errors + N(0,0.5)"
GLOBAL|yoy_vmatch|w_reviews bias-corrected normal,0.2694475,0.1522425,9.104485652779204,1.4545950319799401,centre = implied - mean WF error
GLOBAL|yoy_vmatch|w_equal plug-in (10 WF errors),0.2,0.1,8.572327315450412,1.6005496576475486,pred-actual errors applied to the implied level
GLOBAL|yoy_vmatch|w_equal kernel bw 0.5,0.2039475,0.1313875,8.572327315450412,1.6005496576475486,"resampled errors + N(0,0.5)"
GLOBAL|yoy_vmatch|w_equal bias-corrected normal,0.3250325,0.204085,9.277944550688883,1.6005496576475486,centre = implied - mean WF error
GLOBAL_NW|yoy_vmatch|w_equal plug-in (10 WF errors),0.2,0.1,8.678792784546713,1.7350112357919918,pred-actual errors applied to the implied level
GLOBAL_NW|yoy_vmatch|w_equal kernel bw 0.5,0.2381325,0.14765,8.678792784546713,1.7350112357919918,"resampled errors + N(0,0.5)"
GLOBAL_NW|yoy_vmatch|w_equal bias-corrected normal,0.36042,0.2408775,9.374603937996236,1.7350112357919918,centre = implied - mean WF error
SEVEN-ROW MIXTURE plug-in,0.21428571428571427,0.14285714285714285,9.424957213663403,1.4866499903017167,equal weight over the seven level rows
SEVEN-ROW MIXTURE kernel,0.25551857142857143,0.15510285714285715,9.425769460624196,1.5703498313872082,equal weight over the seven level rows
SEVEN-ROW MIXTURE bias-corrected normal,0.35596607142857145,0.22567214285714285,9.423979342841024,1.566396730808018,equal weight over the seven level rows
"SEVEN-ROW MIXTURE kernel, errors x1.107 (revintaged honest 0.757)",0.26866178571428573,0.16743607142857142,9.453555419101596,1.7195597390578654,WPK T1 fail branch scaling of the 2023Q1+ WF errors
"SEVEN-ROW MIXTURE kernel, errors x1.231 (revintaged literal 0.841)",0.2825964285714286,0.1814842857142857,9.484608028521208,1.8924561058268612,WPK T1 fail branch scaling of the 2023Q1+ WF errors
"anchored-on-2Q26 rows (first-difference family), sd 2.18",0.5603159047385711,0.4515967739516093,10.336570719814988,2.18,"reported, not used: first differences lose to naive (E note 2.6)"
