recon_id,retry_of,source_ids,requested_url,effective_safe_url,requested_at_utc,completed_at_utc,http_status,content_type,bytes,sha256,cached_body_path,outcome,stop_reason
PR-PW-R001,PR-PW-001,WSF_FERRY_RIDERSHIP,https://wsdot.wa.gov/robots.txt,https://wsdot.wa.gov/robots.txt,2026-09-03T17:05:45Z,2026-09-03T17:05:46Z,200,text/plain,2027,773fb8d35bb9a39d35335ee6db8dc5c912d2aacbfb823152d9c61cd647dd902d,cache/permission_recon_retry/PR-PW-R001.txt,completed,
PR-PW-R002,PR-PW-002,WSF_FERRY_RIDERSHIP,https://wsdot.wa.gov/about/policies/open-data-policy,https://wsdot.wa.gov/about/policies/open-data-policy,2026-09-03T17:05:51Z,2026-09-03T17:05:53Z,200,text/html; charset=UTF-8,136320,dbdf7eba811c628d22df19ddf28f5bcd12c69237496755e653fef5d0c629b686,cache/permission_recon_retry/PR-PW-R002.html,completed,
PR-PW-R003,PR-PW-003,WSF_FERRY_RIDERSHIP,https://wsdot.wa.gov/travel/washington-state-ferries/about-us/ferries-accountability-and-service-data/ridership-data,https://wsdot.wa.gov/travel/washington-state-ferries/about-us/ferries-accountability-and-service-data/ridership-data,2026-09-03T17:05:57Z,2026-09-03T17:05:59Z,200,text/html; charset=UTF-8,147151,8af3b7141a9cec88ced7f3520d9a83d4d66bbc71412be0b8613226a244c420b2,cache/permission_recon_retry/PR-PW-R003.html,completed,
PR-PW-R004,PR-PW-004,NASA_BLACK_MARBLE_VNP46A2,https://ladsweb.modaps.eosdis.nasa.gov/robots.txt,https://urs.earthdata.nasa.gov/oauth/authorize?response_type=code&client_id=A6th7HB-3EBoO7iOCiCLlA&redirect_uri=https%3A%2F%2Fladsweb.modaps.eosdis.nasa.gov%2Foauth%2Fcallback&state=USO6NnYQm9nxLLQQu8P0u7mDkSKMmb,2026-09-03T17:06:04Z,2026-09-03T17:06:06Z,200,text/html; charset=utf-8,9272,84caccd4cfb03485b6ee81e21b13a19f523ce863e87cd00ba6a6db92ebce68c0,cache/permission_recon_retry/PR-PW-R004.html,completed,
PR-PW-R005,PR-PW-005,NASA_BLACK_MARBLE_VNP46A2,https://www.earthdata.nasa.gov/engage/open-data-services-and-software/data-and-information-policy,https://www.earthdata.nasa.gov/engage/open-data-services-and-software/data-and-information-policy,2026-09-03T17:06:10Z,2026-09-03T17:06:10Z,403,text/html,919,739872199a0b0ad201718b246aff203662b5654ee76f487c962ae561768cf807,cache/permission_recon_retry/PR-PW-R005.html,stopped,HTTP 403; no retry
PR-PW-R006,PR-PW-006,NASA_BLACK_MARBLE_VNP46A2,https://urs.earthdata.nasa.gov/documentation/what_do_i_need_to_know,,,2026-09-03T17:06:10Z,,,,,,not_requested_source_stopped,Prior escalated permission GET for every linked source hit a provider stop condition; no further request.
PR-PW-R007,PR-PW-007,NOAA_HMS_SMOKE,https://www.ospo.noaa.gov/robots.txt,https://www.ospo.noaa.gov/robots.txt,2026-09-03T17:06:16Z,2026-09-03T17:06:17Z,200,text/plain; charset=UTF-8,67,c54c644fb64708df3e4c111d93e952b51c6397e812e4d4ffbfd933a4fad8cf05,cache/permission_recon_retry/PR-PW-R007.txt,completed,
PR-PW-R008,PR-PW-008,NOAA_HMS_SMOKE|MARINECADASTRE_AIS,https://www.noaa.gov/information-technology/open-data-dissemination,https://www.noaa.gov/information-technology/open-data-dissemination,2026-09-03T17:06:22Z,2026-09-03T17:06:23Z,403,text/html,919,09bbdd514dd59a972b682ac15011f3b8907b97e051a750ba299d731228400f84,cache/permission_recon_retry/PR-PW-R008.html,stopped,HTTP 403; no retry
PR-PW-R009,PR-PW-009,NOAA_HMS_SMOKE,https://www.ospo.noaa.gov/products/land/hms.html,,,2026-09-03T17:06:23Z,,,,,,not_requested_source_stopped,Prior escalated permission GET for every linked source hit a provider stop condition; no further request.
PR-PW-R010,PR-PW-010,NPS_VISITOR_USE,https://irmaservices.nps.gov/robots.txt,https://irmaservices.nps.gov/robots.txt,2026-09-03T17:06:28Z,2026-09-03T17:06:29Z,200,text/plain,26,133e4db054e73a10017a1f429c80c35cd5bfa9c3a1aba581b364ecc459c48a4b,cache/permission_recon_retry/PR-PW-R010.txt,completed,
PR-PW-R011,PR-PW-011,NPS_VISITOR_USE,https://www.doi.gov/copyright,https://www.doi.gov/copyright,2026-09-03T17:06:35Z,2026-09-03T17:06:35Z,200,text/html; charset=UTF-8,52404,0129f01fdf0f202922ada6a6d755f4aae4b0057ef8a1b37deab1effa9b039733,cache/permission_recon_retry/PR-PW-R011.html,completed,
PR-PW-R012,PR-PW-012,NPS_VISITOR_USE,https://irmaservices.nps.gov/v3/rest/Stats/help,https://irmaservices.nps.gov/v3/rest/Stats/help,2026-09-03T17:06:41Z,2026-09-03T17:06:41Z,200,text/html,2700,1346b17b0848d4aebe261529dd39fec41b4163f9c430131c76525f683055dd10,cache/permission_recon_retry/PR-PW-R012.html,completed,
PR-PW-R013,PR-PW-013,NPS_VISITOR_USE,https://home.nps.gov/subjects/socialscience/statistics-faq.htm,https://home.nps.gov/subjects/socialscience/statistics-faq.htm,2026-09-03T17:06:47Z,2026-09-03T17:06:50Z,200,text/html;charset=UTF-8,48552,858a9a279cc42dd7b230ab488b606f62d249fe97f6d1c16278b37f81faae6c73,cache/permission_recon_retry/PR-PW-R013.html,completed,
PR-PW-R014,PR-PW-014,FTA_NTD_MONTHLY_RIDERSHIP,https://www.transit.dot.gov/robots.txt,https://www.transit.dot.gov/robots.txt,2026-09-03T17:06:53Z,2026-09-03T17:06:54Z,403,text/html,389,438e336974eeb97bb22a0a68d090ec28f4b92f183b63ac04ed68a8972e0042b4,cache/permission_recon_retry/PR-PW-R014.html,stopped,HTTP 403; no retry
PR-PW-R015,PR-PW-015,FTA_NTD_MONTHLY_RIDERSHIP,https://www.transportation.gov/data,,,2026-09-03T17:06:54Z,,,,,,not_requested_source_stopped,Prior escalated permission GET for every linked source hit a provider stop condition; no further request.
PR-PW-R016,PR-PW-016,FTA_NTD_MONTHLY_RIDERSHIP,https://www.transit.dot.gov/ntd/monthly-ridership,,,2026-09-03T17:06:54Z,,,,,,not_requested_source_stopped,Prior escalated permission GET for every linked source hit a provider stop condition; no further request.
PR-PW-R017,PR-PW-017,FTA_NTD_MONTHLY_RIDERSHIP,https://www.transit.dot.gov/ntd/ntd-data-products-frequently-asked-questions-0,,,2026-09-03T17:06:54Z,,,,,,not_requested_source_stopped,Prior escalated permission GET for every linked source hit a provider stop condition; no further request.
PR-PW-R018,PR-PW-018,MARINECADASTRE_AIS,https://marinecadastre.gov/robots.txt,,,2026-09-03T17:06:54Z,,,,,,not_requested_source_stopped,Prior escalated permission GET for every linked source hit a provider stop condition; no further request.
PR-PW-R019,PR-PW-019,MARINECADASTRE_AIS,https://marinecadastre.gov/ais/,,,2026-09-03T17:06:54Z,,,,,,not_requested_source_stopped,Prior escalated permission GET for every linked source hit a provider stop condition; no further request.
PR-PW-R020,PR-PW-020,MARINECADASTRE_AIS,https://marinecadastre.gov/accessais/,,,2026-09-03T17:06:54Z,,,,,,not_requested_source_stopped,Prior escalated permission GET for every linked source hit a provider stop condition; no further request.
PR-PW-R021,PR-PW-021,NYC_311_TOURISM_STRESS,https://data.cityofnewyork.us/robots.txt,https://data.cityofnewyork.us/robots.txt,2026-09-03T17:06:59Z,2026-09-03T17:07:00Z,200,text/plain; charset=utf-8,1752,0cb268a68e4fc210b4b7391392a87b19ac4c79e59704c6276620c5ec0efa0cde,cache/permission_recon_retry/PR-PW-R021.txt,completed,
PR-PW-R022,PR-PW-022,NYC_311_TOURISM_STRESS,https://cityofnewyork.github.io/opendatatsm/publicpolicies.html,https://cityofnewyork.github.io/opendatatsm/publicpolicies.html,2026-09-03T17:07:06Z,2026-09-03T17:07:06Z,200,text/html; charset=utf-8,8771,c1da5afe9ece362f57e0f351ff20e954f046a173c3a0d643b4c100d846977e33,cache/permission_recon_retry/PR-PW-R022.html,completed,
