date,Firm,FromGrade,ToGrade,from_b,to_b,to_buy,Action,priceTargetAction,currentPriceTarget,priorPriceTarget
2021-02-22,Loop Capital,Hold,Buy,Hold,Buy,True,up,Raises,240.0,150.0
2021-05-14,Wells Fargo,Equal-Weight,Overweight,Hold,Buy,True,up,Announces,200.0,0.0
2021-07-13,Gordon Haskett,Underperform,Buy,Sell,Buy,True,up,Announces,172.0,0.0
2021-08-03,Keybanc,Sector Weight,Overweight,Hold,Buy,True,up,Announces,180.0,0.0
2021-10-12,Cowen & Co.,Market Perform,Outperform,Hold,Buy,True,up,,0.0,0.0
2022-04-20,Citigroup,Neutral,Buy,Hold,Buy,True,up,Lowers,200.0,214.0
2023-02-28,Argus Research,Hold,Buy,Hold,Buy,True,up,Announces,144.0,0.0
2024-04-24,Mizuho,Neutral,Buy,Hold,Buy,True,up,Raises,200.0,150.0
2024-05-28,Wedbush,Neutral,Outperform,Hold,Buy,True,up,Raises,165.0,160.0
2025-02-14,Baird,Neutral,Outperform,Hold,Buy,True,up,Raises,175.0,140.0
2025-02-14,Goldman Sachs,Sell,Neutral,Sell,Hold,False,up,Raises,153.0,110.0
2025-03-10,Jefferies,Hold,Buy,Hold,Buy,True,up,Raises,185.0,165.0
2025-04-30,DA Davidson,Neutral,Buy,Hold,Buy,True,up,Lowers,155.0,170.0
2025-12-17,RBC Capital,Sector Perform,Outperform,Hold,Buy,True,up,Raises,170.0,145.0
2026-01-08,Cantor Fitzgerald,Underweight,Neutral,Sell,Hold,False,up,Raises,141.0,117.0
2026-01-09,Barclays,Underweight,Equal-Weight,Sell,Hold,False,up,Raises,120.0,107.0
2026-01-09,Wells Fargo,Underweight,Equal-Weight,Sell,Hold,False,up,Raises,128.0,118.0
2026-01-12,B. Riley Securities,Neutral,Buy,Hold,Buy,True,up,Raises,170.0,140.0
2026-02-04,Citizens,Market Perform,Market Outperform,Hold,Buy,True,up,Announces,160.0,0.0
2026-02-13,Deutsche Bank,Hold,Buy,Hold,Buy,True,up,Announces,154.0,0.0
2026-02-13,Evercore ISI Group,In-Line,Outperform,Hold,Buy,True,up,Maintains,145.0,145.0
2026-03-26,Truist Securities,Sell,Hold,Sell,Hold,False,up,Raises,129.0,107.0
2026-04-22,Wells Fargo,Equal-Weight,Overweight,Hold,Buy,True,up,Raises,178.0,136.0
2026-05-04,Oppenheimer,Perform,Outperform,Hold,Buy,True,up,Announces,180.0,0.0
2026-08-07,Wedbush,Neutral,Outperform,Hold,Buy,True,up,Raises,200.0,152.0
2026-09-08,Raymond James,Market Perform,Outperform,Hold,Buy,True,up,Announces,200.0,0.0
