filename,cik,year,section_1_chars,section_1A_chars,section_1B_chars,section_2_chars,section_3_chars,section_4_chars,section_5_chars,section_6_chars,section_7_chars,section_7A_chars,section_8_chars,section_9_chars,section_9A_chars,section_9B_chars,section_10_chars,section_11_chars,section_12_chars,section_13_chars,section_14_chars,section_15_chars
42246_1993.txt,42246,1993,45575,0,0,1758,327,172,1347,0,0,0,0,116,0,0,286,248,318,345,778,0
18675_1993.txt,18675,1993,47155,0,0,26067,5663,852,825,560,362,0,546,356,0,0,362,329,303,321,7162,0
106926_1993.txt,106926,1993,2626,0,0,876,261,0,810,187,23223,0,41050,110,0,0,1670,194,288,238,3524,0
20171_1993.txt,20171,1993,52923,0,0,1059,475,1004,186,212,55550,0,487,117,0,0,357,316,233,228,7818,0
73960_1993.txt,73960,1993,43892,0,0,3219,129,81,85,39,101,0,471,116,0,0,528,39,79,240,48652,0
33015_1993.txt,33015,1993,42514,0,0,7459,1226,91,232,158,213,0,494,483,0,0,0,0,0,0,88282,0
785959_1993.txt,785959,1993,104807,0,0,513,127,218,971,915,942,0,96438,116,0,0,12531,367,696,272,17134,0
771298_1993.txt,771298,1993,18517,0,0,1012,8721,80,1223,76,12783,0,56958,116,0,0,6264,299,383,4939,97547,0
714560_1993.txt,714560,1993,104225,0,0,9491,6669,283756,0,0,165579,0,0,116,0,0,16243,33411,9268,77,57660,0
1420720_2020.htm,1420720,2020,85822,187010,49,1734,4364,64,765,135,15793,171,154,108,8622,3445,982,336,438,386,326,145275
1564618_2020.htm,1564618,2020,81,90342,48,1561,4569,63,3552,5830,124667,415,203,107,7550,50,782,220,533,352,327,134318
1325879_2020.htm,1325879,2020,6303,175319,48,332,3656,63,1224,1930,81365,2594,155361,107,8824,5507,1253,490,464,395,366,2026
1037868_2020.htm,1037868,2020,25715,32450,48,437,1115,63,2487,2080,34194,793,110213,107,1512,49,2389,436,434,301,285,1059
812152_2020.htm,812152,2020,7801,45,48,354,516,64,4468,55,16435,91,19186,108,5959,50,8389,894,1736,2039,1239,3892
1108348_2020.htm,1108348,2020,26,78,59,0,0,11984,125,40,103,76,60,102,42,143,73,41,113,92,3905,686
1310114_2020.htm,1310114,2020,0,0,361,0,245,62,1050,54,43076,166,59354,106,4740,49,1943,0,458,333,249,4668
