id,method,severity,category,description,evidence_path,proposed_fix,affects_ranking
R01,ALL / harness,critical,overfitting,"The scorer's headline flag (survives_both_windows AND rw_survives_both_windows) carries no evidence of skill at this n. A sign-flip null over the 74 margin h=0 PIT cells (one sign vector per draw applied to every cell, so cross-cell correlation is preserved) yields 22.1 survivors on average (median 16, 5-95 pct [1,61], max 72); the run observed 25. P(null >= observed) = 0.39; per-cell null survival probability 0.298 vs an observed rate of 0.338. Excluding M5, which starts from the consensus: 11 observed against a null mean of 16.9, P = 0.54. W2's 10 quarters are a SUBSET of W1's 14 and the two weightings are highly correlated, so the flag is close to free. 30 of the 201 scored margin cells carry it.",analysis/src/margin_build/21_red_team/checks/check_07_survivor_placebo.py,Stop presenting the survivor list as a ranking. Put a paired-loss p-value and a quarters-better count next to every MAE ratio; or state plainly that no margin object in this run is distinguishable from seasonal naive at h=0.,yes
R02,ALL,critical,overfitting,"Of the 59 surviving margin cell-windows, 9 reach p<0.05 on a paired loss differential against seasonal naive (d_q = |e_method| - |e_naive|, Newey-West(1) SE) and EVERY ONE IS W2-ONLY - not a single cell is significant in W1. Seven of the nine are M5 street-bias cells, which begin from the Street consensus and inherit its lift over y[q-4]; the other two are M3's pin specs (rw_hl4_pin p 0.033, last_pin p 0.006), which are better in only 3 of 10 and 7 of 10 quarters. For every method built from the company's own history (M1, M2, M4, M6, M7) the largest W1 |t| is 0.83 and every W1 p exceeds 0.40.",analysis/src/margin_build/21_red_team/checks/check_02_skill_significance.py,"Quote every MAE ratio with its paired-test p-value, its n and the quarters-better count. Drop 'beats the naive' language where p>0.2.",yes
R03,"M1, M2, M3, M6 (M4 inherits)",major,leakage / labelling,"Seven registered specs feed the ACTUAL revenue (or nights) into rows labelled prior_basis=PIT, in the same registry and scoreboard as genuine PIT specs, distinguished only by a substring of spec_id: driver-lines e_revknown_rw (margin_v2, lines_v2), cycle-flex revknown_rw (flex_margin, flex_lines), margin-ts k4_rw_revknown / drift_k4_rw_revknown / g_k4_rw_nightsknown, guide-policy-margin rw_hl4_revknown. M_common rule 6 permits a revenue-known diagnostic, but FORMAT 1.0 does not mark it, and the best margin cell in the whole run by MAE (1.96pp, W1 h=0) is one of them.",analysis/src/margin_build/21_red_team/checks/check_07_survivor_placebo.py (oracle split); check_01_registry_pit_rules.py,"Add an explicit boolean column (revenue_known) to the registry frames, or agree a spec-id prefix the scorer excludes. Until then WS20/23 must filter on the substrings revknown / nightsknown.",yes
R04,M1,major,leakage / PIT,"Spec d_steps_rw reads WS04 step dummies straight out of M1's module-level PANEL (design_rows and forecast_quarter) and never consults 04_signal_knowable_from.csv. event_E09_cor_cash is dated ON from 2025Q1 but became knowable only 2026-02-12; event_E10_pd_cash is ON from 2023Q1, knowable 2023-03-01. 7 of the 14 W1 guide dates and 6 of the 10 W2 dates fit or forecast with a step regressor that was not public. M4 gates the identical signals correctly via known(ks[q], vd).",analysis/src/margin_build/21_red_team/checks/check_09_m1_step_dummy_leak.py,Gate the step level by knowable_from at every vintage and re-run. Until then d_steps_rw is not a PIT spec and its rows must not be quoted.,no
R05,M3,major,overfitting / process,"M3 is the only method whose note has no commit predating its results: pre-registration and results landed together in 5bd8fb5 (M1/M2/M7 pre-registered at d5da4e4, M6 at bebbf4e, M4 at fdf3447). The amendment states that the pre-registration lists five cushion specs plus rw_hl4_pin and rw_hl4_revknown, but the pre-registration paragraph as written lists only rw_hl4, equal, last, nocushion and rw_hl4_prorata. On the note's own text both passing specs (rw_hl4_pin, last_pin) are post-hoc, while the pre-registered main spec rw_hl4 fails (3.83pp W1 / 1.97pp W2).",git log --reverse -- docs/margin-build/notes/M3_guide_policy_margin.md; note lines 22-24 vs 46-48,"M3 to state which specs existed on disk before the first fit. Until then the pin result is exploratory: a hypothesis for 5 Nov, not a backtested pass.",yes
R06,M3,major,overfitting,"The pin's MAE win is tail-driven, not accuracy. rw_hl4_pin beats seasonal naive in 4 of 14 W1 quarters and 3 of 10 W2 quarters. The entire W1 gain is 2023Q4 (single-quarter gain -3.18pp); excluding that quarter the pin is WORSE than seasonal naive by +0.19pp. last_pin: 8/14 W1, again all of the gain in 2023Q4, +0.22pp without it. In W2 a gain survives the exclusion (-0.32pp) but the quarter count does not.",analysis/src/margin_build/21_red_team/checks/check_03_sentence_rule_information.py (part 2),"Describe the pin as clipping the break quarters (2023Q4 carries the $931M lodging-tax reserve year end), not as quarter-to-quarter accuracy.",yes
R07,M2,major,overfitting / hypothesis provenance,"q_sentence_direction was generated by WS10's full-sample observation that the quarterly-sentence direction rule is 13/14 right, then tested on those same 14 quarters. The direction is non-zero in 13 of 14 W1 quarters, of which 9 are -1 and 4 are +1, with only 3 sign changes along the W1 sequence (2 in W2). A constant always-negative rule agrees with the sign of the realised y/y change 8 of 13 times, so the incremental content rests on 4 positive-direction quarters, 3 of them in the 2023 recovery.",analysis/src/margin_build/21_red_team/checks/check_03_sentence_rule_information.py (part 1),"Present the sentence rule as a descriptive regularity with an effective n of 4 direction changes, not as a tested forecaster. Its MAE ratio (0.92 W1) has t = -0.22.",yes
R08,harness (10) / ALL,major,scorer,"beats_seasonal_naive and the survives_both_windows flags are asserted on as few as 2 matched quarters (score.py requires m.sum() >= 2). guide-policy-margin/q4_implied|guide_mid carries survives_both_windows = yes on n=3, with MAE 2.87pp and a -2.87pp bias.",analysis/src/margin_build/21_red_team/checks/check_02_skill_significance.py (n column); harness_margin/score.py,"Suppress the flags below n=8, or carry n beside every flag in the scoreboard markdown so WS20 cannot quote an n=3 pass.",yes
R09,harness (10),major,scorer bookkeeping,"The baselines write prior_basis INTO spec_id (e.g. street|adj_ebitda_margin_pct|h0|PIT) and the margin scorer keys on spec_id, so replays_present = 1 for all 1,452 baseline scoreboard rows while the seven methods correctly report 2. The two-replay rule reads as violated for every baseline object.",analysis/src/margin_build/21_red_team/checks/check_01_registry_pit_rules.py (column H); scoreboard_margin.csv replays_present,"Drop prior_basis from the baseline spec_id, or exclude spec_id from the replays_present group key in score.py.",no
R10,ALL (M7 especially),major,calibration,"The intervals are systematically too WIDE, not too narrow. Mean cov80 on adj_ebitda_margin_pct at h=0 PIT is 0.930 over 63 cells against a nominal 0.80; 21 of 126 margin cells sit above the n=14 binomial 5-95 band and none sit below it. Below EBITDA: op_margin 1.00, pretax 1.00, op_income 0.99, interest income 0.98, sbc_pct_rev 0.99, eps 0.97. M7's self-reported tax under-coverage (tax_provision 0.762, tax_rate 0.796) lies INSIDE the n=14 band and is not supportable; the only genuinely low cell is capex at 0.643, at the band edge.",analysis/src/margin_build/21_red_team/checks/check_06_lines_vs_margin_and_coverage.py,"Re-derive the 5 Nov band from the realised h=0 error distribution rather than the Gaussian-on-last-12 pool, which over-disperses. Withdraw the tax under-coverage claim as an n=14 statement.",yes
R11,"M1, M4, M6",major,economic sense,"The three driver/flex models put 3Q26 at 51.2-51.6% (M1 and M4 51.57, M6 51.23) against a 3Q25 actual of 50.09% and the CEILING sentence in force from the 2Q26 letter of 6 Aug 2026 (margin roughly flat to slightly down y/y). Their LIVE h=0 forecast contradicts the guidance the same run uses as a baseline elsewhere and sits 1.4-1.8pp above Street (49.78%). M1's own note attributes the gap to the S&M line.",analysis/src/margin_build/21_red_team/checks/check_05_live_coherence.py,Either argue the exception explicitly (why management's ceiling is wrong) or clip to the sentence as M3 does. A 3Q26 above 50.09% cannot go on the card unargued.,yes
R12,M3,major,economic sense,"M3's registered LIVE path (rw_hl4_pin, base revenue) puts 4Q26 at 34.51% and 4Q27 at 34.30%, both above every historical Q4 in 2022-26 (range 26.6-33.3%) and 5.6pp above Street's 4Q26 of 28.90%; the implied FY26 is 37.03%, 1.53pp above the 35.5% floor in force. The mechanism is the FY budget identity after the Q3 pin: the residual lands in Q4. M3's own note prefers 30.9% under the modal November sentence.",analysis/src/margin_build/21_red_team/checks/check_05_live_coherence.py,"Carry M3's sentence scenario (4Q26 30.9%), not the registered rw_hl4_pin LIVE row, into the combined model; or register the sentence scenario as its own spec.",yes
R13,"M6, M7, WS03",minor,reproducibility,"Three packages' run.py read gitignored inputs with no re-pull fallback: M6 two LSEG peer files under data/raw/margin_build/04_alt_signals/misc (manifested under WS04, not under M6), M7 three FRED daily files under data/raw/margin_build/M7_below_ebitda (manifested; its README says re-pull by hand), WS03 the Bloomberg local file. From a clean checkout each raises FileNotFoundError before writing anything, so the brief's rule that run.py rebuilds the package end to end with exit 0 holds only on this machine.",analysis/src/margin_build/21_red_team/checks/check_08_reproducibility_inputs.py,Add a fetch-if-missing branch for the keyless FRED pulls (WS04 already has one); document licensed prerequisites at the top of each README and in M6's own manifest.,no
R14,ALL,minor,line-level claims,"31 of 58 (method, spec, window) cells at h=0 show the five cash LINES beating seasonal naive on average (mean MAE ratio 0.51-0.78) while the MARGIN loses to it (ratio > 1) - including M1's own main spec b_elastic_rw in W1 (lines 0.53, margin 1.010) and M4's best1 specs (lines 0.51-0.59, margin 1.09-1.10). Seasonal naive is a weak baseline for a growing dollar series and a strong one for a ratio, so a line-level MAE ratio is close to free. This confirms and generalises M4's cross-method warning.",analysis/src/margin_build/21_red_team/checks/check_06_lines_vs_margin_and_coverage.py,"Re-score every line claim on adj_ebitda_margin_pct before quoting it, and name the line baseline used (seasonal_naive_drift or pct_rev_last4, not seasonal_naive).",yes
R15,M6,major,economic sense,M6's FY28 forecast (31.3% vs Street 37.7%) compounds positive fitted growth intercepts over four unanchored quarters. M6 flags it itself; repeated here so the flag survives synthesis.,docs/margin-build/notes/M6_cycle_flex.md; RUN_STATE log 14 Sep 15:05,"Drop M6's FY28 row or replace it with a flat-margin roll-forward, labelled.",no
R16,M7,minor,economic sense,"M7's backtested EPS and FCF chains take their EBITDA input from a harness BASELINE (q_guide_implied, else guide_implied, else seasonal_naive_drift), so the ebitda_pit object's error is dominated by that baseline rather than by the below-the-line model. Only the ebitda_known variant measures M7's own accuracy, and prior_basis does not separate the two.",analysis/src/margin_build/M7_below_ebitda/run.py (M7.ebitda_pit),"Quote M7's below-the-line accuracy from ebitda_known and total EPS error from ebitda_pit, never mixing them.",no
R17,harness (10) / ALL,minor,PIT convention,"history_as_of includes the same-day letter (include_same_day=True), so every h=0 forecast in this run uses the letter and the guidance sentence published that evening. This is the frozen revenue-harness convention, applied consistently, but it means h=0 is a post-letter, post-guide forecast rather than a pre-print one.",harness_margin/panel.py history_as_of; forecast_methods/harness/baselines.py docstring,"Say so on the card: the models forecast the quarter AFTER the guide is given, which is not the position a trade into the 5 Nov print occupies for 4Q26.",no
R18,M2,minor,labelling,"M2's LIVE comparison columns are LSEG values from 06_consensus_quarterly_2027.csv pulled 2026-09-13, on rows stamped vintage_date 2026-09-11. Comparison columns only, not inputs, so no leakage and no kill-list breach, but the stamp is wrong.","analysis/src/margin_build/M2_margin_ts/m2_margin_ts.py, live_table street_vendor string","Stamp the comparison column with its own pull date, separate from vintage_date.",no
R19,ALL,minor,process,"Every pre-registration in this run is self-attested inside its own note. M1, M2 and M7 have a genuine pre-results commit (d5da4e4), M6 at bebbf4e and M4 at fdf3447; M3 does not (R05). Nothing else can be checked against a timestamp.",git log --reverse -- docs/margin-build/notes/,"For stages 20-32, commit the pass line before the fit runs.",no
