fy,scenario,spec_id,prior_basis,revenue,nights,gbv,cor,ops,pd,sm,ga,other_net,adj_ebitda_musd,adj_ebitda_margin_pct,cor_pct_rev,ops_pct_rev,pd_pct_rev,sm_pct_rev,ga_pct_rev,cons_revenue_musd,cons_ebitda_musd,cons_margin_pct,ws31b_historical_margin_pct,ws31b_management_margin_pct,ws31b_base_margin_pct,ws30_margin_pct,mgmt_fy26_floor_pct,fy25_actual_margin_pct,margin_chg_fy27_vs_fy26_pp,margin_chg_fy28_vs_fy27_pp,margin_chg_fy26_vs_fy25_pp
FY26,base,a_unit_eq,PIT,14268.1433,583.1113,105415.3,2364.915216035025,1304.5091089593989,1491.6383886690055,3000.2634294477475,1021.2028953114428,92.02525931670246,5177.639520894083,36.28810989649987,16.574792993808977,9.142809134524175,10.45432721907836,21.02770743441964,7.157223430125228,14189.55705,5053.72214,35.61578506074649,35.80694006124159,35.81959560156751,35.252104573905875,36.19,35.5,35.10334123029164,,,1.1847686662082282
FY27,base,a_unit_eq,PIT,15828.606600000001,621.8413999999999,115472.5,2540.1815143262465,1342.791684566273,1658.3052835897936,3685.7015173991344,1124.5163601092831,107.13220046889764,5584.242440478168,35.2794316113597,16.04804250000279,8.483322117350953,10.476634649507263,23.285066149784367,7.104329449373536,15819.33924,5766.09917,36.449684038762676,35.39656495096794,36.45984872969117,35.942640628694235,36.43,,35.10334123029164,-1.0086782851401708,,
FY28,base,a_unit_eq,PIT,17137.441,659.4317,124940.69999999998,2697.1225370467128,1375.420841281024,1843.5945564766803,4527.734312269618,1238.281883021666,115.99073823313705,5571.277608137435,32.50939045180336,15.738187148517174,8.025823932995738,10.757700385236515,26.420130708368994,7.225593850456823,17535.09557,6602.71735,37.65429919467499,34.571733785241115,37.35650010527184,36.94149744882339,,,35.10334123029164,,-2.7700411595563352,
FY26,base,a_unit_eq,full_sample,14268.1433,583.1113,105415.3,2364.915216035025,1304.5091089593989,1491.6383886690055,3000.2634294477475,1021.2028953114428,92.02525931670246,5177.639520894083,36.28810989649987,16.574792993808977,9.142809134524175,10.45432721907836,21.02770743441964,7.157223430125228,14189.55705,5053.72214,35.61578506074649,35.80694006124159,35.81959560156751,35.252104573905875,36.19,35.5,35.10334123029164,,,1.1847686662082282
FY27,base,a_unit_eq,full_sample,15828.606600000001,621.8413999999999,115472.5,2540.1815143262465,1342.791684566273,1658.3052835897936,3685.7015173991344,1124.5163601092831,107.13220046889764,5584.242440478168,35.2794316113597,16.04804250000279,8.483322117350953,10.476634649507263,23.285066149784367,7.104329449373536,15819.33924,5766.09917,36.449684038762676,35.39656495096794,36.45984872969117,35.942640628694235,36.43,,35.10334123029164,-1.0086782851401708,,
FY28,base,a_unit_eq,full_sample,17137.441,659.4317,124940.69999999998,2697.1225370467128,1375.420841281024,1843.5945564766803,4527.734312269618,1238.281883021666,115.99073823313705,5571.277608137435,32.50939045180336,15.738187148517174,8.025823932995738,10.757700385236515,26.420130708368994,7.225593850456823,17535.09557,6602.71735,37.65429919467499,34.571733785241115,37.35650010527184,36.94149744882339,,,35.10334123029164,,-2.7700411595563352,
FY26,bear,a_unit_eq,PIT,14164.807,581.108,104393.2,2340.902208632344,1299.5527849742655,1491.6383886690055,3000.2634294477475,1021.2028953114428,91.32585187755907,5102.573144842754,36.022892121599355,16.526184992371192,9.17451812067941,10.530594512646768,21.181110547060385,7.2094374128178575,14189.55705,5053.72214,35.61578506074649,35.80694006124159,35.81959560156751,35.252104573905875,34.01,35.5,35.10334123029164,,,0.9195508913077148
FY27,bear,a_unit_eq,PIT,14948.333900000001,602.2638,107833.2,2372.550873696357,1300.3577071037466,1658.3052835897936,3685.7015173991344,1124.5163601092831,101.17428176216208,4908.076439863847,32.83360187628566,15.871674325500294,8.699014323621354,11.093579355956141,24.656269668950426,7.522686927064715,15819.33924,5766.09917,36.449684038762676,35.39656495096794,36.45984872969117,35.942640628694235,30.56,,35.10334123029164,-3.1892902453136927,,
FY26,bear,a_unit_eq,full_sample,14164.807,581.108,104393.2,2340.902208632344,1299.5527849742655,1491.6383886690055,3000.2634294477475,1021.2028953114428,91.32585187755907,5102.573144842754,36.022892121599355,16.526184992371192,9.17451812067941,10.530594512646768,21.181110547060385,7.2094374128178575,14189.55705,5053.72214,35.61578506074649,35.80694006124159,35.81959560156751,35.252104573905875,34.01,35.5,35.10334123029164,,,0.9195508913077148
FY27,bear,a_unit_eq,full_sample,14948.333900000001,602.2638,107833.2,2372.550873696357,1300.3577071037466,1658.3052835897936,3685.7015173991344,1124.5163601092831,101.17428176216208,4908.076439863847,32.83360187628566,15.871674325500294,8.699014323621354,11.093579355956141,24.656269668950426,7.522686927064715,15819.33924,5766.09917,36.449684038762676,35.39656495096794,36.45984872969117,35.942640628694235,30.56,,35.10334123029164,-3.1892902453136927,,
