centre,sd,p_r01,p_r02
9.2,1.0,0.212,0.081
9.2,1.25,0.261,0.131
9.2,1.48,0.294,0.172
9.2,1.63,0.312,0.195
9.2,1.7,0.319,0.205
9.2,1.82,0.33,0.221
9.2,2.16,0.356,0.258
9.2,2.5,0.374,0.288
9.5,1.0,0.309,0.136
9.5,1.25,0.345,0.189
9.5,1.48,0.368,0.229
9.5,1.63,0.38,0.25
9.5,1.7,0.384,0.259
9.5,1.82,0.392,0.273
9.5,2.16,0.408,0.305
9.5,2.5,0.421,0.33
9.55,1.0,0.326,0.147
9.55,1.25,0.359,0.2
9.55,1.48,0.381,0.239
9.55,1.63,0.391,0.26
9.55,1.7,0.396,0.268
9.55,1.82,0.402,0.282
9.55,2.16,0.417,0.313
9.55,2.5,0.429,0.337
9.9,1.0,0.46,0.242
9.9,1.25,0.468,0.288
9.9,1.48,0.473,0.318
9.9,1.63,0.476,0.334
9.9,1.7,0.477,0.34
9.9,1.82,0.478,0.35
9.9,2.16,0.482,0.373
9.9,2.5,0.484,0.39
10.0,1.0,0.5,0.274
10.0,1.25,0.5,0.316
10.0,1.48,0.5,0.343
10.0,1.63,0.5,0.356
10.0,1.7,0.5,0.362
10.0,1.82,0.5,0.371
10.0,2.16,0.5,0.391
10.0,2.5,0.5,0.405
10.3,1.0,0.618,0.382
10.3,1.25,0.595,0.405
10.3,1.48,0.58,0.42
10.3,1.63,0.573,0.427
10.3,1.7,0.57,0.43
10.3,1.82,0.565,0.435
10.3,2.16,0.555,0.445
10.3,2.5,0.548,0.452
