source,url,sdate,edate,file,ric,group,period,frq,fields,status,error,pulled_at_utc,rows,sha256
"LSEG Workspace desktop session, lseg-data 2.1.1, ld.get_data",lseg://desktop/get_data (licensed; no public URL),2021-01-01,2026-09-13,abnb_ebitda_FQ1_D.csv,ABNB.O,ebitda,FQ1,D,TR.EBITDAMean;TR.EBITDAMean.date;TR.EBITDAMean.calcdate;TR.EBITDAMean.fperiod;TR.EBITDAMean.periodenddate;TR.EBITDAMedian;TR.EBITDAMedian.date;TR.EBITDAHigh;TR.EBITDALow;TR.EBITDAStdDev;TR.EBITDANumOfEst;TR.EBITDAMarginMean;TR.EBITDAMarginMean.date;TR.EBITDAReportedMean;TR.EBITDAReportedMean.date,OK,,2026-09-13T04:58:42+00:00,1430,9b182b91c3ce4927b75805eeebfa7e79a3fb578158a1c8aef5141a122d5327e0
"LSEG Workspace desktop session, lseg-data 2.1.1, ld.get_data",lseg://desktop/get_data (licensed; no public URL),2021-01-01,2026-09-13,abnb_reveps_FQ1_D.csv,ABNB.O,reveps,FQ1,D,TR.RevenueMean;TR.RevenueMean.date;TR.RevenueMean.calcdate;TR.RevenueMean.fperiod;TR.RevenueMean.periodenddate;TR.RevenueMedian;TR.RevenueMedian.date;TR.RevenueHigh;TR.RevenueLow;TR.RevenueStdDev;TR.RevenueNumOfEst;TR.EPSMean;TR.EPSMean.date;TR.EPSMedian;TR.EPSMedian.date;TR.EPSStdDev;TR.EPSNumOfEst,OK,,2026-09-13T04:58:42+00:00,1430,299466016ad463aa95954dd9cd9fb3a1385371f1fccc7a5663579be9436f3017
"LSEG Workspace desktop session, lseg-data 2.1.1, ld.get_data",lseg://desktop/get_data (licensed; no public URL),2021-01-01,2026-09-13,abnb_other_FQ1_D.csv,ABNB.O,other,FQ1,D,TR.EBITMean;TR.EBITMean.date;TR.EBITMean.calcdate;TR.EBITMean.fperiod;TR.EBITMean.periodenddate;TR.NetProfitMean;TR.NetProfitMean.date;TR.FCFMean;TR.FCFMean.date;TR.COGSMean;TR.COGSMean.date;TR.GrossIncomeMean;TR.GrossIncomeMean.date;TR.PreTaxProfitMean;TR.PreTaxProfitMean.date;TR.CAPEXMean;TR.CAPEXMean.date;TR.DPSMean;TR.DPSMean.date,OK,,2026-09-13T04:58:42+00:00,1430,d1ed37df934a65007dad6219755c5bb74ba2dad8e35d969dfe5401ee281e81e2
"LSEG Workspace desktop session, lseg-data 2.1.1, ld.get_data",lseg://desktop/get_data (licensed; no public URL),2021-01-01,2026-09-13,abnb_ebitda_FQ2_D.csv,ABNB.O,ebitda,FQ2,D,TR.EBITDAMean;TR.EBITDAMean.date;TR.EBITDAMean.calcdate;TR.EBITDAMean.fperiod;TR.EBITDAMean.periodenddate;TR.EBITDAMedian;TR.EBITDAMedian.date;TR.EBITDAHigh;TR.EBITDALow;TR.EBITDAStdDev;TR.EBITDANumOfEst;TR.EBITDAMarginMean;TR.EBITDAMarginMean.date;TR.EBITDAReportedMean;TR.EBITDAReportedMean.date,OK,,2026-09-13T04:58:42+00:00,1430,9d20e11030f5b69438abad6b89740854d2f4a05ffce9a1c388963d074b6fc257
"LSEG Workspace desktop session, lseg-data 2.1.1, ld.get_data",lseg://desktop/get_data (licensed; no public URL),2021-01-01,2026-09-13,abnb_reveps_FQ2_D.csv,ABNB.O,reveps,FQ2,D,TR.RevenueMean;TR.RevenueMean.date;TR.RevenueMean.calcdate;TR.RevenueMean.fperiod;TR.RevenueMean.periodenddate;TR.RevenueMedian;TR.RevenueMedian.date;TR.RevenueHigh;TR.RevenueLow;TR.RevenueStdDev;TR.RevenueNumOfEst;TR.EPSMean;TR.EPSMean.date;TR.EPSMedian;TR.EPSMedian.date;TR.EPSStdDev;TR.EPSNumOfEst,OK,,2026-09-13T04:58:42+00:00,1430,56b2b8bfcaade0f8ce460c00a454dc22a277e56c4445120860113e88004e8093
"LSEG Workspace desktop session, lseg-data 2.1.1, ld.get_data",lseg://desktop/get_data (licensed; no public URL),2021-01-01,2026-09-13,abnb_other_FQ2_D.csv,ABNB.O,other,FQ2,D,TR.EBITMean;TR.EBITMean.date;TR.EBITMean.calcdate;TR.EBITMean.fperiod;TR.EBITMean.periodenddate;TR.NetProfitMean;TR.NetProfitMean.date;TR.FCFMean;TR.FCFMean.date;TR.COGSMean;TR.COGSMean.date;TR.GrossIncomeMean;TR.GrossIncomeMean.date;TR.PreTaxProfitMean;TR.PreTaxProfitMean.date;TR.CAPEXMean;TR.CAPEXMean.date;TR.DPSMean;TR.DPSMean.date,OK,,2026-09-13T04:58:42+00:00,1430,9c1b42a598125ef67c4a2680ae0059b73874ba5f5ad399cb7a72a808fa290140
"LSEG Workspace desktop session, lseg-data 2.1.1, ld.get_data",lseg://desktop/get_data (licensed; no public URL),2021-01-01,2026-09-13,abnb_ebitda_FQ3_D.csv,ABNB.O,ebitda,FQ3,D,TR.EBITDAMean;TR.EBITDAMean.date;TR.EBITDAMean.calcdate;TR.EBITDAMean.fperiod;TR.EBITDAMean.periodenddate;TR.EBITDAMedian;TR.EBITDAMedian.date;TR.EBITDAHigh;TR.EBITDALow;TR.EBITDAStdDev;TR.EBITDANumOfEst;TR.EBITDAMarginMean;TR.EBITDAMarginMean.date;TR.EBITDAReportedMean;TR.EBITDAReportedMean.date,OK,,2026-09-13T04:58:42+00:00,1430,d54f11b9719f2edfda303c47e770da3d14841d63c2c25cdff141a7555775b7ed
"LSEG Workspace desktop session, lseg-data 2.1.1, ld.get_data",lseg://desktop/get_data (licensed; no public URL),2021-01-01,2026-09-13,abnb_reveps_FQ3_D.csv,ABNB.O,reveps,FQ3,D,TR.RevenueMean;TR.RevenueMean.date;TR.RevenueMean.calcdate;TR.RevenueMean.fperiod;TR.RevenueMean.periodenddate;TR.RevenueMedian;TR.RevenueMedian.date;TR.RevenueHigh;TR.RevenueLow;TR.RevenueStdDev;TR.RevenueNumOfEst;TR.EPSMean;TR.EPSMean.date;TR.EPSMedian;TR.EPSMedian.date;TR.EPSStdDev;TR.EPSNumOfEst,OK,,2026-09-13T04:58:42+00:00,1430,dba19c873b27cc33dc4035398b3e3c3636a9c2f60b1d0ff60dc0e1d430e458fb
"LSEG Workspace desktop session, lseg-data 2.1.1, ld.get_data",lseg://desktop/get_data (licensed; no public URL),2021-01-01,2026-09-13,abnb_other_FQ3_D.csv,ABNB.O,other,FQ3,D,TR.EBITMean;TR.EBITMean.date;TR.EBITMean.calcdate;TR.EBITMean.fperiod;TR.EBITMean.periodenddate;TR.NetProfitMean;TR.NetProfitMean.date;TR.FCFMean;TR.FCFMean.date;TR.COGSMean;TR.COGSMean.date;TR.GrossIncomeMean;TR.GrossIncomeMean.date;TR.PreTaxProfitMean;TR.PreTaxProfitMean.date;TR.CAPEXMean;TR.CAPEXMean.date;TR.DPSMean;TR.DPSMean.date,OK,,2026-09-13T04:58:42+00:00,1430,ed7e2a3dc6653e118013a94db9a7567af06785075d5dc26d82da54f92fbe5582
"LSEG Workspace desktop session, lseg-data 2.1.1, ld.get_data",lseg://desktop/get_data (licensed; no public URL),2021-01-01,2026-09-13,abnb_ebitda_FQ4_D.csv,ABNB.O,ebitda,FQ4,D,TR.EBITDAMean;TR.EBITDAMean.date;TR.EBITDAMean.calcdate;TR.EBITDAMean.fperiod;TR.EBITDAMean.periodenddate;TR.EBITDAMedian;TR.EBITDAMedian.date;TR.EBITDAHigh;TR.EBITDALow;TR.EBITDAStdDev;TR.EBITDANumOfEst;TR.EBITDAMarginMean;TR.EBITDAMarginMean.date;TR.EBITDAReportedMean;TR.EBITDAReportedMean.date,OK,,2026-09-13T04:58:42+00:00,1430,e656e44d91553f39f4dd01bed9e0f3303f72fde9889b472bbecf774f3ab13845
