rank,source_id,user_approved_for_lawful_e1_review,approval_scope,provider_gate_overridden,collection_allowed,actual_request_count,collection_outcome,historical_class,strict_cutoff_eligible_now,abnb_outcome_test_scope,abnb_outcome_test_executed,final_decision,decision_rationale,unblock_condition
1,NASA_BLACK_MARBLE_VNP46A2,true,lawful_collection_and_testability_review_only,false,false,0,not_testable,prospective_only,false,not_authorized_for_outcome_test,false,WATCH_PROSPECTIVELY,Authenticated Earthdata access was not authorized or attempted; granule versioning and environmental controls require a prospective protocol.,Radiance may be dominated by stable infrastructure and environmental artifacts rather than lodging occupancy Resolve exact provider permission and PIT evidence before any collection or retest.
2,NOAA_HMS_SMOKE,true,lawful_collection_and_testability_review_only,false,false,0,not_testable,prospective_only,false,not_authorized_for_outcome_test,false,CONTROL_ONLY,"Smoke is a sparse disruption control with regenerated-archive and 2022 methodology risks, not a stand-alone demand signal.","Smoke is sparse, highly seasonal, and may proxy widely known wildfire news rather than incremental destination demand. Resolve exact provider permission and PIT evidence before any collection or retest."
3,WSF_FERRY_RIDERSHIP,true,lawful_collection_and_testability_review_only,false,false,0,not_testable,backtestable_now,false,frozen_pilot_only,false,INCONCLUSIVE,"The dated archive is promising, but permission and report-level initial-publication evidence remain unresolved, so no lawful replay ran.",Single-region materiality may be too small and route counts may mostly reflect commuter/service-supply dynamics Resolve exact provider permission and PIT evidence before any collection or retest.
4,NYC_OSE_STR_SNAPSHOTS,true,lawful_collection_and_testability_review_only,false,false,0,not_testable,backtestable_now,false,frozen_pilot_only,false,INCONCLUSIVE,Zero eligible post-regime observations fail H-006's frozen minimum evidence; no readiness promotion or signal/control inference is permitted.,The regime is too new and NYC's legal home-share segment may be too small to explain consolidated ABNB. Resolve exact provider permission and PIT evidence before any collection or retest.
5,ORANGE_FL_TDT_RELEASES,true,lawful_collection_and_testability_review_only,false,false,0,not_testable,backtestable_now,false,frozen_pilot_only,false,INCONCLUSIVE,Zero eligible observations fail H-005's frozen minimum evidence; no readiness promotion or signal/control inference is permitted.,TDT is a lagging all-lodging/price signal dominated by hotels and theme parks rather than an early Airbnb-specific signal. Resolve exact provider permission and PIT evidence before any collection or retest.
6,VANCOUVER_STR_LICENSES,true,lawful_collection_and_testability_review_only,false,false,0,not_testable,prospective_only,false,not_authorized_for_outcome_test,false,WATCH_PROSPECTIVELY,The current extract can overwrite status and cannot reconstruct historical state; begin aggregate snapshots only if exact-path permission clears.,Historical status survivorship cannot be ruled out from the present extract. Resolve exact provider permission and PIT evidence before any collection or retest.
7,NPS_VISITOR_USE,true,lawful_collection_and_testability_review_only,false,false,0,not_testable,prospective_only,false,not_authorized_for_outcome_test,false,WATCH_PROSPECTIVELY,"The finalized API lacks preliminary vintages, so prospective capture is required despite long observation history.",Lack of preliminary vintages means the most decision-relevant recent months cannot yet meet strict cutoff rules Resolve exact provider permission and PIT evidence before any collection or retest.
8,NYC_OSE_ENFORCEMENT_REPORTS,true,lawful_collection_and_testability_review_only,false,false,0,not_testable,backtestable_now,false,not_authorized_for_outcome_test,false,CONTROL_ONLY,Annual enforcement counts measure policy effort more than timely consolidated supply and remain permission-blocked.,Annual policy-driven counts may measure enforcement effort rather than economically material supply removal. Resolve exact provider permission and PIT evidence before any collection or retest.
9,FTA_NTD_MONTHLY_RIDERSHIP,true,lawful_collection_and_testability_review_only,false,false,0,not_testable,prospective_only,false,not_authorized_for_outcome_test,false,CONTROL_ONLY,Publication lag and broad agency-level aggregation make this more suitable as a mobility control than an edge signal.,Two-month lag and no station detail may leave little incremental information after broader mobility/transport data Resolve exact provider permission and PIT evidence before any collection or retest.
10,NOLA_STR_PERMIT_EVENTS,true,lawful_collection_and_testability_review_only,false,false,0,not_testable,prospective_only,false,not_authorized_for_outcome_test,false,INCONCLUSIVE,"Event dates are coherent, but current status can overwrite history and neither path permission nor historical public-state timing is established.",A present extract may not preserve the historical state or prove when each event was public. Resolve exact provider permission and PIT evidence before any collection or retest.
11,NOLA_STR_ENFORCEMENT_HEARINGS,true,lawful_collection_and_testability_review_only,false,false,0,not_testable,prospective_only,false,not_authorized_for_outcome_test,false,CONTROL_ONLY,Hearings measure regulatory effort and may be backfilled; use only as a control after immutable publication timing is proven.,Enforcement activity may be policy effort and backfilled workflow data rather than timely supply removal. Resolve exact provider permission and PIT evidence before any collection or retest.
12,SAN_DIEGO_STRO_ACTIVE,true,lawful_collection_and_testability_review_only,false,false,0,not_testable,prospective_only,false,not_authorized_for_outcome_test,false,WATCH_PROSPECTIVELY,The active-only snapshot cannot be backfilled and contains avoidable personal fields; only aggregate prospective capture is defensible.,The active-only snapshot has no defensible historical reconstruction and contains avoidable personal data fields. Resolve exact provider permission and PIT evidence before any collection or retest.
13,MARINECADASTRE_AIS,true,lawful_collection_and_testability_review_only,false,false,0,not_testable,prospective_only,false,not_authorized_for_outcome_test,false,WATCH_PROSPECTIVELY,Bulk annual timing is too late for same-quarter forecasting and the subset service is unavailable; prospective disruption design remains possible.,Operational service is unavailable and annual publication timing is likely too late for same-quarter forecasting Resolve exact provider permission and PIT evidence before any collection or retest.
14,NYC_311_TOURISM_STRESS,true,lawful_collection_and_testability_review_only,false,false,1,not_testable,prospective_only,false,not_authorized_for_outcome_test,false,REJECT,"One server-side aggregate probe was made under a superseded robots-silence interpretation, then quarantined. The corrected gate is blocked; mutable classifications, no historical vintages, and weak causal specificity preserve REJECT.","Complaints measure reporting and enforcement behavior, not tourist presence, and vintage reconstruction is unresolved. Resolve exact provider permission and PIT evidence before any collection or retest."
15,MELB_PED_HOURLY,true,lawful_collection_and_testability_review_only,false,false,0,not_testable,prospective_only,false,not_authorized_for_outcome_test,false,WATCH_PROSPECTIVELY,Undefined portal permission and absent publication vintages block history; a fixed sensor/control panel could begin only prospectively.,No defensible historical publication vintages and undefined portal terms Resolve exact provider permission and PIT evidence before any collection or retest.
