claim_id,source_id,claim,source_title,publisher,publication_or_update_date,url,access_notes,confidence,contradictions_or_gaps
E1-CLAIM-001,NASA_BLACK_MARBLE_VNP46A2,The source remains uncollected and not testable in E1 because the exact deterministic gate did not allow a request or PIT evidence remained unavailable.,VIIRS/NPP Black Marble daily gap-filled BRDF-adjusted nighttime lights VNP46A2,NASA LAADS DAAC,,https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A2/; https://www.earthdata.nasa.gov/data/catalog/lpcloud-vnp46a2-001,Official source and permission evidence were reviewed in E0/E1; no direct request was executed in E1.,high for collection outcome; source signal efficacy untested,Radiance may be dominated by stable infrastructure and environmental artifacts rather than lodging occupancy
E1-CLAIM-002,NOAA_HMS_SMOKE,The source remains uncollected and not testable in E1 because the exact deterministic gate did not allow a request or PIT evidence remained unavailable.,NOAA Hazard Mapping System daily fire and smoke analysis,NOAA NESDIS Office of Satellite and Product Operations,,https://www.ospo.noaa.gov/products/land/hms.html; https://satepsanone.nesdis.noaa.gov/pub/FIRE/web/HMS/Smoke_Polygons/Shapefile/,Official source and permission evidence were reviewed in E0/E1; no direct request was executed in E1.,high for collection outcome; source signal efficacy untested,"Smoke is sparse, highly seasonal, and may proxy widely known wildfire news rather than incremental destination demand."
E1-CLAIM-003,WSF_FERRY_RIDERSHIP,The source remains uncollected and not testable in E1 because the exact deterministic gate did not allow a request or PIT evidence remained unavailable.,Washington State Ferries traffic statistics rider-segment reports,Washington State Department of Transportation,,https://wsdot.wa.gov/travel/washington-state-ferries/about-us/ferries-accountability-and-service-data/ridership-data; https://wsdot.wa.gov/sites/default/files/2023-04/WashingtonStateFerries-TrafficStatistics-2023Q1.pdf,Official source and permission evidence were reviewed in E0/E1; no direct request was executed in E1.,high for collection outcome; source signal efficacy untested,Single-region materiality may be too small and route counts may mostly reflect commuter/service-supply dynamics
E1-CLAIM-004,NYC_OSE_STR_SNAPSHOTS,The source remains uncollected and not testable in E1 because the exact deterministic gate did not allow a request or PIT evidence remained unavailable.,Short-Term Rental Registration annual reports and dated registration datasets,NYC Mayor's Office of Special Enforcement,,https://www.nyc.gov/site/specialenforcement/registration-law/registration-and-listing-data.page,Official source and permission evidence were reviewed in E0/E1; no direct request was executed in E1.,high for collection outcome; source signal efficacy untested,The regime is too new and NYC's legal home-share segment may be too small to explain consolidated ABNB.
E1-CLAIM-005,ORANGE_FL_TDT_RELEASES,The source remains uncollected and not testable in E1 because the exact deterministic gate did not allow a request or PIT evidence remained unavailable.,Tourist Development Tax monthly collections,"Orange County Comptroller, Florida",,https://www.occompt.com/quicklinks.aspx?CID=39,Official source and permission evidence were reviewed in E0/E1; no direct request was executed in E1.,high for collection outcome; source signal efficacy untested,TDT is a lagging all-lodging/price signal dominated by hotels and theme parks rather than an early Airbnb-specific signal.
E1-CLAIM-006,VANCOUVER_STR_LICENSES,The source remains uncollected and not testable in E1 because the exact deterministic gate did not allow a request or PIT evidence remained unavailable.,Business licences filtered to Short-term Rental Operator,City of Vancouver Open Data Portal,,https://opendata.vancouver.ca/explore/dataset/business-licences/api/,Official source and permission evidence were reviewed in E0/E1; no direct request was executed in E1.,high for collection outcome; source signal efficacy untested,Historical status survivorship cannot be ruled out from the present extract.
E1-CLAIM-007,NPS_VISITOR_USE,The source remains uncollected and not testable in E1 because the exact deterministic gate did not allow a request or PIT evidence remained unavailable.,NPS Visitor Use Statistics monthly visitation and overnight stays,National Park Service Social Science Program,,https://irmaservices.nps.gov/v3/rest/Stats/help; https://home.nps.gov/subjects/socialscience/statistics-faq.htm,Official source and permission evidence were reviewed in E0/E1; no direct request was executed in E1.,high for collection outcome; source signal efficacy untested,Lack of preliminary vintages means the most decision-relevant recent months cannot yet meet strict cutoff rules
E1-CLAIM-008,NYC_OSE_ENFORCEMENT_REPORTS,The source remains uncollected and not testable in E1 because the exact deterministic gate did not allow a request or PIT evidence remained unavailable.,Annual Reports of Short-Term Rental Enforcement,NYC Mayor's Office of Special Enforcement,,https://www.nyc.gov/site/specialenforcement/about/data-reports.page,Official source and permission evidence were reviewed in E0/E1; no direct request was executed in E1.,high for collection outcome; source signal efficacy untested,Annual policy-driven counts may measure enforcement effort rather than economically material supply removal.
E1-CLAIM-009,FTA_NTD_MONTHLY_RIDERSHIP,The source remains uncollected and not testable in E1 because the exact deterministic gate did not allow a request or PIT evidence remained unavailable.,Raw Monthly Ridership no adjustments or estimates,Federal Transit Administration National Transit Database,,https://www.transit.dot.gov/ntd/monthly-ridership; https://www.transit.dot.gov/ntd/data-product/monthly-modal-time-series-safety-and-service,Official source and permission evidence were reviewed in E0/E1; no direct request was executed in E1.,high for collection outcome; source signal efficacy untested,Two-month lag and no station detail may leave little incremental information after broader mobility/transport data
E1-CLAIM-010,NOLA_STR_PERMIT_EVENTS,The source remains uncollected and not testable in E1 because the exact deterministic gate did not allow a request or PIT evidence remained unavailable.,Short-Term Rental Permit Applications,City of New Orleans Department of Safety and Permits,,https://data.nola.gov/Housing-Land-Use-and-Blight/Map-of-Short-Term-Rental-License-Applications/j5u3-2ueh,Official source and permission evidence were reviewed in E0/E1; no direct request was executed in E1.,high for collection outcome; source signal efficacy untested,A present extract may not preserve the historical state or prove when each event was public.
E1-CLAIM-011,NOLA_STR_ENFORCEMENT_HEARINGS,The source remains uncollected and not testable in E1 because the exact deterministic gate did not allow a request or PIT evidence remained unavailable.,Adjudication Enforcement Detailed Hearings Data for OBES,City of New Orleans,,https://data.nola.gov/Housing-Land-Use-and-Blight/Adjudication-Enforcement-Detailed-Hearings-Data-fo/uzyk-jrck,Official source and permission evidence were reviewed in E0/E1; no direct request was executed in E1.,high for collection outcome; source signal efficacy untested,Enforcement activity may be policy effort and backfilled workflow data rather than timely supply removal.
E1-CLAIM-012,SAN_DIEGO_STRO_ACTIVE,The source remains uncollected and not testable in E1 because the exact deterministic gate did not allow a request or PIT evidence remained unavailable.,Active licenses for Short-Term Residential Occupancy,City of San Diego Office of the City Treasurer,,https://data.sandiego.gov/datasets/stro-licenses/,Official source and permission evidence were reviewed in E0/E1; no direct request was executed in E1.,high for collection outcome; source signal efficacy untested,The active-only snapshot has no defensible historical reconstruction and contains avoidable personal data fields.
E1-CLAIM-013,MARINECADASTRE_AIS,The source remains uncollected and not testable in E1 because the exact deterministic gate did not allow a request or PIT evidence remained unavailable.,U.S. Automatic Identification System historical vessel positions,MarineCadastre.gov partnership of BOEM NOAA and USCG,,https://marinecadastre.gov/ais/; https://marinecadastre.gov/accessais/,Official source and permission evidence were reviewed in E0/E1; no direct request was executed in E1.,high for collection outcome; source signal efficacy untested,Operational service is unavailable and annual publication timing is likely too late for same-quarter forecasting
E1-CLAIM-014,NYC_311_TOURISM_STRESS,"A single aggregate payload was requested under a superseded robots-silence interpretation, quarantined, and excluded; the source remains not testable.",NYC 311 service requests 2010-present,NYC Office of Technology and Innovation / 311,,https://data.cityofnewyork.us/Social-Services/311-Service-Requests-from-2020-to-Present/erm2-nwe9; https://opendata.cityofnewyork.us/311-service-requests-from-2010-to-present-updates/,Exact request-level evidence is in permission_resolution/request_level_audit.csv; no further request is permitted.,high for request and exclusion outcome; source signal efficacy untested,"Complaints measure reporting and enforcement behavior, not tourist presence, and vintage reconstruction is unresolved."
E1-CLAIM-015,MELB_PED_HOURLY,The source remains uncollected and not testable in E1 because the exact deterministic gate did not allow a request or PIT evidence remained unavailable.,Pedestrian Counting System counts per hour,City of Melbourne Open Data Team,,https://data.melbourne.vic.gov.au/explore/dataset/pedestrian-counting-system-monthly-counts-per-hour/information/; https://data.melbourne.vic.gov.au/explore/dataset/pedestrian-counting-system-sensor-locations/,Official source and permission evidence were reviewed in E0/E1; no direct request was executed in E1.,high for collection outcome; source signal efficacy untested,No defensible historical publication vintages and undefined portal terms
E1-CLAIM-TARGET,ABNB_GUIDANCE_TARGET_PANEL,The compact approved target panel contains 23 quarterly guidance events and is used only after H-004 through H-006 were frozen.,Phase-A target panel,ABNB research workspace,2026-09-03,research/readiness/20260903T053309Z_abnb_readiness/target_panel.csv,Compact table only; no restricted transcript Markdown opened.,high,Three early targets are qualitative and remain numerically missing.
E1-CLAIM-H001,FED_H10_DTWEXBGS,H-001 is carried only as the previously preregistered point-in-time control comparator.,Phase-A point-in-time feature panel,ABNB research workspace / Federal Reserve Board,2026-09-03,research/readiness/20260903T053309Z_abnb_readiness/point_in_time_feature_panel.csv,No new Federal Reserve request was made in E1.,high,H-001 itself was inconclusive in Phase A and is not evidence of alpha.
