print_quarter,raw_cc_1d_pct,excess_cc_1d_pct,abnb_1d_pct,qqq_1d_pct,excess_1d_pct,raw_minus_abnb_1d,excess_minus_excess_1d,raw_minus_excess_minus_qqq
2020Q4,13.342,12.923,13.3,0.4,12.9,0.04,0.02,0.02
2021Q1,4.015,1.807,4.0,2.2,1.8,0.01,0.01,0.01
2021Q2,1.065,0.714,1.1,0.4,0.7,-0.04,0.01,-0.05
2021Q3,12.984,12.889,13.0,0.1,12.9,-0.02,-0.01,-0.0
2021Q4,3.649,3.674,3.6,-0.0,3.7,0.05,-0.03,-0.02
2022Q1,7.71,4.329,7.7,3.4,4.3,0.01,0.03,-0.02
2022Q2,-1.135,-3.858,-1.1,2.7,-3.9,-0.03,0.04,0.02
2022Q3,-13.425,-9.997,-13.4,-3.4,-10.0,-0.03,0.0,-0.03
2022Q4,13.353,12.587,13.4,0.8,12.6,-0.05,-0.01,-0.03
2023Q1,-10.923,-12.011,-10.9,1.1,-12.0,-0.02,-0.01,-0.01
2023Q2,-0.504,-0.036,-0.5,-0.5,-0.0,-0.0,-0.04,0.03
2023Q3,-3.323,-5.138,-3.3,1.8,-5.1,-0.02,-0.04,0.01
2023Q4,-1.737,-2.827,-1.7,1.1,-2.8,-0.04,-0.03,-0.01
2024Q1,-6.871,-7.09,-6.9,0.2,-7.1,0.03,0.01,0.02
2024Q2,-13.382,-12.299,-13.4,-1.1,-12.3,0.02,0.0,0.02
2024Q3,-8.658,-8.775,-8.7,0.1,-8.8,0.04,0.03,0.02
2024Q4,14.45,14.03,14.4,0.4,14.0,0.05,0.03,0.02
2025Q1,1.008,-0.476,1.0,1.5,-0.5,0.01,0.02,-0.02
2025Q2,-8.023,-8.361,-8.0,0.3,-8.4,-0.02,0.04,0.04
2025Q3,0.29,0.606,0.3,-0.3,0.6,-0.01,0.01,-0.02
2025Q4,4.648,4.435,4.6,0.2,4.4,0.05,0.03,0.01
2026Q1,0.733,-1.611,0.7,2.3,-1.6,0.03,-0.01,0.04
2026Q2,17.429,16.257,17.4,1.2,16.3,0.03,-0.04,-0.03
MAX_ABS,,,,,,0.05,0.04,0.05
