source,event_sd_pct,exp_abs_move_pct,p_abs_ge_3,p_abs_ge_5,p_abs_ge_7,p_abs_ge_10,p_abs_ge_15
live pair 16Oct/20Nov,9.88,7.88,0.761,0.613,0.479,0.311,0.129
live LS one-print expiries,9.16,7.31,0.743,0.585,0.445,0.275,0.102
"live LS all maturities, sloped background",9.73,7.76,0.758,0.607,0.472,0.304,0.123
live two post-event expiries (20Nov/18Dec),8.3,6.62,0.718,0.547,0.399,0.228,0.071
central reading (JUDGEMENT),9.5,7.58,0.752,0.599,0.461,0.293,0.114
"BBG history: mean IV-crush implied sd, 23 prints",10.47,8.35,0.774,0.633,0.504,0.34,0.152
"BBG history: mean 30D/60D kink implied sd at print-45d, 23 prints",8.51,6.79,0.724,0.557,0.411,0.24,0.078
"realised rms, raw close-to-close, 23 prints",8.92,7.12,0.737,0.575,0.433,0.262,0.093
"realised rms, QQQ-excess close-to-close, 23 prints",8.48,6.77,0.724,0.555,0.409,0.238,0.077
REALISED share of 23 prints (raw close-to-close),,7.07,0.696,0.522,0.478,0.348,0.043
REALISED share of 23 prints (QQQ-excess close-to-close),,6.81,0.696,0.522,0.478,0.304,0.043
