expiry,strike,F_from_strike,F_bid_ask_low,F_bid_ask_high,F_theory_spot_carry,theory_inside_bid_ask,dev_from_median_pct
2026-09-18,155.0,169.791,168.31,171.272,170.321,True,-0.146
2026-09-18,160.0,169.747,168.136,171.359,170.321,True,-0.172
2026-09-18,165.0,170.154,169.073,171.235,170.321,True,0.067
2026-09-18,167.5,170.227,168.1,172.354,170.321,True,0.11
2026-09-18,170.0,170.25,169.239,171.261,170.321,True,0.124
2026-09-18,175.0,170.041,169.316,170.767,170.321,True,0.001
2026-09-18,177.5,169.969,168.843,171.095,170.321,True,-0.042
2026-09-18,180.0,169.977,168.992,170.963,170.321,True,-0.037
2026-09-18,182.5,170.156,169.04,171.271,170.321,True,0.068
2026-09-18,185.0,170.039,168.938,171.139,170.321,True,-0.001
2026-09-25,160.0,170.04,168.964,171.117,170.451,True,-0.068
2026-09-25,162.5,170.022,167.808,172.235,170.451,True,-0.079
2026-09-25,165.0,170.308,168.916,171.7,170.451,True,0.089
2026-09-25,167.5,170.049,167.901,172.197,170.451,True,-0.063
2026-09-25,170.0,170.451,168.698,172.203,170.451,True,0.173
2026-09-25,172.5,170.156,168.063,172.25,170.451,True,0.0
2026-09-25,175.0,170.268,168.24,172.296,170.451,True,0.065
2026-09-25,180.0,170.13,169.193,171.066,170.451,True,-0.016
2026-09-25,185.0,170.272,168.975,171.569,170.451,True,0.068
2026-10-02,155.0,169.869,168.05,171.688,170.582,True,-0.232
2026-10-02,157.5,170.229,169.047,171.412,170.582,True,-0.02
2026-10-02,160.0,170.264,167.066,173.461,170.582,True,0.0
2026-10-02,162.5,170.163,167.762,172.563,170.582,True,-0.059
2026-10-02,165.0,170.538,169.46,171.615,170.582,True,0.161
2026-10-02,170.0,170.651,167.945,173.358,170.582,True,0.228
2026-10-02,172.5,169.603,167.96,171.247,170.582,True,-0.388
2026-10-02,175.0,170.505,168.265,172.745,170.582,True,0.142
2026-10-02,177.5,170.654,167.968,173.34,170.582,True,0.229
2026-10-02,180.0,170.764,167.942,173.585,170.582,True,0.294
2026-10-02,185.0,170.116,168.562,171.669,170.582,True,-0.087
2026-10-09,160.0,170.307,167.724,172.889,170.713,True,-0.142
2026-10-09,170.0,170.903,167.894,173.912,170.713,True,0.208
