print_quarter,print_date,reaction_date,pre_close,entry_open_px,entry_postclose_px,gap_pct,raw_cc_1d_pct,excess_cc_1d_pct,qqq_1d_pct_implied,open_to_close_1d_pct,revenue_surprise_pct,eps_surprise_pct,nights_surprise_pct,nights_yoy_pct,nights_yoy_accel_pts,guide_vs_street_pct,guide_vs_street_sign
2020Q4,2021-02-25,2021-02-26,182.06,194.18,206.35,6.657,13.342,12.923,0.419,6.809,16.128,,,,,,
2021Q1,2021-05-13,2021-05-14,135.75,137.68,141.2,1.422,4.015,1.807,2.208,1.382,24.16,,3.04,,,,
2021Q2,2021-08-12,2021-08-13,151.15,146.66,152.76,-2.971,1.065,0.714,0.351,3.906,5.952,,4.924,,,,
2021Q3,2021-11-04,2021-11-05,178.45,186.15,201.62,4.315,12.984,12.889,0.095,8.67,9.122,,-1.361,28.96,,,-1.0
2021Q4,2022-02-15,2022-02-16,180.07,178.295,186.64,-0.986,3.649,3.674,-0.025,4.053,4.932,166.667,-2.081,58.53,29.57,16.532,1.0
2022Q1,2022-05-03,2022-05-04,145.0,152.55,156.18,5.207,7.71,4.329,3.381,-0.843,4.069,89.655,1.219,58.54,0.01,6.122,1.0
2022Q2,2022-08-02,2022-08-03,116.34,108.225,115.02,-6.975,-1.135,-3.858,2.723,4.114,-0.284,30.233,-2.538,24.79,-33.75,2.166,1.0
2022Q3,2022-11-01,2022-11-02,109.05,102.645,94.41,-5.873,-13.425,-9.997,-3.428,-4.606,3.0,25.799,,25.09,0.3,-0.541,-1.0
2022Q4,2023-02-14,2023-02-15,120.87,130.0,137.01,7.554,13.353,12.587,0.766,4.015,2.258,92.0,-1.672,20.16,-4.93,5.621,1.0
2023Q1,2023-05-09,2023-05-10,127.07,109.85,113.19,-13.552,-10.923,-12.011,1.088,2.726,1.564,100.0,,18.61,-1.55,-0.826,-1.0
2023Q2,2023-08-03,2023-08-04,140.88,140.47,140.17,-0.291,-0.504,-0.036,-0.468,0.774,2.645,25.641,-2.126,10.99,-7.62,4.037,1.0
2023Q3,2023-11-01,2023-11-02,119.47,122.51,115.5,2.545,-3.323,-5.138,1.815,-6.248,0.801,,0.266,13.54,2.55,-1.376,-1.0
2023Q4,2024-02-13,2024-02-14,150.82,146.16,148.2,-3.09,-1.737,-2.827,1.09,0.941,2.212,,0.816,12.02,-1.52,0.985,1.0
2024Q1,2024-05-08,2024-05-09,157.9,146.6,147.05,-7.156,-6.871,-7.09,0.218,0.15,3.981,70.833,0.379,9.5,-2.52,-1.095,-1.0
2024Q2,2024-08-06,2024-08-07,130.47,112.44,113.01,-13.819,-13.382,-12.299,-1.083,3.132,0.292,-6.522,,8.69,-0.81,,
2024Q3,2024-11-07,2024-11-08,147.37,134.67,134.61,-8.618,-8.658,-8.775,0.117,-0.259,0.323,-0.467,1.153,8.48,-0.21,-0.207,-1.0
2024Q4,2025-02-13,2025-02-14,141.04,158.185,161.42,12.156,14.45,14.03,0.42,1.646,2.479,25.862,2.116,12.35,3.87,-2.174,-1.0
2025Q1,2025-05-01,2025-05-02,124.01,121.1,125.26,-2.347,1.008,-0.476,1.484,2.965,0.531,0.0,-0.209,7.92,-4.43,-0.658,-1.0
2025Q2,2025-08-06,2025-08-07,130.5,120.38,120.03,-7.755,-8.023,-8.361,0.338,0.134,1.842,10.753,0.787,7.43,-0.48,0.247,1.0
2025Q3,2025-11-06,2025-11-07,120.53,125.495,120.88,4.119,0.29,0.606,-0.316,-3.913,0.368,-5.556,1.404,8.79,1.36,0.749,1.0
2025Q4,2026-02-12,2026-02-13,115.96,126.465,121.35,9.059,4.648,4.435,0.213,-4.293,2.132,-15.152,3.656,9.82,1.03,3.162,1.0
2026Q1,2026-05-07,2026-05-08,140.46,138.125,141.49,-1.662,0.733,-1.611,2.344,0.82,2.214,-10.345,0.276,9.15,-0.67,3.179,1.0
2026Q2,2026-08-06,2026-08-07,151.64,164.7,178.07,8.613,17.429,16.257,1.173,7.718,0.782,9.6,,10.34,1.19,2.603,1.0
