expiry,T,side,strike,bid,ask,mid,rel_spread,volume,openInterest,lastTradeDate,yf_iv,F,log_moneyness,otm,iv_mid,iv_bid,iv_ask,usable
2026-09-18,0.019178082191780823,call,60.0,108.3,111.25,109.775,0.02687314962423141,2.0,12,2026-09-11 14:53:07+00:00,4.400395124511719,170.03986227631617,-1.0416883313194203,False,,,4.578812692438179,False
2026-09-18,0.019178082191780823,call,65.0,103.3,106.1,104.69999999999999,0.02674307545367715,2.0,7,2026-09-11 14:53:07+00:00,3.972656318359375,170.03986227631617,-0.9616456236458837,False,,,4.148798409215392,False
2026-09-18,0.019178082191780823,call,70.0,98.3,101.1,99.69999999999999,0.028084252758274798,36.0,18,2026-09-10 14:30:20+00:00,3.6933601416015622,170.03986227631617,-0.8875376514921619,False,,,3.85626326014515,False
2026-09-18,0.019178082191780823,call,75.0,93.3,96.65,94.975,0.03527244011582004,4.0,26,2026-09-11 17:03:40+00:00,3.783203666992188,170.03986227631617,-0.8185447800052105,False,1.9089296567459748,,3.9022525008649906,False
2026-09-18,0.019178082191780823,call,80.0,88.3,92.0,90.15,0.04104270660011095,72.0,39,2026-09-11 17:26:14+00:00,3.696289821777344,170.03986227631617,-0.7540062588676393,False,2.449934480728144,,3.7950085182394764,False
2026-09-18,0.019178082191780823,call,85.0,83.3,87.05,85.175,0.0440270032286469,72.0,4,2026-09-11 17:26:14+00:00,3.46093884765625,170.03986227631617,-0.6933816370512045,False,2.3044393804860057,,3.5515680946953863,False
2026-09-18,0.019178082191780823,call,90.0,78.35,82.05,80.19999999999999,0.046134663341645926,10.0,42,2026-09-11 17:22:32+00:00,1.53125234375,170.03986227631617,-0.6362232232112558,False,2.1621667353020237,,3.301032565889872,False
2026-09-18,0.019178082191780823,call,95.0,73.35,76.5,74.925,0.04204204204204212,8.0,26,2026-09-11 17:22:10+00:00,2.751956245117188,170.03986227631617,-0.5821560019409802,False,,,2.843311580282068,False
2026-09-18,0.019178082191780823,call,100.0,68.3,71.5,69.9,0.04577968526466384,70.0,43,2026-09-11 17:21:46+00:00,2.5468786328125,170.03986227631617,-0.5308627075534296,False,,,2.6303575567077253,False
2026-09-18,0.019178082191780823,call,105.0,63.3,65.55,64.425,0.034924330616996506,70.0,17,2026-09-11 17:21:00+00:00,1.82421962890625,170.03986227631617,-0.48207254338399746,False,,,1.9695078114097728,False
