sample,series,n,mean_abs_pct,median_abs_pct,rms_pct,mean_signed_pct,share_abs_ge_7pct,share_abs_ge_10pct,share_abs_le_2pct,n_up,n_down,mean_up_pct,mean_down_pct,mean_abs_gap_pct,mean_abs_open_to_close_pct,p10,p25,p75,p90
all_23_prints,raw,23,7.07,6.87,8.92,1.16,0.48,0.35,0.3,13,10,7.28,-6.8,5.95,3.22,-10.47,-5.1,6.18,13.35
all_23_prints,excess,23,6.81,5.14,8.48,0.51,0.48,0.3,0.26,11,12,7.66,-6.04,5.95,3.22,-9.75,-6.11,4.38,12.92
last_8_prints,raw,8,6.91,6.34,9.19,2.73,0.5,0.25,0.38,6,2,6.43,-8.34,6.79,2.72,-8.21,-1.79,7.1,15.34
last_8_prints,excess,8,6.82,6.4,8.88,2.01,0.5,0.25,0.38,4,4,8.83,-4.81,6.79,2.72,-8.49,-3.3,6.83,14.7
last_12_prints,raw,12,6.71,5.76,8.73,-0.29,0.42,0.25,0.33,6,6,6.43,-7.0,6.74,2.68,-8.59,-7.16,1.92,13.47
last_12_prints,excess,12,6.83,6.11,8.5,-0.94,0.5,0.25,0.25,4,8,8.83,-5.82,6.74,2.68,-8.73,-7.41,1.56,13.07
prints_since_2024,raw,11,7.02,6.87,9.07,-0.01,0.45,0.27,0.36,6,5,6.43,-7.73,7.13,2.36,-8.66,-7.45,2.83,14.45
prints_since_2024,excess,11,6.98,7.09,8.74,-0.56,0.55,0.27,0.27,4,7,8.83,-5.92,7.13,2.36,-8.78,-7.73,2.52,14.03
Q3_prints_only_(Nov),raw,5,7.74,8.66,9.33,-2.43,0.6,0.4,0.2,2,3,6.64,-8.47,5.09,4.74,-11.52,-8.66,0.29,7.91
Q3_prints_only_(Nov),excess,5,7.48,8.78,8.6,-2.08,0.6,0.2,0.2,2,3,6.75,-7.97,5.09,4.74,-9.51,-8.78,0.61,7.98
revenue_beat_above_median_(2.21pct),raw,12,7.68,7.29,9.36,4.21,0.5,0.42,0.25,9,3,7.92,-6.93,4.69,3.14,-6.23,0.42,13.07,13.35
revenue_beat_above_median_(2.21pct),excess,12,6.81,5.71,8.55,3.68,0.5,0.33,0.33,8,4,7.87,-4.68,4.69,3.14,-6.54,-0.43,12.66,12.92
revenue_beat_below_median,raw,11,6.41,4.65,8.42,-2.16,0.45,0.27,0.36,4,7,5.84,-6.74,7.32,3.31,-10.92,-8.34,0.65,4.65
revenue_beat_below_median,excess,11,6.82,5.14,8.4,-2.95,0.45,0.27,0.18,3,8,7.1,-6.72,7.32,3.31,-12.01,-8.57,0.06,4.44
nights_accelerated_yoy_in_reported_q_(gt_0),raw,8,8.12,6.18,9.99,3.93,0.5,0.38,0.12,6,2,8.03,-8.37,6.07,4.16,-6.35,-0.61,9.4,15.34
nights_accelerated_yoy_in_reported_q_(gt_0),excess,8,7.31,4.79,8.94,3.52,0.38,0.25,0.12,6,2,7.22,-7.57,6.07,4.16,-6.6,-0.83,6.83,14.7
nights_decelerated_yoy_in_reported_q_(le_0),raw,11,6.03,6.87,7.8,-3.29,0.45,0.27,0.45,3,8,5.03,-6.4,6.62,1.82,-10.92,-8.34,0.11,1.01
nights_decelerated_yoy_in_reported_q_(le_0),excess,11,6.36,7.09,7.84,-4.07,0.55,0.27,0.27,1,10,12.59,-5.73,6.62,1.82,-12.01,-8.57,-1.04,-0.04
nights_accel_gt_0.25pt_(C_dead_band),raw,7,8.17,4.65,10.27,3.39,0.43,0.43,0.14,5,2,8.09,-8.37,6.19,4.64,-7.36,-1.52,9.55,15.64
nights_accel_gt_0.25pt_(C_dead_band),excess,7,7.73,5.14,9.42,3.41,0.43,0.29,0.14,5,2,7.8,-7.57,6.19,4.64,-7.08,-2.27,9.23,14.92
nights_flat_within_0.25pt_(C_dead_band),raw,2,8.18,8.18,8.2,-0.47,1.0,0.0,0.0,1,1,7.71,-8.66,6.91,0.55,-7.02,-4.57,3.62,6.07
nights_flat_within_0.25pt_(C_dead_band),excess,2,6.55,6.55,6.92,-2.22,0.5,0.0,0.0,1,1,4.33,-8.78,6.91,0.55,-7.46,-5.5,1.05,3.02
nights_decel_lt_-0.25pt_(C_dead_band),raw,10,5.77,4.3,7.71,-2.75,0.4,0.3,0.5,3,7,5.03,-6.08,6.42,1.98,-11.17,-7.74,0.42,2.24
nights_decel_lt_-0.25pt_(C_dead_band),excess,10,6.12,5.47,7.75,-3.6,0.5,0.3,0.3,1,9,12.59,-5.4,6.42,1.98,-12.04,-8.04,-0.76,1.23
next_q_rev_guide_above_street,raw,11,5.38,3.65,7.66,3.31,0.36,0.18,0.45,7,4,6.83,-2.85,5.03,2.87,-1.74,-0.82,6.18,13.35
next_q_rev_guide_above_street,excess,11,5.33,3.86,7.2,2.29,0.27,0.18,0.27,6,5,6.98,-3.34,5.03,2.87,-3.86,-2.22,4.38,12.59
next_q_rev_guide_below_street,raw,8,8.96,9.79,10.07,-1.84,0.62,0.5,0.12,3,5,9.48,-8.64,7.07,3.41,-11.67,-9.22,4.0,13.42
next_q_rev_guide_below_street,excess,8,8.8,9.39,9.75,-2.07,0.75,0.38,0.12,2,6,13.46,-7.25,7.07,3.41,-10.6,-9.08,2.86,13.23
nights_beat,raw,12,5.13,4.33,6.51,0.36,0.33,0.08,0.33,7,5,4.7,-5.72,5.48,2.04,-7.91,-4.21,4.17,7.4
nights_beat,excess,12,4.98,4.38,6.28,-0.66,0.33,0.08,0.33,6,6,4.32,-5.63,5.48,2.04,-8.23,-5.63,2.44,4.42
nights_miss_or_inline,raw,6,5.44,2.39,7.78,4.89,0.33,0.33,0.5,4,2,7.75,-0.82,3.74,4.1,-0.82,-0.13,10.65,13.17
